TF,Target,label
AES,ARL6IP5,1
AES,CUBN,1
AES,DKK1,1
AES,ELF4,1
AES,EPAS1,1
AES,FRMD4A,1
AES,GATA6,1
AES,HIST1H1B,1
AES,KLB,1
AES,KRT17,1
AES,MYBL2,1
AES,POU4F2,1
AES,POU5F1,1
AES,PSAP,1
AES,RIAN,1
AES,SOX17,1
AES,SRGN,1
AES,TBX18,1
CBX8,ADAMTS9,1
CBX8,AQP8,1
CBX8,BARX1,1
CBX8,BMI1,1
CBX8,CCND2,1
CBX8,COMMD3,1
CBX8,CUBN,1
CBX8,DAB2,1
CBX8,DIDO1,1
CBX8,DKK1,1
CBX8,DMRT1,1
CBX8,EBF1,1
CBX8,EBF4,1
CBX8,EED,1
CBX8,FGF10,1
CBX8,FOXQ1,1
CBX8,FRMD4A,1
CBX8,GATA3,1
CBX8,GATA4,1
CBX8,GATA6,1
CBX8,HABP2,1
CBX8,HEY2,1
CBX8,HIVEP2,1
CBX8,HKDC1,1
CBX8,HOXD13,1
CBX8,ID3,1
CBX8,ID4,1
CBX8,KLB,1
CBX8,LDHB,1
CBX8,LHX2,1
CBX8,LIMCH1,1
CBX8,LMO4,1
CBX8,MEF2C,1
CBX8,MEIS1,1
CBX8,MSX2,1
CBX8,MT1,1
CBX8,NPAS2,1
CBX8,PAX6,1
CBX8,PITX2,1
CBX8,PROX1,1
CBX8,RAB3IL1,1
CBX8,SATB2,1
CBX8,SFMBT2,1
CBX8,SIX1,1
CBX8,SP8,1
CBX8,SRGN,1
CBX8,ST3GAL6,1
CBX8,TBX18,1
CBX8,TEAD4,1
CBX8,THBD,1
CBX8,TWIST1,1
CBX8,ZEB2,1
CBX8,ZFHX3,1
EOMES,2200002D01RIK,1
EOMES,5031439G07RIK,1
EOMES,ACP6,1
EOMES,ADAM15,1
EOMES,ADAM19,1
EOMES,ADAM23,1
EOMES,AFF1,1
EOMES,AHNAK,1
EOMES,AKR1B3,1
EOMES,AKR1B8,1
EOMES,AKT1,1
EOMES,AMOT,1
EOMES,ANKRD6,1
EOMES,APLP1,1
EOMES,AQP3,1
EOMES,ARHGAP21,1
EOMES,ARHGEF5,1
EOMES,ARNT2,1
EOMES,ASS1,1
EOMES,ATF3,1
EOMES,ATF5,1
EOMES,ATG16L2,1
EOMES,AU018091,1
EOMES,BARX1,1
EOMES,BASP1,1
EOMES,BCAM,1
EOMES,BEND5,1
EOMES,BEX1,1
EOMES,BMI1,1
EOMES,BMP4,1
EOMES,BMPER,1
EOMES,BNC2,1
EOMES,BRWD1,1
EOMES,CACHD1,1
EOMES,CALCOCO2,1
EOMES,CBX8,1
EOMES,CCND1,1
EOMES,CCND2,1
EOMES,CD63,1
EOMES,CD9,1
EOMES,CENPV,1
EOMES,CFC1,1
EOMES,CHCHD10,1
EOMES,CHD5,1
EOMES,CHN2,1
EOMES,CITED1,1
EOMES,CITED2,1
EOMES,CLCN5,1
EOMES,CLN6,1
EOMES,CMKLR1,1
EOMES,COBL,1
EOMES,COL27A1,1
EOMES,COTL1,1
EOMES,CRABP2,1
EOMES,CREB3L2,1
EOMES,CSF1,1
EOMES,CSRP2,1
EOMES,CST3,1
EOMES,CTNNAL1,1
EOMES,CTSZ,1
EOMES,CUBN,1
EOMES,CUX2,1
EOMES,CYBA,1
EOMES,CYP26A1,1
EOMES,DCXR,1
EOMES,DDAH1,1
EOMES,DDX54,1
EOMES,DDX58,1
EOMES,DMRT1,1
EOMES,DPP4,1
EOMES,DPPA2,1
EOMES,DUSP6,1
EOMES,E2F2,1
EOMES,EBF1,1
EOMES,EBF4,1
EOMES,ECHDC2,1
EOMES,EFEMP2,1
EOMES,EGR1,1
EOMES,EHD1,1
EOMES,EIF4A-PS4,1
EOMES,ELF2,1
EOMES,ELF3,1
EOMES,ELL2,1
EOMES,ENAH,1
EOMES,EPAS1,1
EOMES,EPHA2,1
EOMES,EPS8L2,1
EOMES,ESRRA,1
EOMES,ETL4,1
EOMES,ETS1,1
EOMES,ETV1,1
EOMES,ETV4,1
EOMES,EYA1,1
EOMES,F2R,1
EOMES,FABP3,1
EOMES,FBLIM1,1
EOMES,FGF10,1
EOMES,FGF3,1
EOMES,FGF4,1
EOMES,FGFR4,1
EOMES,FHL2,1
EOMES,FHOD1,1
EOMES,FN1,1
EOMES,FNDC3B,1
EOMES,FOSL2,1
EOMES,FOXA2,1
EOMES,FOXD3,1
EOMES,FOXJ3,1
EOMES,FOXP1,1
EOMES,FOXQ1,1
EOMES,FST,1
EOMES,GAA,1
EOMES,GABARAPL1,1
EOMES,GALK1,1
EOMES,GAS6,1
EOMES,GATA3,1
EOMES,GATA4,1
EOMES,GATA6,1
EOMES,GBX2,1
EOMES,GFPT2,1
EOMES,GGTA1,1
EOMES,GJB3,1
EOMES,GLI1,1
EOMES,GLI2,1
EOMES,GLIPR2,1
EOMES,GLUL,1
EOMES,GNG2,1
EOMES,GNRH1,1
EOMES,GPA33,1
EOMES,GPRC5C,1
EOMES,GPX3,1
EOMES,GRAMD1A,1
EOMES,GRB10,1
EOMES,GRHL1,1
EOMES,GSN,1
EOMES,GTF2A1L,1
EOMES,HELLS,1
EOMES,HES6,1
EOMES,HIP1,1
EOMES,HKDC1,1
EOMES,HOOK1,1
EOMES,HOPX,1
EOMES,HOXD13,1
EOMES,HS3ST1,1
EOMES,HSF2BP,1
EOMES,HTRA1,1
EOMES,ID2,1
EOMES,ID3,1
EOMES,ID4,1
EOMES,IFITM3,1
EOMES,IL33,1
EOMES,IQSEC1,1
EOMES,IRF1,1
EOMES,JAM2,1
EOMES,KAT2B,1
EOMES,KDM3A,1
EOMES,KLF6,1
EOMES,KRT17,1
EOMES,KRT18,1
EOMES,KRT19,1
EOMES,KRT42,1
EOMES,KRT8,1
EOMES,KRTCAP2,1
EOMES,L1TD1,1
EOMES,LAMA1,1
EOMES,LAMA5,1
EOMES,LAMC1,1
EOMES,LDLRAP1,1
EOMES,LEFTY1,1
EOMES,LEFTY2,1
EOMES,LGALS3,1
EOMES,LGMN,1
EOMES,LMO4,1
EOMES,LRP2,1
EOMES,LRRC2,1
EOMES,LTBP4,1
EOMES,LY6G6E,1
EOMES,MANBA,1
EOMES,MAPK11,1
EOMES,MARCKS,1
EOMES,MDK,1
EOMES,MED12,1
EOMES,MEF2C,1
EOMES,MFGE8,1
EOMES,MKRN1,1
EOMES,MORC4,1
EOMES,MPZL2,1
EOMES,MRAS,1
EOMES,MSI2,1
EOMES,MSX2,1
EOMES,MT1,1
EOMES,MYD88,1
EOMES,MYH9,1
EOMES,MYLPF,1
EOMES,MYO5B,1
EOMES,MYO7A,1
EOMES,NANOG,1
EOMES,NDN,1
EOMES,NDRG1,1
EOMES,NFATC1,1
EOMES,NFATC4,1
EOMES,NFIL3,1
EOMES,NFKB2,1
EOMES,NME2,1
EOMES,NOTCH1,1
EOMES,NOTUM,1
EOMES,NPHS1,1
EOMES,NPL,1
EOMES,NR0B1,1
EOMES,NR2C1,1
EOMES,NR3C1,1
EOMES,NR5A2,1
EOMES,NRG1,1
EOMES,OPLAH,1
EOMES,OVOL1,1
EOMES,PAWR,1
EOMES,PAX6,1
EOMES,PAX8,1
EOMES,PBXIP1,1
EOMES,PCBD1,1
EOMES,PCOLCE,1
EOMES,PDGFA,1
EOMES,PDK1,1
EOMES,PDPN,1
EOMES,PEG10,1
EOMES,PGA5,1
EOMES,PHC1,1
EOMES,PHGDH,1
EOMES,PHLDB2,1
EOMES,PIAS2,1
EOMES,PIPOX,1
EOMES,PITPNC1,1
EOMES,PITX1,1
EOMES,PITX2,1
EOMES,PLAUR,1
EOMES,PODXL,1
EOMES,PRDM5,1
EOMES,PRPS2,1
EOMES,PRSS35,1
EOMES,PSAP,1
EOMES,PTH1R,1
EOMES,RAI14,1
EOMES,RARG,1
EOMES,RBM47,1
EOMES,RBMS1,1
EOMES,RBPMS2,1
EOMES,RCOR2,1
EOMES,RHOX5,1
EOMES,RHOX6,1
EOMES,RHPN1,1
EOMES,RNPEP,1
EOMES,RPL39L,1
EOMES,RPS6KA6,1
EOMES,RRBP1,1
EOMES,RUNX1,1
EOMES,S100A6,1
EOMES,SAP30,1
EOMES,SATB2,1
EOMES,SCMH1,1
EOMES,SERPINB6C,1
EOMES,SFMBT2,1
EOMES,SGK1,1
EOMES,SIX1,1
EOMES,SKIL,1
EOMES,SLC25A4,1
EOMES,SLC5A11,1
EOMES,SLC7A6,1
EOMES,SLC7A7,1
EOMES,SLC9A6,1
EOMES,SMAD3,1
EOMES,SMURF1,1
EOMES,SNAI1,1
EOMES,SNURF,1
EOMES,SOD1,1
EOMES,SOX4,1
EOMES,SP8,1
EOMES,SPNS2,1
EOMES,SPRY4,1
EOMES,ST5,1
EOMES,STARD10,1
EOMES,STARD8,1
EOMES,STAT4,1
EOMES,TAGLN2,1
EOMES,TBX18,1
EOMES,TBX3,1
EOMES,TCEA3,1
EOMES,TCF15,1
EOMES,TCF7L2,1
EOMES,TDGF1,1
EOMES,TDH,1
EOMES,TEAD1,1
EOMES,TEAD4,1
EOMES,TET2,1
EOMES,TGFB1,1
EOMES,TGFBR3,1
EOMES,TGM1,1
EOMES,TINAGL1,1
EOMES,TMEM144,1
EOMES,TOX3,1
EOMES,TRH,1
EOMES,TRIM13,1
EOMES,TRIM2,1
EOMES,TRIM24,1
EOMES,TRPS1,1
EOMES,TTC7,1
EOMES,TUBB6,1
EOMES,TWIST1,1
EOMES,UBQLN2,1
EOMES,UCHL1,1
EOMES,ULK1,1
EOMES,UPP1,1
EOMES,USF1,1
EOMES,USP28,1
EOMES,USP3,1
EOMES,VANGL1,1
EOMES,VCAN,1
EOMES,VEGFA,1
EOMES,VEZF1,1
EOMES,VIM,1
EOMES,WDR45,1
EOMES,XAF1,1
EOMES,ZBTB10,1
EOMES,ZBTB39,1
EOMES,ZEB1,1
EOMES,ZEB2,1
EOMES,ZFP219,1
EOMES,ZFP276,1
EOMES,ZFP423,1
EOMES,ZFP532,1
EOMES,ZFP57,1
EOMES,ZFP710,1
EOMES,ZFPM1,1
EOMES,ZHX3,1
ESRRB,2200002D01RIK,1
ESRRB,ABHD5,1
ESRRB,ACP6,1
ESRRB,AES,1
ESRRB,AFF1,1
ESRRB,AIRE,1
ESRRB,AKR1B8,1
ESRRB,AKT1,1
ESRRB,AMFR,1
ESRRB,AMOTL2,1
ESRRB,ANP32A,1
ESRRB,ANXA5,1
ESRRB,APLP1,1
ESRRB,APP,1
ESRRB,AQP3,1
ESRRB,ARHGAP29,1
ESRRB,ARHGEF5,1
ESRRB,ASNS,1
ESRRB,ASPH,1
ESRRB,ATP1B1,1
ESRRB,B2M,1
ESRRB,BASP1,1
ESRRB,BCAT1,1
ESRRB,BMP4,1
ESRRB,BTBD11,1
ESRRB,CALD1,1
ESRRB,CAR2,1
ESRRB,CAR4,1
ESRRB,CCND2,1
ESRRB,CCND3,1
ESRRB,CCNE1,1
ESRRB,CCNG1,1
ESRRB,CITED2,1
ESRRB,CLDN6,1
ESRRB,CNN2,1
ESRRB,COBL,1
ESRRB,COL18A1,1
ESRRB,COMMD3,1
ESRRB,COX7A1,1
ESRRB,CREB3,1
ESRRB,CRYAB,1
ESRRB,CSF1,1
ESRRB,CSRP1,1
ESRRB,CYBA,1
ESRRB,DAB2,1
ESRRB,DDAH1,1
ESRRB,DDAH2,1
ESRRB,DDIT3,1
ESRRB,DKK1,1
ESRRB,E2F2,1
ESRRB,E2F6,1
ESRRB,EDA2R,1
ESRRB,EFEMP2,1
ESRRB,EPHA4,1
ESRRB,ETV4,1
ESRRB,FABP3,1
ESRRB,FBLIM1,1
ESRRB,FGF4,1
ESRRB,FOXP1,1
ESRRB,FST,1
ESRRB,FXYD6,1
ESRRB,GATA3,1
ESRRB,GATA6,1
ESRRB,GBX2,1
ESRRB,GHR,1
ESRRB,GJA1,1
ESRRB,GJB3,1
ESRRB,GLI2,1
ESRRB,GLIPR2,1
ESRRB,GNG10,1
ESRRB,GOT1,1
ESRRB,GRB10,1
ESRRB,GSN,1
ESRRB,HES6,1
ESRRB,ICAM1,1
ESRRB,ID2,1
ESRRB,ID3,1
ESRRB,IFITM1,1
ESRRB,IFITM3,1
ESRRB,IFRD1,1
ESRRB,ILDR1,1
ESRRB,ILK,1
ESRRB,IRF1,1
ESRRB,JAM2,1
ESRRB,JUN,1
ESRRB,KDELR3,1
ESRRB,KDM3A,1
ESRRB,KIT,1
ESRRB,KLF4,1
ESRRB,KLF6,1
ESRRB,KRT17,1
ESRRB,KRT18,1
ESRRB,KRT19,1
ESRRB,KRT42,1
ESRRB,KRT8,1
ESRRB,LAMA1,1
ESRRB,LAPTM5,1
ESRRB,LDHB,1
ESRRB,LDLR,1
ESRRB,LEFTY1,1
ESRRB,LGALS3,1
ESRRB,LIFR,1
ESRRB,LMO4,1
ESRRB,LPCAT1,1
ESRRB,LRP2,1
ESRRB,LRPAP1,1
ESRRB,LRRC1,1
ESRRB,LRRK1,1
ESRRB,LY6G6E,1
ESRRB,MANBA,1
ESRRB,MAPKAPK2,1
ESRRB,MARCKS,1
ESRRB,MEG3,1
ESRRB,MFGE8,1
ESRRB,MORC4,1
ESRRB,MRAS,1
ESRRB,MSC,1
ESRRB,MXD4,1
ESRRB,MYBL2,1
ESRRB,MYH9,1
ESRRB,MYLPF,1
ESRRB,MYO1C,1
ESRRB,NDN,1
ESRRB,NFATC2IP,1
ESRRB,NFIB,1
ESRRB,NID1,1
ESRRB,NOTCH2,1
ESRRB,NOTCH4,1
ESRRB,NPHS1,1
ESRRB,NR0B1,1
ESRRB,NSMAF,1
ESRRB,NUPR1,1
ESRRB,OTX2,1
ESRRB,PARVA,1
ESRRB,PAWR,1
ESRRB,PCOLCE,1
ESRRB,PCSK6,1
ESRRB,PDGFA,1
ESRRB,PFKP,1
ESRRB,PHLDA3,1
ESRRB,PITX2,1
ESRRB,PKNOX2,1
ESRRB,PLK2,1
ESRRB,PLOD1,1
ESRRB,PODXL,1
ESRRB,POU4F2,1
ESRRB,PROS1,1
ESRRB,PTPN14,1
ESRRB,PXDN,1
ESRRB,RAPGEF3,1
ESRRB,RARG,1
ESRRB,RASGRP2,1
ESRRB,RBMS1,1
ESRRB,RFX2,1
ESRRB,RHOX6,1
ESRRB,RIAN,1
ESRRB,RLIM,1
ESRRB,RMND5B,1
ESRRB,RPP25,1
ESRRB,RRAS2,1
ESRRB,S100A6,1
ESRRB,SEMA4C,1
ESRRB,SERPINE2,1
ESRRB,SERPINH1,1
ESRRB,SETD7,1
ESRRB,SFMBT2,1
ESRRB,SIRT1,1
ESRRB,SLC25A36,1
ESRRB,SLC38A2,1
ESRRB,SLC6A8,1
ESRRB,SOAT1,1
ESRRB,SPARC,1
ESRRB,SPP1,1
ESRRB,SPRY4,1
ESRRB,SQSTM1,1
ESRRB,STAG3,1
ESRRB,STARD10,1
