TF,Target,label
AES,ARL6IP5,1
AES,CUBN,1
AES,DKK1,1
AES,ELF4,1
AES,EPAS1,1
AES,FRMD4A,1
AES,GATA6,1
AES,HIST1H1B,1
AES,MYBL2,1
AES,POU4F2,1
AES,POU5F1,1
AES,RIAN,1
AES,SOX17,1
AES,SRGN,1
AES,TBX18,1
CBX8,ADAMTS9,1
CBX8,AQP8,1
CBX8,BARX1,1
CBX8,BMI1,1
CBX8,COMMD3,1
CBX8,CUBN,1
CBX8,DAB2,1
CBX8,DIDO1,1
CBX8,DKK1,1
CBX8,DMRT1,1
CBX8,EBF1,1
CBX8,EBF4,1
CBX8,EED,1
CBX8,FGF10,1
CBX8,FOXQ1,1
CBX8,FRMD4A,1
CBX8,GATA3,1
CBX8,GATA4,1
CBX8,GATA6,1
CBX8,HEY2,1
CBX8,HIVEP2,1
CBX8,HKDC1,1
CBX8,HOXD13,1
CBX8,ID3,1
CBX8,ID4,1
CBX8,LDHB,1
CBX8,LHX2,1
CBX8,LMO4,1
CBX8,MEF2C,1
CBX8,MEIS1,1
CBX8,MSX2,1
CBX8,MT1,1
CBX8,NPAS2,1
CBX8,PAX6,1
CBX8,PITX2,1
CBX8,PROX1,1
CBX8,RAB3IL1,1
CBX8,SATB2,1
CBX8,SIX1,1
CBX8,SP8,1
CBX8,SRGN,1
CBX8,TBX18,1
CBX8,TEAD4,1
CBX8,THBD,1
CBX8,TWIST1,1
CBX8,ZEB2,1
CBX8,ZFHX3,1
EOMES,2200002D01RIK,1
EOMES,ADAM19,1
EOMES,ADAM23,1
EOMES,AKR1B8,1
EOMES,AKT1,1
EOMES,AMOT,1
EOMES,ANKRD6,1
EOMES,ARNT2,1
EOMES,ASS1,1
EOMES,ATF3,1
EOMES,ATF5,1
EOMES,AU018091,1
EOMES,BARX1,1
EOMES,BASP1,1
EOMES,BCAM,1
EOMES,BEND5,1
EOMES,BEX1,1
EOMES,BMI1,1
EOMES,BMP4,1
EOMES,BMPER,1
EOMES,BRWD1,1
EOMES,CALCOCO2,1
EOMES,CBX8,1
EOMES,CCND1,1
EOMES,CD63,1
EOMES,CHCHD10,1
EOMES,CHD5,1
EOMES,CITED1,1
EOMES,CITED2,1
EOMES,CLCN5,1
EOMES,CMKLR1,1
EOMES,COBL,1
EOMES,COL27A1,1
EOMES,COTL1,1
EOMES,CRABP2,1
EOMES,CREB3L2,1
EOMES,CSF1,1
EOMES,CSRP2,1
EOMES,CST3,1
EOMES,CTSZ,1
EOMES,CUBN,1
EOMES,CUX2,1
EOMES,DCXR,1
EOMES,DDX54,1
EOMES,DDX58,1
EOMES,DMRT1,1
EOMES,DPP4,1
EOMES,DPPA2,1
EOMES,E2F2,1
EOMES,EBF1,1
EOMES,EBF4,1
EOMES,EFEMP2,1
EOMES,EGR1,1
EOMES,EIF4A-PS4,1
EOMES,ELF2,1
EOMES,ELF3,1
EOMES,ELL2,1
EOMES,EPAS1,1
EOMES,EPHA2,1
EOMES,ESRRA,1
EOMES,ETS1,1
EOMES,ETV1,1
EOMES,ETV4,1
EOMES,EYA1,1
EOMES,FABP3,1
EOMES,FBLIM1,1
EOMES,FGF10,1
EOMES,FGF3,1
EOMES,FGF4,1
EOMES,FHL2,1
EOMES,FN1,1
EOMES,FOSL2,1
EOMES,FOXA2,1
EOMES,FOXD3,1
EOMES,FOXJ3,1
EOMES,FOXP1,1
EOMES,FOXQ1,1
EOMES,FST,1
EOMES,GAS6,1
EOMES,GATA3,1
EOMES,GATA4,1
EOMES,GATA6,1
EOMES,GBX2,1
EOMES,GJB3,1
EOMES,GLI1,1
EOMES,GLI2,1
EOMES,GLIPR2,1
EOMES,GLUL,1
EOMES,GNRH1,1
EOMES,GPX3,1
EOMES,GRB10,1
EOMES,GRHL1,1
EOMES,GTF2A1L,1
EOMES,HES6,1
EOMES,HIP1,1
EOMES,HKDC1,1
EOMES,HOPX,1
EOMES,HOXD13,1
EOMES,HS3ST1,1
EOMES,HSF2BP,1
EOMES,HTRA1,1
EOMES,ID2,1
EOMES,ID3,1
EOMES,ID4,1
EOMES,IFITM3,1
EOMES,IL33,1
EOMES,IRF1,1
EOMES,JAM2,1
EOMES,KAT2B,1
EOMES,KDM3A,1
EOMES,KLF6,1
EOMES,KRT42,1
EOMES,KRT8,1
EOMES,L1TD1,1
EOMES,LAMA1,1
EOMES,LAMA5,1
EOMES,LAMC1,1
EOMES,LDLRAP1,1
EOMES,LEFTY1,1
EOMES,LEFTY2,1
EOMES,LGMN,1
EOMES,LMO4,1
EOMES,LRP2,1
EOMES,LTBP4,1
EOMES,LY6G6E,1
EOMES,MAPK11,1
EOMES,MED12,1
EOMES,MEF2C,1
EOMES,MKRN1,1
EOMES,MORC4,1
EOMES,MRAS,1
EOMES,MSX2,1
EOMES,MT1,1
EOMES,MYD88,1
EOMES,MYH9,1
EOMES,MYLPF,1
EOMES,MYO7A,1
EOMES,NANOG,1
EOMES,NDN,1
EOMES,NDRG1,1
EOMES,NFATC1,1
EOMES,NFATC4,1
EOMES,NFIL3,1
EOMES,NFKB2,1
EOMES,NME2,1
EOMES,NOTCH1,1
EOMES,NOTUM,1
EOMES,NPHS1,1
EOMES,NR0B1,1
EOMES,NR2C1,1
EOMES,NR3C1,1
EOMES,NR5A2,1
EOMES,NRG1,1
EOMES,OPLAH,1
EOMES,OVOL1,1
EOMES,PAWR,1
EOMES,PAX6,1
EOMES,PAX8,1
EOMES,PBXIP1,1
EOMES,PCBD1,1
EOMES,PCOLCE,1
EOMES,PDK1,1
EOMES,PDPN,1
EOMES,PGA5,1
EOMES,PHC1,1
EOMES,PHLDB2,1
EOMES,PIAS2,1
EOMES,PITX1,1
EOMES,PITX2,1
EOMES,PODXL,1
EOMES,PRDM5,1
EOMES,PRSS35,1
EOMES,PTH1R,1
EOMES,RAI14,1
EOMES,RARG,1
EOMES,RBPMS2,1
EOMES,RCOR2,1
EOMES,RHOX5,1
EOMES,RHOX6,1
EOMES,RRBP1,1
EOMES,RUNX1,1
EOMES,SAP30,1
EOMES,SATB2,1
EOMES,SCMH1,1
EOMES,SGK1,1
EOMES,SIX1,1
EOMES,SKIL,1
EOMES,SLC25A4,1
EOMES,SLC5A11,1
EOMES,SLC7A6,1
EOMES,SLC9A6,1
EOMES,SMAD3,1
EOMES,SMURF1,1
EOMES,SNAI1,1
EOMES,SNURF,1
EOMES,SOX4,1
EOMES,SP8,1
EOMES,SPRY4,1
EOMES,STARD10,1
EOMES,STARD8,1
EOMES,STAT4,1
EOMES,TAGLN2,1
EOMES,TBX18,1
EOMES,TBX3,1
EOMES,TCEA3,1
EOMES,TCF7L2,1
EOMES,TDGF1,1
EOMES,TDH,1
EOMES,TEAD1,1
EOMES,TEAD4,1
EOMES,TET2,1
EOMES,TGFB1,1
EOMES,TINAGL1,1
EOMES,TMEM144,1
EOMES,TOX3,1
EOMES,TRH,1
EOMES,TRIM13,1
EOMES,TRIM24,1
EOMES,TRPS1,1
EOMES,TUBB6,1
EOMES,TWIST1,1
EOMES,UBQLN2,1
EOMES,UCHL1,1
EOMES,ULK1,1
EOMES,UPP1,1
EOMES,USF1,1
EOMES,VEGFA,1
EOMES,VEZF1,1
EOMES,VIM,1
EOMES,WDR45,1
EOMES,ZBTB10,1
EOMES,ZBTB39,1
EOMES,ZEB1,1
EOMES,ZEB2,1
EOMES,ZFP219,1
EOMES,ZFP276,1
EOMES,ZFP423,1
EOMES,ZFP57,1
EOMES,ZFPM1,1
EOMES,ZHX3,1
ESRRB,2200002D01RIK,1
ESRRB,ABHD5,1
ESRRB,AES,1
ESRRB,AIRE,1
ESRRB,AKR1B8,1
ESRRB,AKT1,1
ESRRB,AMOTL2,1
ESRRB,ANP32A,1
ESRRB,ANXA5,1
ESRRB,APP,1
ESRRB,ARHGAP29,1
ESRRB,ASNS,1
ESRRB,B2M,1
ESRRB,BASP1,1
ESRRB,BCAT1,1
ESRRB,BMP4,1
ESRRB,BTBD11,1
ESRRB,CALD1,1
ESRRB,CAR2,1
ESRRB,CCNG1,1
ESRRB,CITED2,1
ESRRB,CLDN6,1
ESRRB,COBL,1
ESRRB,COMMD3,1
ESRRB,CREB3,1
ESRRB,CSF1,1
ESRRB,DAB2,1
ESRRB,DDAH2,1
ESRRB,DDIT3,1
ESRRB,DKK1,1
ESRRB,E2F2,1
ESRRB,E2F6,1
ESRRB,EDA2R,1
ESRRB,EFEMP2,1
ESRRB,EPHA4,1
ESRRB,ETV4,1
ESRRB,FABP3,1
ESRRB,FBLIM1,1
ESRRB,FGF4,1
ESRRB,FOXP1,1
ESRRB,FST,1
ESRRB,FXYD6,1
ESRRB,GATA3,1
ESRRB,GATA6,1
ESRRB,GBX2,1
ESRRB,GJA1,1
ESRRB,GJB3,1
ESRRB,GLI2,1
ESRRB,GLIPR2,1
ESRRB,GRB10,1
ESRRB,HES6,1
ESRRB,ID2,1
ESRRB,ID3,1
ESRRB,IFITM1,1
ESRRB,IFITM3,1
ESRRB,ILK,1
ESRRB,IRF1,1
ESRRB,JAM2,1
ESRRB,JUN,1
ESRRB,KDELR3,1
ESRRB,KDM3A,1
ESRRB,KIT,1
ESRRB,KLF4,1
ESRRB,KLF6,1
ESRRB,KRT42,1
ESRRB,KRT8,1
ESRRB,LAMA1,1
ESRRB,LAPTM5,1
ESRRB,LDHB,1
ESRRB,LEFTY1,1
ESRRB,LMO4,1
ESRRB,LRP2,1
ESRRB,LRPAP1,1
ESRRB,LRRK1,1
ESRRB,LY6G6E,1
ESRRB,MEG3,1
ESRRB,MORC4,1
ESRRB,MRAS,1
ESRRB,MSC,1
ESRRB,MXD4,1
ESRRB,MYBL2,1
ESRRB,MYH9,1
ESRRB,MYLPF,1
ESRRB,NDN,1
ESRRB,NFATC2IP,1
ESRRB,NFIB,1
ESRRB,NID1,1
ESRRB,NOTCH2,1
ESRRB,NOTCH4,1
ESRRB,NPHS1,1
ESRRB,NR0B1,1
ESRRB,NUPR1,1
ESRRB,OTX2,1
ESRRB,PAWR,1
ESRRB,PCOLCE,1
ESRRB,PFKP,1
ESRRB,PHLDA3,1
ESRRB,PITX2,1
ESRRB,PKNOX2,1
ESRRB,PLOD1,1
ESRRB,PODXL,1
ESRRB,POU4F2,1
ESRRB,PTPN14,1
ESRRB,RAPGEF3,1
ESRRB,RARG,1
ESRRB,RASGRP2,1
ESRRB,RFX2,1
ESRRB,RHOX6,1
ESRRB,RIAN,1
ESRRB,RLIM,1
ESRRB,SEMA4C,1
ESRRB,SERPINE2,1
ESRRB,SERPINH1,1
ESRRB,SIRT1,1
ESRRB,SLC6A8,1
ESRRB,SOAT1,1
ESRRB,SPARC,1
ESRRB,SPP1,1
ESRRB,SPRY4,1
ESRRB,STARD10,1
ESRRB,TAX1BP3,1
ESRRB,TBX3,1
ESRRB,TCL1,1
ESRRB,TDGF1,1
ESRRB,TEAD1,1
ESRRB,TEAD3,1
ESRRB,TINAGL1,1
ESRRB,TPM4,1
ESRRB,TRH,1
ESRRB,TRIB3,1
ESRRB,TRP53BP1,1
ESRRB,TUBB6,1
ESRRB,TXNIP,1
ESRRB,UBQLN2,1
ESRRB,UPP1,1
ESRRB,UTF1,1
ESRRB,VEGFA,1
ESRRB,WWTR1,1
ESRRB,ZEB1,1
ESRRB,ZFAND3,1
ESRRB,ZFHX3,1
ESRRB,ZFP42,1
ESRRB,ZFP57,1
ESRRB,ZYX,1
ETV3,BMP6,1
ETV3,CALCOCO2,1
ETV3,DIDO1,1
ETV3,DKK1,1
ETV3,E2F2,1
ETV3,EPHA4,1
ETV3,EYA1,1
ETV3,FRMD4A,1
ETV3,GATA6,1
ETV3,HKDC1,1
ETV3,HOXD13,1
ETV3,IRF1,1
ETV3,KIT,1
ETV3,KLF2,1
ETV3,MRAS,1
ETV3,NID1,1
ETV3,NOTCH4,1
ETV3,NOTUM,1
ETV3,NR0B1,1
ETV3,NR5A2,1
ETV3,OVOL1,1
ETV3,PARVB,1
ETV3,PAX6,1
ETV3,PCOLCE,1
ETV3,PGA5,1
ETV3,PITX2,1
ETV3,PRSS35,1
ETV3,RHOX6,1
ETV3,SPP1,1
ETV3,STARD8,1
ETV3,STAT4,1
ETV3,TDGF1,1
ETV3,ULK1,1
ETV3,VEGFA,1
ETV3,ZFP42,1
FOXJ2,DKK1,1
FOXJ2,ELF4,1
FOXJ2,FRMD4A,1
FOXJ2,GRIN1,1
FOXJ2,IRF2,1
FOXJ2,KRT8,1
FOXJ2,LRRK1,1
FOXJ2,LY6G6E,1
FOXJ2,OBSL1,1
FOXJ2,POU4F2,1
FOXJ2,POU6F1,1
FOXJ2,RHOX6,1
FOXJ2,TAGLN2,1
FOXJ2,TBX18,1
FOXJ2,TNS4,1
GATA3,2200002D01RIK,1
GATA3,ABHD5,1
GATA3,ADAM19,1
GATA3,ADAM23,1
GATA3,AIRE,1
GATA3,AKT1,1
GATA3,ALPL,1
GATA3,AMOT,1
GATA3,AMOTL2,1
GATA3,ANKRD6,1
GATA3,ANP32A,1
GATA3,ANXA2,1
GATA3,ANXA5,1
GATA3,APBB1,1
GATA3,APOBEC3,1
GATA3,APOE,1
GATA3,APP,1
GATA3,AQP8,1
GATA3,ARHGAP29,1
GATA3,ARID1A,1
GATA3,ARNT2,1
GATA3,ASNS,1
GATA3,ASXL1,1
GATA3,ATF6,1
GATA3,ATP13A3,1
GATA3,ATP6V0A1,1
GATA3,BACH2,1
GATA3,BARX1,1
GATA3,BEND5,1
GATA3,BMI1,1
GATA3,BMP6,1
GATA3,BMPER,1
GATA3,BNIP3,1
GATA3,CALCOCO2,1
GATA3,CBX4,1
GATA3,CBX7,1
GATA3,CBX8,1
GATA3,CCND1,1
GATA3,CD63,1
GATA3,CHCHD10,1
GATA3,CHD7,1
GATA3,CHST15,1
GATA3,CIC,1
GATA3,CITED1,1
GATA3,CITED2,1
GATA3,CKB,1
GATA3,COBL,1
GATA3,COL27A1,1
GATA3,COL4A1,1
GATA3,COL4A2,1
GATA3,COMMD3,1
GATA3,CRABP2,1
GATA3,CREB3,1
GATA3,CREB3L2,1
GATA3,CST3,1
GATA3,CTBP2,1
GATA3,CTSD,1
GATA3,CTSL,1
GATA3,CTSZ,1
GATA3,CUBN,1
GATA3,D230025D16RIK,1
GATA3,DAB2,1
GATA3,DDIT3,1
GATA3,DDX58,1
GATA3,DIDO1,1
GATA3,DKK1,1
GATA3,DNMT3A,1
GATA3,DPP4,1
GATA3,DTX1,1
GATA3,DUSP9,1
GATA3,EGR1,1
GATA3,ELAVL2,1
GATA3,ELF3,1
GATA3,ELL2,1
GATA3,ELL3,1
GATA3,EMP2,1
GATA3,EPAS1,1
GATA3,EPHA2,1
GATA3,EPHA4,1
GATA3,ERF,1
GATA3,ERP29,1
GATA3,ETS1,1
GATA3,ETV4,1
GATA3,ETV5,1
GATA3,EYA1,1
GATA3,FABP3,1
