TF,Target,label
AES,LEF1,1
AES,RND3,1
APC,DNMT1,1
APC,ODC1,1
AR,BTG2,1
AR,CDC6,1
AR,CDH11,1
AR,CDH2,1
AR,CDK6,1
AR,CTNNB1,1
AR,ETV1,1
AR,FN1,1
AR,IFI16,1
AR,KLF5,1
AR,NKX3-1,1
AR,PNRC1,1
AR,TRPS1,1
AR,VIM,1
AR,WEE1,1
ARID3A,CDC6,1
BTF3,EPHB2,1
BTF3,RRAS2,1
BTG2,CCND1,1
CEBPZ,APC,1
CEBPZ,COL11A1,1
CEBPZ,COL1A2,1
CIITA,COL1A1,1
CIITA,COL1A2,1
CIITA,HLA-DQB1,1
CIITA,HLA-DRB1,1
CIITA,HLA-DRB5,1
CIITA,IRF1,1
CIITA,SIRT1,1
CTBP1,CLDN7,1
CTNNB1,AR,1
CTNNB1,CCND1,1
CTNNB1,FST,1
CTNNB1,VIM,1
CUX1,WNT5A,1
DAXX,AIRE,1
DEK,HLA-DQB1,1
DNMT1,BMP2,1
DNMT1,EPCAM,1
DNMT1,GAD1,1
DNMT1,PROM1,1
DNMT1,SFRP1,1
DNMT1,TIMP3,1
DNMT1,TP53,1
DNMT3A,POU5F1,1
DNMT3A,SFRP1,1
E2F3,CCNA2,1
E2F3,CDC6,1
E2F3,CUX1,1
E2F3,PLK1,1
E2F3,TFE3,1
E2F4,AR,1
E2F4,AURKB,1
E2F4,CCND1,1
E2F4,CUX1,1
E2F4,HCFC1,1
E2F4,MCM10,1
E2F4,PLK1,1
E2F4,RAD51,1
E2F4,TTK,1
EGR1,AR,1
EGR1,CCND1,1
EGR1,F3,1
EGR1,FGF2,1
EGR1,FN1,1
EGR1,HIF1A,1
EGR1,PLAU,1
EGR1,TCF4,1
EGR1,TP53,1
ENO1,MYCN,1
ESRRG,NR0B1,1
ETS1,ANGPT2,1
ETS1,BMP4,1
ETS1,COL1A1,1
ETS1,EGR1,1
ETS1,FLI1,1
ETS1,GRPR,1
ETS1,NKX3-1,1
ETS1,PARP1,1
ETS1,PLAU,1
ETS1,SPRY2,1
ETS1,TFAP2A,1
ETS1,TNC,1
ETS1,TP53,1
ETV1,AR,1
ETV4,EGLN1,1
ETV4,ETS1,1
ETV4,MMP2,1
ETV4,VIM,1
ETV7,ETS1,1
EWSR1,MITF,1
EWSR1,NR0B1,1
EWSR1,PHLDA1,1
EZH2,APC,1
EZH2,CCND1,1
EZH2,CIITA,1
EZH2,MMP2,1
EZH2,PCNA,1
EZH2,SATB1,1
EZH2,SFRP1,1
EZH2,SNAI2,1
EZH2,TP53,1
EZH2,TWIST1,1
FLI1,COL1A2,1
FLI1,PHLDA1,1
FOXD3,MITF,1
FOXD3,RND3,1
FOXD3,SPP1,1
FOXH1,AR,1
FUS,AR,1
GATA2,ANGPT2,1
GATA2,AR,1
GATA3,TGFBR3,1
GATA3,ZEB1,1
GATA4,HDAC9,1
GATA6,DAB2,1
GATA6,DKK1,1
GATA6,PLAU,1
HAND2,GATA4,1
HCFC1,E2F4,1
HDAC9,CITED2,1
HDAC9,TP53,1
HDGF,VIM,1
HIF1A,APEX1,1
HIF1A,AR,1
HIF1A,ARNT2,1
HIF1A,ASS1,1
HIF1A,BNIP3,1
HIF1A,CCND1,1
HIF1A,E2F3,1
HIF1A,EGLN1,1
HIF1A,ENO1,1
HIF1A,FAM162A,1
HIF1A,FGF2,1
HIF1A,MIF,1
HIF1A,MMP2,1
HIF1A,NR3C1,1
HIF1A,PLAU,1
HIF1A,PPARA,1
HIF1A,SLC29A1,1
HIF1A,SLC2A1,1
HIF1A,STAT3,1
HIF1A,TWIST1,1
HIF1A,VHL,1
HIF1A,VIM,1
HIF3A,HIF1A,1
HLX,PAK1,1
HMGA1,TP53,1
HMGA1,TWIST1,1
HOXB4,PROM1,1
HOXB7,CCND1,1
HOXB7,FGF2,1
HOXB7,MMP2,1
HOXB7,PDGFA,1
HOXB7,WNT5A,1
IFI16,TP53,1
ILF2,ILF3,1
ILF3,HLA-DRB1,1
ILF3,PLAU,1
IRF1,CIITA,1
IRF1,TP53,1
IRF1,TRIM22,1
JUND,CCND1,1
JUND,CLU,1
JUND,F3,1
JUND,ITGAV,1
JUND,NTS,1
JUND,SOX4,1
JUND,TGFB1,1
KLF5,CCND1,1
KLF5,HIF1A,1
KLF6,CCND1,1
KLF6,PMAIP1,1
KLF8,CDH2,1
KLF8,FN1,1
KLF8,VIM,1
LEF1,AR,1
LEF1,CCND1,1
LEF1,CD1D,1
LEF1,CTNNB1,1
LEF1,MITF,1
LEF1,SNAI2,1
LEF1,TCF4,1
LIMD1,HIF1A,1
LIN28A,CCND1,1
LMO2,ANGPT2,1
LMO2,FGF2,1
LMO2,GYPA,1
LMO2,LEF1,1
LMO2,NFATC1,1
LMO2,ZEB1,1
LMX1B,COL4A1,1
LMX1B,NLRP2,1
MAFF,OXTR,1
MDM4,TP53,1
MEIS1,AR,1
MEIS1,SOX3,1
MITF,CTSK,1
MITF,HIF1A,1
MITF,HOXB4,1
MSX1,DKK1,1
MXD4,ODC1,1
MXI1,MYCN,1
MYBL2,CCND1,1
MYBL2,COL1A1,1
MYCN,CIITA,1
MYCN,CLU,1
MYCN,DKK3,1
MYCN,GRHL1,1
MYCN,HMGA1,1
MYCN,MCM10,1
MYCN,MCM2,1
MYCN,MCM3,1
MYCN,MCM4,1
MYCN,MCM5,1
MYCN,MCM6,1
MYCN,MCM7,1
MYCN,MXI1,1
MYCN,MYBL2,1
MYCN,TP53,1
MYCN,TP53INP1,1
NANOG,CCND1,1
NANOG,CDK6,1
NANOG,DKK1,1
NANOG,KDR,1
NANOG,GATA2,1
NANOG,GATA4,1
NANOG,GATA6,1
NANOG,LAMB1,1
NANOG,POU5F1,1
NANOG,SEMA6A,1
NFIA,PCK2,1
NFIC,COL1A1,1
NFIC,ITGA5,1
NFYB,HOXB7,1
NFYB,LPIN1,1
NFYB,SOX3,1
NKX3-1,AR,1
NKX3-1,CCND1,1
NKX3-1,SIX6,1
NPM1,CCND1,1
NPM1,DNMT1,1
NR0B1,ESRRG,1
NR0B1,PBX1,1
NR3C1,CCND1,1
NR3C1,CDK6,1
NR3C1,ETS1,1
NR3C1,PNRC1,1
NR3C1,SPP1,1
NR3C1,TP53,1
OTX2,CCNG2,1
OTX2,CDC25C,1
OTX2,HESX1,1
PA2G4,AR,1
PARP1,FBN1,1
PARP1,FN1,1
PARP1,SNAI1,1
PARP1,VIM,1
PBX1,NANOG,1
PBX1,SOX3,1
PGR,CCND1,1
PHB2,BTG2,1
PITX2,LEF1,1
PITX2,WNT5A,1
POU2AF1,SPIB,1
POU2AF1,TK1,1
POU2F1,AR,1
POU2F1,CCND1,1
POU2F1,GCM1,1
POU2F1,ID1,1
POU2F1,MAD2L1,1
POU2F1,PLAU,1
POU2F1,POU2AF1,1
POU2F1,SNAI2,1
POU2F1,SPP1,1
POU2F1,TK1,1
POU2F1,TWIST1,1
POU2F2,SPIB,1
POU2F2,SPP1,1
POU2F2,TK1,1
POU5F1,BMP4,1
POU5F1,DKK1,1
POU5F1,EOMES,1
POU5F1,GATA6,1
POU5F1,HLX,1
POU5F1,ITGA6,1
POU5F1,NANOG,1
POU5F1,SEMA6A,1
POU5F1,SOX2,1
POU5F1,SPP1,1
POU5F1,THY1,1
POU5F1,ZFP42,1
PPARA,NFKBIA,1
PRDM1,CIITA,1
PRDM1,LMO2,1
PRDM1,PCNA,1
PRDM14,POU5F1,1
PURA,AR,1
PURA,PCNA,1
RBMX,EGR1,1
RBMX,JUND,1
REL,EPHB2,1
REL,F3,1
RFXANK,HLA-DQB1,1
RFXANK,HLA-DRB1,1
RFXANK,HLA-DRB5,1
RNF14,CCND1,1
RUNX1,MAD2L1,1
RUNX1,MECOM,1
RUNX1,NCAM1,1
RUVBL1,TP53,1
SALL3,DNMT3A,1
SALL3,HDAC9,1
SATB1,GATA3,1
SATB2,UPF3B,1
SF1,NR0B1,1
SIRT1,BCL11A,1
SIRT1,CCND1,1
SIRT1,COL1A2,1
SIRT1,CTNNB1,1
SIRT1,EGLN1,1
SIRT1,ESRRG,1
SIRT1,EZH2,1
SIRT1,HIF1A,1
SIRT1,LIN28A,1
SIRT1,TBX3,1
SIRT1,TP53,1
SMG6,UPF1,1
SNAI1,CDH2,1
SNAI1,FN1,1
SNAI2,CDH2,1
SNAI2,POU5F1,1
SOX17,FN1,1
SOX17,NFAT5,1
SOX2,ASXL1,1
SOX2,BMP4,1
SOX2,CCND1,1
SOX2,DKK1,1
SOX2,ISL1,1
SOX2,ITGA6,1
SOX2,SEMA6A,1
SOX2,VIM,1
SOX4,NCAM1,1
SOX4,NKX3-1,1
SP100,ETS1,1
SSB,LAMB1,1
STAT2,IRF1,1
STAT3,ABCA1,1
STAT3,AR,1
STAT3,CCND1,1
STAT3,DNMT1,1
STAT3,FGF2,1
STAT3,HIF1A,1
STAT3,IRF1,1
STAT3,LTBP1,1
STAT3,MMP2,1
STAT3,NANOG,1
STAT3,OAS1,1
STAT3,POU2F1,1
STAT3,PPARA,1
STAT3,PRDM1,1
STAT3,TGFB1,1
STAT3,TP53,1
STAT3,TWIST1,1
TCF4,CCND1,1
TCF4,FST,1
TCF4,HECA,1
TCF4,LGR5,1
TCF4,MITF,1
TCF4,VIM,1
TFAP2A,COL1A1,1
TFAP2A,CRABP2,1
TFAP2A,CRX,1
TFAP2A,ETS1,1
TFAP2A,MMP2,1
TFAP2A,NR3C1,1
TFAP2A,SPRY2,1
TFAP4,SALL2,1
TFDP1,MYBL2,1
TFDP1,NRIP1,1
TFDP1,PCNA,1
TFDP1,TP53,1
TLE3,RUNX1,1
TP53,ANKRD1,1
TP53,BTG2,1
TP53,CCNA2,1
TP53,CCNB2,1
TP53,CCND1,1
TP53,CHEK2,1
TP53,CTNNB1,1
TP53,DKK1,1
TP53,DNMT1,1
TP53,E2F3,1
TP53,E2F7,1
TP53,EGR1,1
TP53,EPHA2,1
TP53,EZH2,1
TP53,FGF2,1
TP53,FUS,1
TP53,ID1,1
TP53,IFI16,1
TP53,MCM7,1
TP53,MDM4,1
TP53,MMP2,1
TP53,NKX3-1,1
TP53,PLAGL1,1
TP53,PLK1,1
TP53,PMAIP1,1
TP53,SLC2A1,1
TP53,STAT3,1
TP53,TRIM22,1
TP53,UHRF1,1
TRIM28,E2F3,1
TRIM28,E2F4,1
TRIM28,ID1,1
TRIP6,CDK6,1
TWIST1,CDH2,1
TWIST1,DKK1,1
TWIST1,FN1,1
TWIST1,MMP2,1
TWIST1,YBX1,1
UHRF1,TOP2A,1
UPF2,UPF1,1
VHL,ANGPT2,1
VHL,AR,1
VHL,CA12,1
VHL,CCND1,1
VHL,COL4A2,1
VHL,DAB2,1
VHL,HIF1A,1
VHL,BHLHE40,1
VHL,TCF4,1
VHL,TP53,1
WWP1,ERBB4,1
WWP1,TGFBR1,1
WWTR1,ASNS,1
XRCC5,ETS1,1
YBX1,AR,1
YBX1,CDC20,1
YBX1,CDKN3,1
YBX1,MMP2,1
YBX1,MYCN,1
YBX1,RBBP8,1
YBX1,TOP2A,1
ZBTB2,TP53,1
ZEB1,AR,1
ZEB1,EPCAM,1
ZEB1,GRHL2,1
ZEB1,POU5F1,1
ZEB2,ITGA5,1
ZEB2,POU5F1,1
ZEB2,VIM,1
ZIC2,TCF4,1
ZNF160,TLR4,1
ZNF202,ABCA1,1
ZNF24,CCND1,1
ZNF24,CTNNB1,1
AES,AR,1
AES,MSX1,1
AES,POU2F1,1
AES,PRDM1,1
AES,SIX6,1
AFF1,MLLT3,1
AIP,PPARA,1
ALS2CR8,LMO3,1
ALYREF,LEF1,1
ANKRD1,TTN,1
ANKZF1,AURKB,1
ANKZF1,CA2,1
APC,CTBP1,1
APC,CTNNB1,1
APC,KIFAP3,1
APC,TFAP2A,1
APC,TUBA4A,1
APEX1,HIF1A,1
APEX1,PCNA,1
APEX1,POLB,1
APEX1,TP53,1
APEX1,XRCC6,1
AR,ADAMTS3,1
AR,AES,1
AR,CCND1,1
AR,CITED2,1
AR,CRABP2,1
AR,CYP26A1,1
AR,DAXX,1
AR,DCAF6,1
AR,ETS1,1
AR,FGF2,1
AR,GATA3,1
AR,HIF1A,1
AR,HOXB4,1
ARID3A,E2F4,1
ARID3A,SP100,1
ARID3A,TP53,1
ARID5B,ACSS3,1
ARID5B,ANKRD13C,1
ARID5B,BUB1B,1
ARID5B,CASK,1
ARID5B,CCDC138,1
ARID5B,DPH2,1
ARID5B,DUSP10,1
ARID5B,EHD3,1
ARID5B,ESCO2,1
ARID5B,HAPLN1,1
ARID5B,LRRN1,1
ARID5B,LUM,1
ARID5B,MAPKAPK3,1
ARID5B,MEF2D,1
ARID5B,PHLPP1,1
ARID5B,PITX2,1
ARID5B,PTDSS1,1
ARID5B,SEMA3A,1
ARID5B,SHISA6,1
ARID5B,TLE2,1
ARID5B,TMEM38B,1
ARID5B,ZEB2,1
ARID5B,ZFHX3,1
AR,IL6ST,1
AR,JMJD1C,1
AR,KAT7,1
AR,KHSRP,1
AR,KIF1A,1
AR,MED14,1
AR,MIF,1
AR,MYBBP1A,1
AR,MYCN,1
AR,NCOA6,1
AR,NEDD9,1
AR,NFKBIA,1
AR,NONO,1
AR,NR0B1,1
AR,NR2C1,1
AR,NR3C1,1
AR,NRIP1,1
ARNT2,HIF1A,1
AR,PA2G4,1
AR,PLAU,1
AR,POU2F1,1
AR,POU5F1,1
AR,PSMC3IP,1
AR,RARG,1
AR,RCHY1,1
AR,RNF14,1
AR,RUNX1,1
AR,SART3,1
AR,SRC,1
AR,STAT3,1
AR,SVIL,1
AR,TCF4,1
AR,TGFB1,1
AR,TGFB1I1,1
AR,TMF1,1
AR,TNFRSF11B,1
AR,XRCC5,1
AR,XRCC6,1
ASH2L,TGFBR1,1
ATF6,ADAMTS3,1
ATF6,ANKRD13C,1
ATF6,ARRB1,1
ATF6,ATRX,1
ATF6,BAMBI,1
ATF6,CDC14B,1
ATF6,CEP55,1
ATF6,CPE,1
ATF6,CRABP2,1
ATF6,DACH1,1
ATF6,DCAF6,1
ATF6,DNAJC9,1
ATF6,DYNC2LI1,1
ATF6,ELL2,1
ATF6,ENOPH1,1
ATF6,FAM117B,1
ATF6,FN1,1
ATF6,FOXD3,1
ATF6,FTSJ3,1
ATF6,GATA3,1
ATF6,GATA4,1
ATF6,GOLGB1,1
ATF6,GPM6B,1
ATF6,GSC,1
ATF6,HCFC1,1
ATF6,HLA-DQB1,1
ATF6,HNRNPK,1
ATF6,HOMER1,1
ATF6,IPO4,1
ATF6,JUND,1
ATF6,KAT7,1
ATF6,KLHL12,1
ATF6,LGR5,1
ATF6,LHX1,1
ATF6,LMX1B,1
ATF6,MAFF,1
ATF6,MAGI3,1
ATF6,MXI1,1
ATF6,MYBL2,1
ATF6,NAV2,1
ATF6,NFKBIB,1
ATF6,NR3C1,1
ATF6,PAK1,1
ATF6,PCDH7,1
ATF6,PDLIM3,1
ATF6,PIP5K1B,1
ATF6,PJA2,1
ATF6,PPM1K,1
ATF6,PREPL,1
ATF6,PTPRM,1
ATF6,RARG,1
ATF6,RBM14,1
ATF6,RIOK1,1
ATF6,SCG3,1
ATF6,SKIL,1
ATF6,SLC16A2,1
ATF6,SLC7A3,1
ATF6,SLITRK2,1
ATF6,SMARCD1,1
ATF6,SNX16,1
ATF6,SRSF1,1
ATF6,STAT3,1
ATF6,SYNE2,1
ATF6,TBX20,1
ATF6,TLE3,1
ATF6,UCK2,1
ATF6,ZAP70,1
ATF6,ZCCHC11,1
ATF6,ZFHX3,1
ATF6,ZFP36L2,1
ATF6,ZWILCH,1
ATRX,DAXX,1
ATRX,EZH2,1
ATRX,RAD51,1
ATRX,SVIL,1
BHLHE40,CAMK2D,1
BHLHE40,EIF5A2,1
BHLHE40,ENOPH1,1
BHLHE40,HIF1A,1
BHLHE40,HPS5,1
BHLHE40,ILF3,1
BHLHE40,KLHL12,1
BHLHE40,LTV1,1
BHLHE40,PAK1IP1,1
BHLHE40,STAT3,1
BHLHE40,VIM,1
CALCOCO1,NDC80,1
CBFA2T2,RUNX1,1
CBX3,SP100,1
CBX3,TRIM28,1
CEBPZ,NFYB,1
CEBPZ,TP53,1
CHAF1A,BLM,1
CHAF1A,DBF4,1
CHAF1A,PCNA,1
CHAF1A,TRIM28,1
CIITA,NFYB,1
CIITA,RFXANK,1
CITED2,HIF1A,1
CITED2,TFAP2A,1
CREB3L2,MITF,1
CREB3L4,MITF,1
CREB3L4,PRKACB,1
CRX,RAX2,1
CSDE1,HNRNPD,1
CSRP2,EEF1A1,1
CTBP1,APC,1
CTBP1,ELK3,1
CTBP1,FOXP1,1
CTBP1,HDAC9,1
CTBP1,LEF1,1
CTBP1,MECOM,1
CTBP1,NRIP1,1
CTBP1,RBBP8,1
CTBP1,RBPJ,1
CTBP1,RUNX1,1
CTBP1,TCF7L1,1
CTBP1,ZEB1,1
CTBP1,ZEB2,1
CTBP1,ZFPM2,1
CTNNB1,APC,1
CTNNB1,CDH11,1
CTNNB1,CDH2,1
CTNNB1,CDK6,1
CTNNB1,FER,1
CTNNB1,HIF1A,1
CTNNB1,KDR,1
CTNNB1,LEF1,1
CTNNB1,MITF,1
CTNNB1,PITX2,1
