TF,Target,label
AATF,CDKN1A,1
AATF,MYC,1
AATF,TP53,1
AHR,BRCA1,1
AHR,CCND1,1
AHR,MYC,1
AHR,PCNA,1
APEX1,CCL2,1
ATF3,ASNS,1
ATF3,DDIT3,1
ATF3,TP53,1
BDP1,MYC,1
BDP1,TP53,1
BIN1,MYC,1
BRCA1,BRCA2,1
BRCA1,CCNB1,1
BRCA1,CCND1,1
BRCA1,CDKN1A,1
BRCA1,DDB2,1
BRCA1,DDIT3,1
BRCA1,EGFR,1
BRCA1,EGR1,1
BRCA1,HMGA2,1
BRCA1,IRF9,1
BRCA1,MAD2L1,1
BRCA1,MYC,1
BRCA1,SIRT1,1
BRCA1,STAT2,1
BRCA1,TFF1,1
BRCA2,RAD51,1
BTG2,CCND1,1
CDX2,CDKN1A,1
CDX2,MEP1A,1
CEBPA,AFP,1
CEBPA,ALB,1
CEBPA,CCL2,1
CEBPA,HSD17B11,1
CEBPA,MYC,1
CEBPA,SPP1,1
CEBPD,DDIT3,1
CEBPD,PDGFRA,1
CEBPD,POU5F1,1
CHD8,BRCA1,1
CHD8,MYC,1
CNBP,MYC,1
CREB1,FOXA1,1
CREB1,GRPR,1
CREB1,JUN,1
CREB1,LAPTM4B,1
CREB1,NR2F6,1
CREB1,NR5A2,1
CREB1,STMN1,1
CTBP1,BRCA1,1
CTBP1,BRCA2,1
DDIT3,ANKRD1,1
DDIT3,ASNS,1
DDIT3,ATG5,1
DDIT3,CEBPA,1
DDIT3,SIRT1,1
DDIT3,SIRT2,1
DDIT3,TF,1
DNMT1,BIRC5,1
DNMT1,BMP2,1
DNMT1,HDAC1,1
DNMT1,IL32,1
DNMT1,MSH2,1
DNMT1,SFRP1,1
DNMT1,TP53,1
DNMT3A,CDKN1A,1
DNMT3A,POU5F1,1
DNMT3A,SFRP1,1
E2F3,AURKA,1
E2F3,CCNB1,1
E2F3,CDK1,1
E2F3,CDKN1A,1
E2F3,PLK1,1
E2F3,TFE3,1
E2F4,AURKB,1
E2F4,BIRC5,1
E2F4,BRCA1,1
E2F4,CCNB1,1
E2F4,CCND1,1
E2F4,HCFC1,1
E2F4,MYC,1
E2F4,PLK1,1
E2F4,RAD51,1
E2F5,MYC,1
E2F8,CCND1,1
EGR1,AKR1B1,1
EGR1,ATF3,1
EGR1,CCND1,1
EGR1,CDKN1A,1
EGR1,EGFR,1
EGR1,F3,1
EGR1,STMN1,1
EGR1,TCF4,1
EGR1,TP53,1
EHMT2,BIRC5,1
EHMT2,CDKN1A,1
ELF1,BRCA2,1
ENO1,MYC,1
ENO1,MYCN,1
ETS1,ANPEP,1
ETS1,CDKN1A,1
ETS1,EGR1,1
ETS1,GRPR,1
ETS1,PARP1,1
ETS1,TP53,1
ETV4,ETS1,1
EZH2,ALDH1A1,1
EZH2,AXL,1
EZH2,BRCA1,1
EZH2,CCND1,1
EZH2,CDKN1A,1
EZH2,HDAC1,1
EZH2,MST1,1
EZH2,MYC,1
EZH2,PCNA,1
EZH2,POLR3D,1
EZH2,SFRP1,1
EZH2,TP53,1
FHL2,CCND1,1
FHL2,CDKN1A,1
FOSL1,EZH2,1
FOSL2,BRCA1,1
FOSL2,FOSL1,1
FOXA1,APOB,1
FOXA1,BRCA1,1
FOXA1,MYC,1
FOXA1,TFF1,1
FOXA2,APOA1,1
FOXA2,NR5A2,1
FOXA2,PAX6,1
FOXA2,TFF1,1
FOXM1,BRIP1,1
FOXM1,BTG2,1
FOXM1,CCNB1,1
FOXM1,FGB,1
FOXM1,MYC,1
FOXO1,EGR1,1
FOXO1,PDGFA,1
FUBP1,CDKN1A,1
FUBP1,MYC,1
GATA6,APOA1,1
GATA6,DAB2,1
GLI1,JUN,1
GLI1,PDGFRA,1
GLI1,SFRP1,1
GLI2,FOXA2,1
GLI2,JUN,1
GLI2,PDGFRA,1
GTF2I,SIRT1,1
HCFC1,E2F4,1
HDAC1,APOC3,1
HDAC1,BIRC5,1
HDAC1,BRCA2,1
HDAC1,CCND1,1
HDAC1,CDKN1A,1
HDAC1,DNMT1,1
HDAC1,EGFR,1
HDAC1,EGR1,1
HDAC1,PCNA,1
HDAC1,POU5F1,1
HDAC1,PSIP1,1
HDAC1,SFRP1,1
HDAC1,SPP1,1
HDAC1,TFF1,1
HDAC1,TP53,1
HDAC2,CCL2,1
HDAC2,CDKN1A,1
HDAC2,DNMT1,1
HDAC2,MYC,1
HDAC2,MYCN,1
HIF3A,EPAS1,1
HIPK2,CDKN1A,1
HIPK2,MEF2C,1
HIPK2,TP53,1
HMGA1,BRCA1,1
HMGA1,TP53,1
HMGN1,PCNA,1
HMGN1,TFF1,1
HNF4A,AFP,1
HNF4A,APOA1,1
HNF4A,APOA2,1
HNF4A,APOB,1
HNF4A,APOC3,1
HNF4A,CDKN1A,1
HNF4A,MTTP,1
HNF4A,MYC,1
HNF4A,PPARA,1
ID3,TCF3,1
ILF2,ILF3,1
ILF3,BIRC5,1
ING1,AFP,1
ING1,CDKN1A,1
ING1,PCNA,1
ING1,TP53,1
IRF1,CCNB1,1
IRF1,CDK1,1
IRF1,CDK4,1
IRF1,CDKN1A,1
IRF1,TP53,1
IRF1,TRIM22,1
IRF3,CCL2,1
IRF9,CDKN1A,1
IRF9,SP100,1
JUN,APOC3,1
JUN,ATF3,1
JUN,BRCA1,1
JUN,CA2,1
JUN,CCL2,1
JUN,CCND1,1
JUN,CDKN1A,1
JUN,DDIT3,1
JUN,EGFR,1
JUN,ETS1,1
JUN,EZH2,1
JUN,F3,1
JUN,FOSL1,1
JUN,LGALS3,1
JUN,MYC,1
JUN,PPARA,1
JUN,RARG,1
JUN,STMN1,1
JUN,TFF1,1
JUN,TP53,1
JUND,CCND1,1
JUND,CDKN1A,1
JUND,F3,1
JUND,FOSL1,1
JUND,SOX4,1
KDM4C,JAG1,1
KLF5,BIRC5,1
KLF5,CCNB1,1
KLF5,CCND1,1
KLF5,FOXO1,1
KLF6,ATF3,1
KLF6,CCND1,1
KLF6,CDKN1A,1
KLF6,PMAIP1,1
KLF6,PTTG1,1
LIN28A,CCND1,1
MEF2C,JUN,1
MYBL2,CCND1,1
MYBL2,MYC,1
MYC,ATF3,1
MYC,CCNB1,1
MYC,CCND1,1
MYC,CDK4,1
MYC,CDKN1A,1
MYC,CEBPA,1
MYC,CHEK1,1
MYC,CHEK2,1
MYC,EBNA1BP2,1
MYC,FOXM1,1
MYC,GATA4,1
MYC,HDAC2,1
MYC,ID2,1
MYC,MAPK1,1
MYC,MST1,1
MYC,PCNA,1
MYC,PMAIP1,1
MYC,SFRP1,1
MYC,SRSF1,1
MYC,TFRC,1
MYC,TP53,1
MYC,UBE2C,1
MYCN,BIRC5,1
MYCN,CDKN1A,1
MYCN,GRHL1,1
MYCN,HDAC2,1
MYCN,HMGA1,1
MYCN,ID2,1
MYCN,MCM2,1
MYCN,MCM3,1
MYCN,MCM4,1
MYCN,MCM5,1
MYCN,MCM6,1
MYCN,MCM7,1
MYCN,MCM8,1
MYCN,MYBL2,1
MYCN,TP53,1
NANOG,AFP,1
NANOG,CCND1,1
NANOG,CDX2,1
NANOG,GATA4,1
NANOG,GATA6,1
NANOG,L1TD1,1
NANOG,LAMB1,1
NANOG,MTF2,1
NANOG,NODAL,1
NANOG,POU5F1,1
NCOA1,CDKN1A,1
NFIB,CDKN1A,1
NFIB,WFDC2,1
NOTCH3,ASPH,1
NPM1,CCND1,1
NPM1,CDKN1A,1
NPM1,DNMT1,1
NPM1,TAF1A,1
NPM1,USP7,1
NR2F2,POU5F1,1
NR2F2,PPARA,1
NR2F6,APOA2,1
NR2F6,APOB,1
NR2F6,APOC3,1
NR3C1,BRCA1,1
NR3C1,CCND1,1
NR3C1,CDK4,1
NR3C1,CDKN1A,1
NR3C1,ETS1,1
NR3C1,SPP1,1
NR3C1,SRF,1
NR3C1,TP53,1
NUPR1,CDKN1A,1
NUPR1,TP53,1
OTX2,AURKA,1
OTX2,HESX1,1
OTX2,PAX6,1
PARP1,BRCA2,1
PARP1,CDKN1A,1
PARP1,FOXO1,1
PARP1,JUN,1
PBX1,NANOG,1
PHB2,BTG2,1
PIAS2,MYCN,1
PITX1,JUN,1
POU2F1,CCND1,1
POU2F1,CDX2,1
POU2F1,MAD2L1,1
POU2F1,SNAPC1,1
POU2F1,SPP1,1
POU2F1,TK1,1
POU5F1,CDKN1A,1
POU5F1,CDX2,1
POU5F1,DDC,1
POU5F1,EOMES,1
POU5F1,GATA6,1
POU5F1,ID2,1
POU5F1,L1TD1,1
POU5F1,NANOG,1
POU5F1,SOX2,1
POU5F1,SPP1,1
POU5F1,TDGF1,1
POU5F1,THY1,1
POU5F1,ZFP42,1
PPARA,APOA4,1
PPARA,APOB,1
PPARA,APOC3,1
PPARA,PLIN2,1
PPARA,SLC25A20,1
PRDM1,MYC,1
PRDM1,PCNA,1
PRDM14,POU5F1,1
PREB,CCL2,1
PTMA,CDKN1A,1
PTTG1,CCNB1,1
PTTG1,CDK1,1
PTTG1,ID3,1
PTTG1,LGALS1,1
PTTG1,MYC,1
RBMX,EGR1,1
RBMX,FOSL1,1
RBMX,JUND,1
REST,LIN28A,1
RFX5,HDAC2,1
RUVBL1,TP53,1
SALL3,DNMT3A,1
SALL4,POU5F1,1
SIRT1,BCL11A,1
SIRT1,CCND1,1
SIRT1,CDKN1A,1
SIRT1,EZH2,1
SIRT1,LIN28A,1
SIRT1,MYC,1
SIRT1,PAX6,1
SIRT1,TBX3,1
SIRT1,TP53,1
SIRT2,AFP,1
SIRT2,CDKN1A,1
SMAD2,AHR,1
SMAD2,CDKN1A,1
SMAD2,GLI1,1
SMAD3,AHR,1
SMAD3,APOC3,1
SMAD3,CDKN1A,1
SMAD3,FOXA2,1
SMAD3,GLI2,1
SMAD3,JUN,1
SMAD3,MXD1,1
SMAD3,MYC,1
SMAD3,ZFP36,1
SMARCA4,CCND1,1
SMARCA4,CDKN1A,1
SOX2,ASXL1,1
SOX2,CCND1,1
SOX2,L1TD1,1
SOX2,PAX6,1
SP100,ETS1,1
SP4,BIRC5,1
SP4,CCND1,1
SRF,CREB1,1
SRF,FHL2,1
SRF,FOSL1,1
SRF,HMGXB4,1
SRF,LMO7,1
SRF,TAGLN,1
SRSF1,MYC,1
SSB,LAMB1,1
STAT2,CCL2,1
STAT2,IRF1,1
TAF5,CDKN1A,1
TBL1X,MYC,1
TBX3,CDKN1A,1
TCF3,CDKN1A,1
TCF3,MYC,1
TCF3,POU5F1,1
TCF4,BIRC5,1
TCF4,CCND1,1
TCF4,JUN,1
TCF4,MYC,1
TCF4,VCAN,1
TFAP2C,CDKN1A,1
TFAP2C,CRABP2,1
TFDP1,CDK1,1
TFDP1,MYBL2,1
TFDP1,NRIP1,1
TFDP1,PCNA,1
TFDP1,RRM1,1
TFDP1,TP53,1
TNFAIP3,JUN,1
TP53,AFP,1
TP53,ANKRD1,1
TP53,ATF3,1
TP53,BIRC5,1
TP53,BRCA1,1
TP53,BRCA2,1
TP53,BTG2,1
TP53,CCNB1,1
TP53,CCNB2,1
TP53,CCND1,1
TP53,CDK1,1
TP53,CDK4,1
TP53,CDKN1A,1
TP53,CHEK1,1
TP53,CHEK2,1
TP53,DDB2,1
TP53,DNMT1,1
TP53,E2F3,1
TP53,E2F7,1
TP53,EGFR,1
TP53,EGR1,1
TP53,EZH2,1
TP53,FOXM1,1
TP53,GLI2,1
TP53,HIPK2,1
TP53,HNF4A,1
TP53,ID2,1
TP53,ING1,1
TP53,MCM7,1
TP53,MYC,1
TP53,PIAS3,1
TP53,PLK1,1
TP53,PMAIP1,1
TP53,PRC1,1
TP53,PTTG1,1
TP53,SMAD3,1
TP53,TRIM22,1
TP53,UHRF1,1
TP53,VCAN,1
TRIM28,E2F3,1
TRIM28,E2F4,1
UHRF1,TOP2A,1
WDR5,MYC,1
XBP1,CCL2,1
XBP1,DDIT3,1
XRCC5,ETS1,1
YBX1,AGT,1
YBX1,ANAPC4,1
YBX1,CCNB1,1
YBX1,CDC20,1
YBX1,CDKN3,1
YBX1,CKS2,1
YBX1,EGFR,1
YBX1,KPNA2,1
YBX1,MYCN,1
YBX1,TOP2A,1
YEATS4,TP53,1
ZBTB16,CEBPA,1
ZBTB16,ID2,1
ZFHX3,AFP,1
ZFHX3,CDKN1A,1
ZIC2,TCF4,1
ZNF143,BUB1B,1
ZNF300,CDKN1A,1
ZNF300,MYC,1
AATF,CHEK1,1
AATF,CHEK2,1
AATF,PAWR,1
AEBP1,TCF3,1
AEBP2,EED,1
AEBP2,RBBP4,1
AES,GTF2E1,1
AES,POU2F1,1
AES,PRDM1,1
AHR,APEH,1
AHR,ATF3,1
AHR,BCL11A,1
AHR,BCL11B,1
AHR,C1GALT1,1
AHR,CAMK2D,1
AHR,CBX3,1
AHR,CDCA7L,1
AHR,CKS1B,1
AHR,CNBP,1
AHR,CREB1,1
AHR,CTDSPL,1
AHR,DDAH1,1
AHR,EGR1,1
AHR,EHMT2,1
AHR,ETV4,1
AHR,EWSR1,1
AHR,EZH2,1
AHR,FOXA2,1
AHR,FOXO1,1
AHR,FOXP1,1
AHR,G6PC3,1
AHR,GPC3,1
AHR,GSN,1
AHR,GTF2F2,1
AHR,HERPUD1,1
AHR,HMGA1,1
AHR,HMGN2,1
AHR,HNRNPUL1,1
AHR,IQGAP2,1
AHR,IRF1,1
AHR,ISG15,1
AHR,JAG1,1
AHR,LAMC1,1
AHR,MATR3,1
AHR,MED30,1
AHR,MTF2,1
AHR,NCOA1,1
AHR,NME2,1
AHR,NR2F2,1
AHR,NR3C1,1
AHR,NRIP1,1
AHR,NSD1,1
AHR,OTX2,1
AHR,PDGFA,1
AHR,PIAS2,1
AHR,PIM2,1
AHR,POLR1D,1
AHR,PPARA,1
AHR,PRMT5,1
AHR,PTMA,1
AHR,RAD51,1
AHR,RARG,1
AHR,RBBP7,1
AHR,SLC7A3,1
AHR,SMAD5,1
AHR,SMARCA4,1
AHR,SOX2,1
AHR,SP4,1
AHR,SRSF6,1
AHR,SSBP3,1
AHR,TAF7,1
AHR,TBL1X,1
AHR,THAP1,1
AHR,TNNI3,1
AHR,TRIM27,1
AHR,XRCC6,1
AHR,YARS,1
AHR,ZFHX3,1
AHR,ZIC2,1
AHR,ZNHIT3,1
APEX1,FEN1,1
APEX1,HDAC1,1
APEX1,HMGB2,1
APEX1,PCNA,1
APEX1,POLB,1
APEX1,TP53,1
APEX1,XRCC6,1
ASCC3,SKIL,1
ATF3,B4GALT3,1
ATF3,CENPE,1
ATF3,CRABP2,1
ATF3,ELL2,1
ATF3,FOSB,1
ATF3,GATA4,1
ATF3,GPM6B,1
ATF3,HCFC1,1
ATF3,ICA1,1
ATF3,JUN,1
ATF3,JUND,1
ATF3,KAT7,1
ATF3,LHX1,1
ATF3,MAFF,1
ATF3,MXD1,1
ATF3,MYBL2,1
ATF3,NEDD1,1
ATF3,NR3C1,1
ATF3,NUF2,1
ATF3,PAX6,1
ATF3,PEG3,1
ATF3,PRKCE,1
ATF3,RAD51C,1
ATF3,SIRT2,1
ATF3,SKIL,1
ATF3,SLC7A3,1
ATF3,SMAD3,1
ATF3,SRSF1,1
ATF3,SSBP3,1
ATF3,TGIF2,1
ATF3,ZFHX3,1
ATF3,ZWILCH,1
BCL11A,NR2F2,1
BCL11B,NR2F2,1
BCOR,HDAC1,1
BCOR,USP7,1
BPTF,ACADVL,1
BPTF,BTG1,1
BPTF,CCDC82,1
BPTF,CDCA3,1
BPTF,COPS5,1
BPTF,CREB3L3,1
