TF,Target,label
APEX1,NFKB1,1
APEX1,RELA,1
APEX1,TLR4,1
ARL6IP5,PARP1,1
ATF2,CEBPA,1
ATF2,FOS,1
ATF2,PER1,1
ATF2,RELA,1
ATF2,TNF,1
ATF4,CDKN1A,1
ATF4,HSPA5,1
ATF4,MCM7,1
ATF6,HSPA5,1
BACH1,TRP53,1
CEBPA,CFLAR,1
CEBPA,NFKB1,1
CHD4,ID2,1
CHD4,JUN,1
CREB3,HERPUD1,1
CREBBP,BIRC5,1
CREBBP,FOS,1
CREBBP,FOSB,1
CREBBP,FTH1,1
CREBBP,LDHA,1
CREBBP,MED1,1
CREBBP,MT1,1
CREBBP,NFKB1,1
CREBBP,PER1,1
CREBBP,TNF,1
CREBBP,TRP53,1
CTNNB1,BIRC5,1
CTNNB1,MITF,1
DNMT1,CDKN1A,1
DNMT1,MT1,1
DNMT1,TRP53,1
DNMT3A,MDM2,1
DNMT3A,MT1,1
EGR1,BIRC5,1
EGR1,CREBBP,1
EGR1,CXCL2,1
EGR1,ENO1,1
EGR1,GADD45B,1
EGR1,ID3,1
EGR1,IL1B,1
EGR1,JUN,1
EGR1,MAP1LC3B,1
EGR1,MAPK14,1
EGR1,NR4A1,1
EGR1,TNF,1
EGR1,TRP53,1
EGR2,ID2,1
EHMT2,CDKN1A,1
ELF1,FCER1G,1
ELF1,FLI1,1
ETS2,EGR1,1
ETS2,FLI1,1
ETS2,HMOX2,1
ETS2,JUN,1
ETS2,MDM2,1
EZH2,TRP53,1
FLI1,EZH2,1
FOS,EGR1,1
FOS,H2-K1,1
FOS,JUN,1
FOS,MT1,1
FOS,NFE2L2,1
FOS,NR3C1,1
FOS,PDPN,1
FOS,TRP53,1
FOSB,FOS,1
FOSL2,TCIRG1,1
GTF2I,CFDP1,1
GTF2I,FOS,1
GTF2I,HSPA5,1
GTF2I,NSD1,1
HDAC1,CDKN1A,1
HDAC1,JUN,1
HDAC1,NFKBIA,1
HDAC1,RBL2,1
