TF,Target,label
AATF,CDKN1A,1
AATF,TRP53,1
APBB1,NOTCH1,1
APEX1,RELA,1
ARL6IP5,PARP1,1
ARNTL,CTNNB1,1
ARNTL,NFE2L2,1
ARNTL,PER1,1
ASH1L,TGFB1,1
ATF1,HSPA5,1
ATF2,CCND1,1
ATF2,PER1,1
ATF2,RELA,1
ATF3,CCND1,1
ATF4,CDKN1A,1
ATF4,HSPA5,1
ATF4,MCM7,1
ATF4,TRIB3,1
ATF6,HSPA5,1
ATM,CDKN1A,1
ATM,TRP53,1
BACH2,PRDM1,1
BCL3,CCND1,1
BCL3,CTSL,1
BCL3,NFKB2,1
BCL3,RUNX1,1
BCL3,TNFAIP3,1
BMI1,CDKN1A,1
BMI1,DKK1,1
BMI1,HMGA2,1
BMI1,NANOG,1
BMP6,MYCN,1
BRCA1,AKT1,1
BRCA1,CDKN1A,1
BRCA1,HMGA2,1
BRCA1,MDM2,1
BRCA1,RAD51,1
BRCA1,SIRT1,1
BRCA2,CDKN1A,1
CHD4,ID2,1
CHD4,JUN,1
CHD7,MYCN,1
CHD7,SOX4,1
CITED2,LDHB,1
CITED2,SMAD3,1
CNOT3,MYC,1
CTCF,IGF2,1
CTCF,PAX6,1
CTNNB1,BMP4,1
CTNNB1,CCND1,1
CTNNB1,E2F1,1
CTNNB1,FOXA2,1
CTNNB1,GJA1,1
CTNNB1,GLUL,1
CTNNB1,MITF,1
CTNNB1,MYC,1
CTNNB1,MYCN,1
CTNNB1,NANOG,1
CTNNB1,NR0B1,1
CTNNB1,OTX2,1
CTNNB1,PDGFRA,1
CTNNB1,PITX2,1
CTNNB1,PML,1
CTNNB1,TBX3,1
CTNNB1,TCF4,1
CTNNB1,TWIST1,1
CTNNB1,VEGFA,1
CUX1,CDKN1A,1
CUX1,MYC,1
DAXX,TRP53,1
DDX5,IGF2,1
DMRT1,SOX2,1
DNMT1,CDKN1A,1
DNMT1,MT1,1
DNMT1,TRP53,1
DNMT3A,MDM2,1
DNMT3A,MT1,1
DNMT3A,NANOG,1
DNMT3A,POU5F1,1
DNMT3A,RB1,1
DTX1,SMARCC1,1
E2F1,ATM,1
E2F1,BIN1,1
E2F1,BMI1,1
E2F1,CCND1,1
E2F1,CDKN1A,1
E2F1,DDB2,1
E2F1,DNMT1,1
E2F1,EGR1,1
E2F1,HMGA1,1
E2F1,MYCN,1
E2F1,NFE2L2,1
E2F1,PDGFRA,1
E2F1,PURA,1
E2F1,RB1,1
E2F1,TRP53,1
E2F1,VEGFA,1
E2F2,MCM5,1
E2F4,BRCA1,1
E2F4,E2F2,1
E2F4,MYBL2,1
E2F4,MYCN,1
E2F4,RAD51,1
E2F4,RB1,1
EBF1,ZFP423,1
EGR1,BNIP3,1
EGR1,CCND1,1
EGR1,F3,1
EGR1,GNRH1,1
EGR1,ID3,1
EGR1,JUN,1
EGR1,JUND,1
EGR1,MAPK8,1
EGR1,NDRG1,1
EGR1,NR4A1,1
EGR1,SMAD7,1
EGR1,TRP53,1
EHMT2,CCND1,1
EHMT2,CDKN1A,1
EHMT2,POU5F1,1
ELF1,RHOX5,1
ELF3,TGFB1,1
ELF4,MSX2,1
ELF4,TRP53,1
ELK1,EGR1,1
ELL3,TRP53,1
ELL3,ZEB1,1
ELL3,ZEB2,1
ELP2,POU5F1,1
EMX2,PAX6,1
EOMES,EBF1,1
EOMES,SOX2,1
EP300,CCND1,1
EP300,CDKN1A,1
EP300,DNMT1,1
EP300,FN1,1
EP300,GATA4,1
EP300,IRF2,1
EP300,MEF2C,1
EP300,MT1,1
EP300,NPAS2,1
