TF,Target,label
APBB1,NOTCH1,1
BMI1,CDK1,1
BMI1,IKZF1,1
E2F4,MYCN,1
E2F4,RAD51,1
E2F4,RB1,1
EGR1,BIRC5,1
EGR1,JUN,1
EGR1,LTB,1
EGR1,NDRG1,1
EGR1,NR4A1,1
EGR1,TK1,1
EPAS1,ABCG2,1
EPAS1,RUNX2,1
EPOR,CISH,1
ESR1,FOS,1
ESR1,MYC,1
ESR1,NRF1,1
ESR1,PTGS1,1
ESR1,STAT3,1
ETS1,EBF1,1
ETS1,EGR1,1
ETS1,FOS,1
ETS1,IGHM,1
ETS1,IKZF1,1
ETS1,PCYT1A,1
ETS1,RUNX2,1
ETS1,TLR4,1
FOS,EGR1,1
FOS,JUN,1
FOS,KRT18,1
FOS,MT1,1
FOS,NFATC1,1
FOS,NFE2L2,1
FOS,SPI1,1
FOXO1,EGR1,1
FOXO1,IKZF1,1
FOXO1,PPARGC1A,1
FOXO1,RUNX2,1
FOXO1,TRIB3,1
GATA1,CDC6,1
GATA1,NFE2,1
GATA1,SPI1,1
GATA2,SPI1,1
GFI1,GFI1B,1
GFI1,ID2,1
GFI1,SPI1,1
GFI1B,ELF4,1
GFI1B,GFI1,1
GFI1B,MEIS1,1
HCFC1,RB1,1
HDAC2,CCNE1,1
HDAC2,NFKBIA,1
HMGB2,RUNX2,1
HNF4A,PKLR,1
HNF4A,PPARGC1A,1
HOXA9,MYB,1
ID2,CCNA2,1
ID2,RUNX2,1
ID2,SPI1,1
IKZF1,MYC,1
IKZF1,NOTCH1,1
IRF1,GBP2,1
IRF8,ABL1,1
IRF8,SPI1,1
JARID2,NOTCH1,1
JUN,ALDH1A1,1
JUN,ASAH1,1
JUN,CTSE,1
JUN,ESR1,1
JUN,FOS,1
JUN,GCLC,1
JUN,KRT18,1
JUN,NFE2L2,1
JUN,ODC1,1
JUN,PLIN2,1
JUN,RELB,1
JUN,SPI1,1
KLF6,ASAH1,1
MAPK1,EGR1,1
MEF2C,JUN,1
MEF2C,RUNX2,1
MYB,MYC,1
MYC,CAD,1
MYC,CAR1,1
MYC,CCNB1,1
MYC,HDAC2,1
MYC,NDRG1,1
MYC,NFIA,1
MYC,ODC1,1
MYC,ZFP36,1
MYCN,HDAC2,1
MYCN,NDRG1,1
MYCN,PTDSS1,1
NCOA6,FOS,1
NDN,CDK1,1
NDN,MYC,1
NFATC2,CCNA2,1
NFATC2,NFATC1,1
NFE2,HMBS,1
NFE2,TYMS,1
NFE2L2,FOS,1
NFE2L2,GCLC,1
NFE2L2,MCM7,1
NFE2L2,MT1,1
NFE2L2,NFATC1,1
NFE2L2,RUNX2,1
NFE2L2,SCARB1,1
NFE2L2,SLC40A1,1
NOTCH1,CASP3,1
NOTCH1,CCNE1,1
NOTCH1,GATA2,1
NOTCH1,RUNX2,1
NOTCH1,SPI1,1
NR2C1,ESR1,1
NR2C1,GATA1,1
NR3C2,TSC22D3,1
NRF1,MT1,1
NUPR1,CCNA2,1
NUPR1,TCF19,1
PGR,ESR1,1
PGR,NFKBIA,1
PLAG1,EGR1,1
PPARGC1A,HNF4A,1
PPARGC1A,NRF1,1
PWP1,STAT3,1
RARB,JUN,1
RB1,BIRC5,1
RB1,FOS,1
RB1,JUN,1
RB1,SPI1,1
REL,MYC,1
REL,RORC,1
RELB,MYB,1
RELB,MYC,1
RUNX1T1,TCF12,1
RUNX2,IFI204,1
RUNX2,IKZF1,1
RUNX2,MCM3,1
RUNX2,SOX6,1
SATB1,SPI1,1
SMAD2,RGCC,1
SMARCA2,CCNA2,1
SP4,PTDSS1,1
SPI1,CD1D1,1
SPI1,FES,1
SPI1,IGHM,1
SPI1,IRF8,1
SPI1,MEF2C,1
SPI1,TLR4,1
STAT3,EGR1,1
STAT3,EPOR,1
STAT3,FOS,1
STAT3,GFI1,1
STAT3,JAK3,1
STAT3,LY6A,1
STAT3,MT1,1
STAT3,MYC,1
STAT3,SOX6,1
STAT3,SPI1,1
TCF12,ID2,1
TCF19,CCNE1,1
TRPS1,RUNX2,1
TRPS1,STAT3,1
VDR,RUNX2,1
YBX1,BMI1,1
ABL1,CD55,1
ABL1,CISH,1
ABL1,CRK,1
