TF,Target,label
APBB1,NOTCH1,1
BMI1,IKZF1,1
E2F4,MYCN,1
E2F4,RAD51,1
E2F4,RB1,1
EGR1,BIRC5,1
EGR1,JUN,1
EGR1,LTB,1
EGR1,NR4A1,1
EGR1,TK1,1
EPAS1,RUNX2,1
EPOR,CISH,1
ESR1,FOS,1
ESR1,MYC,1
ESR1,NRF1,1
ESR1,PTGS1,1
ESR1,STAT3,1
ETS1,EBF1,1
ETS1,EGR1,1
ETS1,FOS,1
ETS1,IKZF1,1
ETS1,RUNX2,1
ETS1,TLR4,1
FOS,EGR1,1
FOS,JUN,1
FOS,KRT18,1
FOS,MT1,1
FOS,NFATC1,1
FOS,NFE2L2,1
FOS,SPI1,1
FOXO1,EGR1,1
FOXO1,IKZF1,1
FOXO1,PPARGC1A,1
FOXO1,RUNX2,1
FOXO1,TRIB3,1
GATA1,CDC6,1
GATA1,NFE2,1
GATA1,SPI1,1
GATA2,SPI1,1
GFI1,GFI1B,1
GFI1,ID2,1
GFI1,SPI1,1
GFI1B,ELF4,1
GFI1B,GFI1,1
GFI1B,MEIS1,1
HCFC1,RB1,1
HDAC2,CCNE1,1
HDAC2,NFKBIA,1
HMGB2,RUNX2,1
HNF4A,PPARGC1A,1
HOXA9,MYB,1
ID2,CCNA2,1
ID2,RUNX2,1
ID2,SPI1,1
IKZF1,MYC,1
IKZF1,NOTCH1,1
IRF1,GBP2,1
IRF8,ABL1,1
IRF8,SPI1,1
JARID2,NOTCH1,1
JUN,ALDH1A1,1
JUN,ASAH1,1
JUN,CTSE,1
JUN,ESR1,1
JUN,FOS,1
JUN,GCLC,1
JUN,KRT18,1
JUN,NFE2L2,1
JUN,PLIN2,1
JUN,RELB,1
JUN,SPI1,1
KLF6,ASAH1,1
MAPK1,EGR1,1
MEF2C,JUN,1
MEF2C,RUNX2,1
MYB,MYC,1
MYC,CAD,1
MYC,CAR1,1
MYC,CCNB1,1
MYC,HDAC2,1
MYC,NFIA,1
MYC,ZFP36,1
MYCN,HDAC2,1
MYCN,PTDSS1,1
NCOA6,FOS,1
NDN,MYC,1
NFATC2,CCNA2,1
NFATC2,NFATC1,1
NFE2,HMBS,1
NFE2,TYMS,1
NFE2L2,FOS,1
