TF,Target,label
E2F4,MYCN,1
E2F4,RAD51,1
E2F4,RB1,1
EGR1,BIRC5,1
EGR1,CDKN1C,1
EGR1,ICAM1,1
EGR1,JUN,1
EGR1,LTB,1
EGR1,NDRG1,1
EGR1,TK1,1
EGR1,IL12A,1
ELF1,CSF1R,1
ELF1,DNTT,1
ELF1,FCER1G,1
EPAS1,ABCG2,1
EYA2,MTOR,1
FOXO1,CCR2,1
FOXO1,CDKN1A,1
FOXO1,EGR1,1
FOXO1,IKZF1,1
FOXO1,PIK3R1,1
FOXO1,SELL,1
FOXO1,TRIB3,1
GATA2,SPI1,1
GFI1B,MEIS1,1
HCFC1,RB1,1
HDAC2,CDKN1A,1
HDAC2,NFKBIA,1
IKZF1,MYC,1
IRF8,ABL1,1
IRF8,IL12A,1
IRF8,SPI1,1
IRF9,IRF7,1
JUN,CSF1R,1
JUN,GCLC,1
JUN,ICAM1,1
JUN,KRT18,1
JUN,ODC1,1
JUN,RELB,1
JUN,SPI1,1
KLF6,CDKN1A,1
MAPK1,EGR1,1
MEIS1,FLT3,1
MYB,CDKN1A,1
MYB,CSF1R,1
MYB,CSF3R,1
MYB,MYC,1
MYB,PRTN3,1
MYC,BCL2,1
MYC,CAD,1
MYC,CCNB1,1
MYC,CDCA7,1
MYC,CDKN1A,1
MYC,HDAC2,1
MYC,NDRG1,1
MYC,NFIA,1
MYC,ODC1,1
MYC,ZFP36,1
MYCN,HDAC2,1
MYCN,NDRG1,1
MYCN,PTDSS1,1
NDN,CDK1,1
NDN,MYC,1
NFAT5,BCL2,1
NFATC2,BACE1,1
NFATC2,CCNA2,1
NFE2,HMBS,1
NFE2,TYMS,1
NR3C2,MLLT3,1
NR3C2,TSC22D3,1
NUPR1,CCNA2,1
NUPR1,TCF19,1
PLAG1,EGR1,1
RARB,JUN,1
RB1,BIRC5,1
RB1,CDKN1A,1
RB1,ELF1,1
RB1,JUN,1
RB1,SPI1,1
REL,IL12A,1
REL,MYC,1
REL,RORC,1
RELB,MYB,1
RELB,MYC,1
RUNX1T1,BCL2,1
SALL2,CDKN1A,1
SATB1,BCL2,1
SATB1,SPI1,1
SLA2,CSF1R,1
SMARCA2,CCNA2,1
SMARCA2,CD44,1
SPI1,CSF1R,1
SPI1,ELANE,1
SPI1,ELF1,1
SPI1,FCER1G,1
SPI1,FES,1
SPI1,FLT3,1
SPI1,IGHM,1
SPI1,IRF8,1
SPI1,NCF1,1
SPI1,TEC,1
SPI1,TLR4,1
STAT2,IRF7,1
YBX1,SLC2A3,1
ZBTB16,CDKN1A,1
ABL1,CISH,1
ABL1,MYC,1
ABL1,RB1,1
BTG2,ZFP36,1
CBFB,TIE1,1
CENPK,AURKB,1
CENPK,BIRC5,1
CENPK,BUB1B,1
CENPK,CCNA2,1
CENPK,CCNB1,1
CENPK,CDC20,1
CENPK,CDCA5,1
CENPK,CENPA,1
CENPK,CENPE,1
CENPK,CENPL,1
CENPK,CENPO,1
CENPK,CEP55,1
CENPK,CKAP2L,1
CENPK,KIF11,1
CENPK,MIS12,1
CENPK,MIS18BP1,1
CENPK,NCAPG,1
CENPK,NCAPG2,1
CENPK,NDC80,1
CENPK,NDE1,1
CENPK,NUP107,1
CENPK,NUP85,1
CENPK,NUSAP1,1
CENPK,PBK,1
CENPK,PRIM1,1
CENPK,RANGAP1,1
CENPK,SEH1L,1
CENPK,SHCBP1,1
CENPK,SPC24,1
CENPK,SPC25,1
CENPK,TPX2,1
CREB5,BCL2,1
CTR9,ELP2,1
CTR9,RUVBL2,1
DDX20,GEMIN5,1
DDX20,HDAC2,1
DDX20,NUP107,1
DDX20,NUP85,1
DDX20,NUP88,1
DDX20,PRMT5,1
DDX20,SEH1L,1
DDX20,SNRPB,1
DDX20,STRAP,1
E2F4,CCNA2,1
E2F4,CDK1,1
E2F4,CDKN1A,1
E2F4,DHFR,1
E2F4,MYC,1
E2F4,NDN,1
E2F4,TOP2A,1
EGR1,9530082P21RIK,1
EGR1,AHCYL1,1
EGR1,APBB1,1
EGR1,APLP2,1
EGR1,ARID3B,1
EGR1,CBX5,1
EGR1,CLTC,1
EGR1,COL4A2,1
EGR1,CTSL,1
EGR1,D1ERTD622E,1
EGR1,FLT3,1
EGR1,H2-DMA,1
EGR1,HCFC1,1
EGR1,HNRNPAB,1
EGR1,HSPA1A,1
EGR1,HSPH1,1
EGR1,KLF6,1
EGR1,LMAN2L,1
EGR1,MAPK12,1
EGR1,MECOM,1
EGR1,MEIS1,1
EGR1,MIS12,1
EGR1,MYC,1
EGR1,NFE2,1
EGR1,OTUD4,1
EGR1,PIK3R1,1
EGR1,PNCK,1
EGR1,REL,1
EGR1,REXO2,1
EGR1,SESN1,1
EGR1,SLC25A38,1
EGR1,SLC37A1,1
EGR1,SOCS2,1
EGR1,STAG2,1
EGR1,TRP53I11,1
EGR1,USP11,1
EGR1,ZC3H7A,1
EPAS1,TEK,1
ERCC8,DCAF13,1
ERCC8,NFE2,1
ERCC8,POLD1,1
ERCC8,POLR2B,1
ERCC8,XPC,1
FOXO1,ANKRD44,1
FOXO1,CD44,1
FOXO1,CREB5,1
FOXO1,CSF1R,1
FOXO1,CTSL,1
FOXO1,FOXRED1,1
FOXO1,GFI1B,1
FOXO1,H2-DMA,1
FOXO1,LMO4,1
FOXO1,MIR17HG,1
FOXO1,MTOR,1
FOXO1,ORC2,1
FOXO1,PITPNC1,1
FOXO1,RUNX1T1,1
FOXO1,SESN1,1
FOXO1,SORL1,1
FOXO1,STT3A,1
FOXO1,SZT2,1
FOXO1,TCP11L2,1
FOXO1,TRP53I11,1
FOXO1,ZBTB16,1
GATA2,ALDH18A1,1
GATA2,CDK6,1
GATA2,CENPL,1
GATA2,DNAJC9,1
GATA2,DUSP1,1
GATA2,FCGR2B,1
GATA2,HDAC7,1
GATA2,HLF,1
GATA2,JUN,1
GATA2,NADK,1
