TF,Target,label
E2F4,MYCN,1
E2F4,RAD51,1
E2F4,RB1,1
EGR1,ICAM1,1
EGR1,JUN,1
EGR1,LTB,1
EGR1,NDRG1,1
EGR1,TK1,1
EGR1,IL12A,1
ELF1,FCER1G,1
EPAS1,ABCG2,1
FOXO1,EGR1,1
FOXO1,IKZF1,1
FOXO1,SELL,1
FOXO1,TRIB3,1
GATA2,SPI1,1
GFI1B,MEIS1,1
HCFC1,RB1,1
HDAC2,NFKBIA,1
IKZF1,MYC,1
IRF8,ABL1,1
IRF8,IL12A,1
IRF8,SPI1,1
IRF9,IRF7,1
JUN,ICAM1,1
JUN,KRT18,1
JUN,RELB,1
JUN,SPI1,1
MAPK1,EGR1,1
MEIS1,FLT3,1
MYB,CSF3R,1
MYB,MYC,1
MYC,BCL2,1
MYC,CAD,1
MYC,HDAC2,1
MYC,NDRG1,1
MYC,NFIA,1
MYC,ZFP36,1
MYCN,HDAC2,1
MYCN,NDRG1,1
MYCN,PTDSS1,1
NDN,MYC,1
NFAT5,BCL2,1
NFATC2,BACE1,1
NFE2,TYMS,1
NR3C2,MLLT3,1
NR3C2,TSC22D3,1
NUPR1,TCF19,1
PLAG1,EGR1,1
RARB,JUN,1
RB1,ELF1,1
RB1,JUN,1
RB1,SPI1,1
REL,IL12A,1
REL,MYC,1
REL,RORC,1
RELB,MYB,1
RELB,MYC,1
RUNX1T1,BCL2,1
SATB1,BCL2,1
SATB1,SPI1,1
SPI1,ELANE,1
SPI1,ELF1,1
SPI1,FCER1G,1
SPI1,FES,1
SPI1,FLT3,1
SPI1,IGHM,1
SPI1,IRF8,1
SPI1,NCF1,1
SPI1,TLR4,1
STAT2,IRF7,1
YBX1,SLC2A3,1
ABL1,CISH,1
ABL1,MYC,1
ABL1,RB1,1
BTG2,ZFP36,1
CBFB,TIE1,1
CENPK,AURKB,1
CENPK,MIS12,1
CENPK,MIS18BP1,1
CENPK,NDE1,1
CENPK,NUP107,1
CENPK,PBK,1
CENPK,PRIM1,1
CENPK,RANGAP1,1
CENPK,SEH1L,1
CREB5,BCL2,1
CTR9,ELP2,1
CTR9,RUVBL2,1
DDX20,HDAC2,1
DDX20,NUP107,1
DDX20,SEH1L,1
DDX20,SNRPB,1
E2F4,DHFR,1
E2F4,MYC,1
E2F4,NDN,1
E2F4,TOP2A,1
EGR1,AHCYL1,1
EGR1,APBB1,1
EGR1,APLP2,1
EGR1,ARID3B,1
EGR1,CTSL,1
EGR1,FLT3,1
EGR1,HCFC1,1
EGR1,HNRNPAB,1
EGR1,KLF6,1
EGR1,MAPK12,1
EGR1,MECOM,1
EGR1,MEIS1,1
EGR1,MIS12,1
EGR1,MYC,1
EGR1,NFE2,1
EGR1,REL,1
EGR1,SESN1,1
EGR1,TRP53I11,1
EGR1,USP11,1
ERCC8,DCAF13,1
ERCC8,NFE2,1
ERCC8,POLD1,1
ERCC8,POLR2B,1
ERCC8,XPC,1
FOXO1,CREB5,1
FOXO1,CTSL,1
FOXO1,FOXRED1,1
FOXO1,GFI1B,1
FOXO1,LMO4,1
FOXO1,ORC2,1
FOXO1,RUNX1T1,1
FOXO1,SESN1,1
FOXO1,TCP11L2,1
FOXO1,TRP53I11,1
FOXO1,ZBTB16,1
GATA2,DUSP1,1
GATA2,FCGR2B,1
GATA2,HDAC7,1
GATA2,HLF,1
GATA2,JUN,1
GATA2,NADK,1
GATA2,RARB,1
GATA2,RUNX1T1,1
GATA2,TCP11L2,1
GATA2,ZBTB16,1
GFI1B,HDAC2,1
GTF2F1,CSTF2,1
GTF2F1,POLR2B,1
GTF2F1,PRPF4,1
GTF2F1,SRSF1,1
GTF2H1,NFE2,1
HCFC1,NDN,1
HDAC11,CDT1,1
HDAC11,HDAC2,1
HDAC11,HDAC7,1
HDAC2,DDX20,1
HDAC2,GFI1B,1
HDAC2,HDAC11,1
HDAC2,HDAC7,1
HDAC2,IKZF1,1
HDAC2,MECOM,1
HDAC2,RB1,1
HDAC2,SMARCA2,1
HDAC7,HDAC11,1
HDAC7,HDAC2,1
HDAC7,MAML3,1
HLF,GATA2,1
HMGB2,CCNB2,1
HMGB2,CDT1,1
HMGB2,MCM2,1
HMGB2,MCM3,1
HMGB2,MCM4,1
HMGB2,MCM6,1
HMGB2,MCM7,1
HMGB2,MKI67,1
HMGB2,PBK,1
HMGB2,PRIM1,1
HMGB2,RRM2,1
HMGB2,TIPIN,1
HMGB2,TOP2A,1
HMGB2,UHRF1,1
IKZF1,BCL2,1
IKZF1,DENND2D,1
IKZF1,EGR1,1
IKZF1,EZR,1
IKZF1,GANAB,1
IKZF1,HDAC2,1
IKZF1,NCAPD2,1
IKZF1,NDRG1,1
IKZF1,RASSF4,1
IKZF1,SMARCA2,1
IRF6,FDFT1,1
IRF6,H2-AA,1
IRF6,ICAM1,1
IRF6,IRF7,1
IRF6,IRF8,1
IRF6,IRF9,1
IRF7,GBP3,1
IRF7,H2-AA,1
IRF7,ICAM1,1
IRF7,IFI44,1
IRF7,IGTP,1
IRF7,IIGP1,1
IRF7,IRF6,1
IRF7,IRF8,1
IRF7,IRF9,1
IRF7,OASL2,1
IRF7,RTP4,1
IRF7,UBA7,1
IRF7,XAF1,1
IRF8,H2-AA,1
IRF8,ICAM1,1
IRF8,IRF6,1
IRF8,IRF7,1
IRF8,IRF9,1
IRF9,H2-AA,1
IRF9,ICAM1,1
IRF9,IGTP,1
IRF9,IRF6,1
IRF9,IRF8,1
IRF9,OASL2,1
IRF9,RTP4,1
IRF9,STAT2,1
JARID2,MORC3,1
JARID2,RB1,1
JARID2,TRIM35,1
JUN,ANXA3,1
JUN,BTG2,1
JUN,BTK,1
JUN,CCL4,1
JUN,CERK,1
JUN,CTSL,1
JUN,EBF1,1
JUN,EGR1,1
JUN,EMILIN1,1
JUN,FGL2,1
JUN,GATA2,1
JUN,GOLPH3,1
