TF,Target,label
ELF1,CSF1R,1
ELF1,DNTT,1
ESR1,CASP12,1
ESR1,IGF1,1
ESR1,MYC,1
ESR1,PTGS1,1
FOXO1,CCNG2,1
FOXO1,CCR7,1
FOXO1,IKZF1,1
FOXO1,IL7R,1
FOXO1,RUNX2,1
FOXO1,SELL,1
FOXO1,TRIB3,1
GATA2,SPI1,1
GFI1B,MEIS1,1
GFI1B,RAG2,1
HMGB2,RUNX2,1
HOXA9,FLT3,1
IKZF1,IL7R,1
IKZF1,MYC,1
IKZF1,NOTCH1,1
IRF8,IL12A,1
IRF8,SPI1,1
MEF2C,RUNX2,1
MEF2C,SOCS2,1
MEIS1,PF4,1
MEIS1,FLT3,1
MYC,BCL2,1
MYC,NFIA,1
MYC,PDGFRB,1
NDN,MYC,1
NOTCH1,GATA2,1
NOTCH1,RUNX2,1
NOTCH1,SPI1,1
NR3C2,MLLT3,1
NR3C2,TSC22D3,1
PBX1,PF4,1
PGR,ESR1,1
PGR,PTGER2,1
REL,IL12A,1
REL,MYC,1
RUNX1T1,BCL2,1
RUNX2,IKZF1,1
SATB1,BCL2,1
SATB1,SPI1,1
SPI1,CSF1R,1
SPI1,ELF1,1
SPI1,FLT3,1
SPI1,IGHM,1
SPI1,IL7R,1
SPI1,IRF8,1
SPI1,MEF2C,1
SPI1,NCF1,1
SPI1,PIRB,1
VDR,RUNX2,1
YBX1,SLC2A3,1
CBFB,RUNX2,1
CBFB,TIE1,1
ESR1,APOE,1
ESR1,GGTA1,1
ESR1,ICA1,1
ESR1,KCTD12,1
ESR1,MOGS,1
ESR1,NDRG2,1
ESR1,NEAT1,1
ESR1,NOTCH1,1
ESR1,NUDT19,1
ESR1,PGR,1
ESR1,PRR5,1
ESR1,RASIP1,1
ESR1,SOCS2,1
ESR1,VEGFC,1
FOXO1,ANKRD44,1
FOXO1,CCDC112,1
FOXO1,CD44,1
FOXO1,CSF1R,1
FOXO1,CTSL,1
FOXO1,DACH1,1
FOXO1,EFNA1,1
FOXO1,GFI1B,1
FOXO1,H2-DMA,1
FOXO1,HNF4A,1
FOXO1,ICA1,1
FOXO1,INHBA,1
FOXO1,IPCEF1,1
FOXO1,ITGB7,1
FOXO1,RUNX1T1,1
FOXO1,VAMP5,1
FOXO1,VEGFC,1
GATA2,CCNG2,1
GATA2,CDK6,1
GATA2,CRIP1,1
GATA2,DUSP1,1
GATA2,HDAC7,1
GATA2,HLF,1
GATA2,OSGIN1,1
GATA2,PLEKHG6,1
GATA2,RARB,1
GATA2,RUNX1T1,1
GATA2,TEK,1
GATA2,TMEM14C,1
HDAC7,H2AFY,1
HDAC7,MAML3,1
