TF,Target,label
ELF1,DNTT,1
ESR1,CASP12,1
ESR1,MYC,1
ESR1,PTGS1,1
FOXO1,CCNG2,1
FOXO1,CCR7,1
FOXO1,IKZF1,1
FOXO1,IL7R,1
FOXO1,RUNX2,1
FOXO1,SELL,1
FOXO1,TRIB3,1
GATA2,SPI1,1
GFI1B,MEIS1,1
GFI1B,RAG2,1
HMGB2,RUNX2,1
HOXA9,FLT3,1
IKZF1,IL7R,1
IKZF1,MYC,1
IKZF1,NOTCH1,1
IRF8,IL12A,1
IRF8,SPI1,1
MEF2C,RUNX2,1
MEF2C,SOCS2,1
MEIS1,PF4,1
MEIS1,FLT3,1
MYC,BCL2,1
MYC,NFIA,1
MYC,PDGFRB,1
NDN,MYC,1
NOTCH1,GATA2,1
NOTCH1,RUNX2,1
NOTCH1,SPI1,1
NR3C2,MLLT3,1
NR3C2,TSC22D3,1
PBX1,PF4,1
PGR,ESR1,1
REL,IL12A,1
REL,MYC,1
RUNX1T1,BCL2,1
RUNX2,IKZF1,1
SATB1,BCL2,1
SATB1,SPI1,1
SPI1,ELF1,1
SPI1,FLT3,1
SPI1,IGHM,1
SPI1,IL7R,1
SPI1,IRF8,1
SPI1,MEF2C,1
SPI1,NCF1,1
SPI1,PIRB,1
VDR,RUNX2,1
YBX1,SLC2A3,1
CBFB,RUNX2,1
CBFB,TIE1,1
ESR1,APOE,1
ESR1,GGTA1,1
ESR1,ICA1,1
ESR1,KCTD12,1
ESR1,MOGS,1
ESR1,NDRG2,1
ESR1,NEAT1,1
ESR1,NOTCH1,1
ESR1,NUDT19,1
ESR1,PGR,1
ESR1,PRR5,1
ESR1,SOCS2,1
ESR1,VEGFC,1
FOXO1,ANKRD44,1
FOXO1,CCDC112,1
FOXO1,CD44,1
FOXO1,CTSL,1
FOXO1,DACH1,1
FOXO1,EFNA1,1
FOXO1,GFI1B,1
FOXO1,H2-DMA,1
FOXO1,HNF4A,1
FOXO1,ICA1,1
FOXO1,IPCEF1,1
FOXO1,ITGB7,1
FOXO1,RUNX1T1,1
FOXO1,VAMP5,1
FOXO1,VEGFC,1
GATA2,CCNG2,1
GATA2,CDK6,1
GATA2,CRIP1,1
GATA2,DUSP1,1
GATA2,HDAC7,1
GATA2,HLF,1
GATA2,OSGIN1,1
GATA2,RARB,1
GATA2,RUNX1T1,1
GATA2,TEK,1
GATA2,TMEM14C,1
HDAC7,MAML3,1
HDAC7,MEF2C,1
HDAC7,NOTCH1,1
HLF,GATA2,1
HMGB2,CDT1,1
HMGB2,MCM4,1
HMGB2,MCM7,1
HMGB2,MKI67,1
HMGB2,PRIM1,1
HMGB2,TIPIN,1
HMGB2,TOP2A,1
HMGB2,UHRF1,1
HNF4A,FOXO1,1
HNF4A,VDR,1
HOXA9,ANGPT1,1
HOXA9,ARPP21,1
HOXA9,DACH1,1
HOXA9,FCHO2,1
HOXA9,IL1R1,1
HOXA9,MEIS1,1
HOXA9,PBX1,1
HOXA9,SATB1,1
HOXA9,SYK,1
IKZF1,BCL2,1
IKZF1,DENND2D,1
IKZF1,MPZL1,1
IKZF1,NCAPD2,1
IKZF1,PTP4A3,1
IKZF1,SLC43A2,1
IKZF1,TUBB4B,1
IRF6,CD44,1
IRF6,FDFT1,1
IRF6,IRF8,1
IRF8,CD44,1
IRF8,IRF6,1
MAML3,HDAC7,1
MAML3,MYC,1
MAML3,NOTCH1,1
MCM4,CDT1,1
MCM4,CKS1B,1
MCM4,HMGB2,1
MCM4,MCM7,1
MCM4,MKI67,1
MCM4,POLA2,1
MCM4,PRIM1,1
MCM4,SLBP,1
MCM4,TIPIN,1
MCM4,TOP2A,1
MCM4,UHRF1,1
MCM7,CDT1,1
MCM7,CKS1B,1
MCM7,HMGB2,1
MCM7,MCM4,1
MCM7,MKI67,1
MCM7,POLA2,1
MCM7,PRIM1,1
MCM7,SLBP,1
MCM7,TIPIN,1
MCM7,TOP2A,1
MCM7,UHRF1,1
MECOM,2810468N07RIK,1
MECOM,ARHGAP27,1
MECOM,CAV2,1
MECOM,ERP29,1
MECOM,FHL1,1
MECOM,FOXO1,1
MECOM,FUT8,1
MECOM,GNG11,1
MECOM,GP9,1
MECOM,IL7R,1
MECOM,KCNK5,1
MECOM,KCTD12,1
MECOM,KLF6,1
MECOM,MGAT1,1
MECOM,MYCT1,1
MECOM,PYGL,1
MECOM,RAG2,1
MECOM,RUNX1T1,1
MECOM,RUNX2,1
MECOM,SATB1,1
MECOM,ST8SIA4,1
MECOM,TMEM123,1
MECOM,WLS,1
MEF2C,HDAC7,1
MEIS1,ANGPT1,1
MEIS1,ARPP21,1
MEIS1,ARRDC4,1
MEIS1,DACH1,1
MEIS1,FCHO2,1
MEIS1,HOXA9,1
MEIS1,IL1R1,1
MEIS1,NDN,1
MEIS1,PBX1,1
MEIS1,RNF38,1
MEIS1,SATB1,1
MEIS1,SYK,1
MYC,2810468N07RIK,1
MYC,AMPD2,1
MYC,ANGPT1,1
MYC,AP1S2,1
MYC,ARRDC4,1
MYC,CCT2,1
MYC,CD63,1
MYC,CDK6,1
MYC,CKS1B,1
MYC,CTSL,1
MYC,DNTT,1
MYC,DUSP1,1
MYC,EMP1,1
MYC,FLT3,1
MYC,H2-DMA,1
MYC,HNRNPAB,1
MYC,MAML3,1
MYC,MYCT1,1
MYCN,AMPD2,1
MYCN,CADPS2,1
MYCN,CBX7,1
MYCN,CCT2,1
MYCN,CD63,1
MYCN,CDT1,1
MYCN,CHRNB1,1
MYCN,CPXM1,1
MYCN,CTSF,1
MYCN,CTSL,1
MYCN,DENND2D,1
MYCN,DTL,1
MYCN,ELL2,1
MYCN,ENPP5,1
MYCN,H2-DMA,1
MYCN,HNRNPAB,1
MYCN,ITSN1,1
MYCN,KCNK5,1
MYCN,ME2,1
MYCN,MYO5A,1
MYCN,N4BP3,1
MYCN,NT5C3,1
MYCN,NUDT19,1
MYCN,NUPR1,1
MYC,NOTCH1,1
MYCN,PKN3,1
MYCN,PTP4A3,1
MYCN,RANBP1,1
MYCN,RGS19,1
MYCN,RHOF,1
MYCN,SGMS1,1
MYCN,SLC29A1,1
MYCN,SOCS2,1
MYCN,TAPT1,1
MYCN,UHRF1,1
MYC,NUPR1,1
MYCN,YBX1,1
MYCN,ZFP62,1
MYCN,ZNRF2,1
MYC,OBSCN,1
MYC,POLA2,1
MYC,PRDM16,1
MYC,PYGL,1
MYC,RANBP1,1
MYC,RASAL3,1
MYC,SLC29A1,1
MYC,SOCS2,1
MYC,SPNS2,1
MYC,TMEM246,1
MYC,TRIM16,1
MYC,UHRF1,1
MYC,UNC93B1,1
MYC,VEGFC,1
MYC,YBX1,1
MYC,ZNRF2,1
NDN,ITGB5,1
NDN,MAGED1,1
NDN,NUCB2,1
PBX1,HOXA9,1
PBX1,MEIS1,1
RARB,H1F0,1
RARB,NPDC1,1
RARB,TGM2,1
REL,CD74,1
REL,FKBP9,1
REL,FOXO1,1
REL,HSD3B7,1
REL,MOGS,1
REL,N4BP3,1
REL,NCF1,1
RUNX2,CBFB,1
VDR,HNF4A,1
RUNX2,TAPT1,0
NDN,DTL,0
CBFB,SLC2A3,0
MCM7,ST8SIA4,0
MYCN,MOGS,0
NOTCH1,ERP29,0
HNF4A,NT5C3,0
ESR1,TEK,0
HDAC7,IL12A,0
MYC,RGS19,0
MAML3,KLF6,0
PGR,HMGB2,0
CBFB,HNRNPAB,0
CBFB,HNF4A,0
ESR1,WLS,0
VDR,NOTCH1,0
NOTCH1,NDRG2,0
MEF2C,SLBP,0
MAML3,CAV2,0
CBFB,ITGB7,0
ELF1,MAGED1,0
MECOM,CDK6,0
HOXA9,SLC2A3,0
HDAC7,KCTD12,0
PGR,MLLT3,0
VDR,MEF2C,0
PBX1,MGAT1,0
MAML3,HSD3B7,0
RARB,CDT1,0
SPI1,MEIS1,0
MCM4,TEK,0
PGR,ARHGAP27,0
HLF,KLF6,0
RARB,GNG11,0
MCM4,DACH1,0
VDR,POLA2,0
HLF,CCT2,0
ESR1,PBX1,0
ESR1,KCNK5,0
FOXO1,ELL2,0
ESR1,TOP2A,0
SATB1,CRIP1,0
HLF,ITGB5,0
MAML3,RHOF,0
MCM7,GFI1B,0
REL,ESR1,0
PBX1,TUBB4B,0
HDAC7,ITGB5,0
NDN,RARB,0
FOXO1,CRIP1,0
MYC,IRF6,0
ELF1,FDFT1,0
RARB,SOCS2,0
RUNX2,MAML3,0
IRF6,CPXM1,0
SATB1,PTGS1,0
IKZF1,HNF4A,0
MECOM,TGM2,0
GATA2,CBX7,0
REL,RUNX1T1,0
HOXA9,IL12A,0
NOTCH1,GGTA1,0
RARB,CPXM1,0
MYC,FDFT1,0
NOTCH1,TUBB4B,0
ESR1,NCF1,0
FOXO1,SLC2A3,0
RARB,ARRDC4,0
PBX1,ICA1,0
RUNX2,HMGB2,0
SATB1,GATA2,0
MCM4,CADPS2,0
SATB1,IPCEF1,0
SATB1,PRIM1,0
VDR,MEIS1,0
MCM7,NDRG2,0
HOXA9,CRIP1,0
GATA2,CBFB,0
IRF6,ICA1,0
RUNX2,TMEM246,0
HMGB2,RNF38,0
HDAC7,NUPR1,0
MYCN,2810468N07RIK,0
MCM4,YBX1,0
PBX1,APOE,0
FOXO1,ZFP62,0
MCM7,PYGL,0
RUNX2,FHL1,0
ELF1,CD63,0
VDR,CD44,0
NR3C2,PRDM16,0
REL,IL7R,0
NOTCH1,NUPR1,0
CBFB,SELL,0
NR3C2,VEGFC,0
IRF8,NPDC1,0
MCM7,NT5C3,0
GATA2,NCAPD2,0
VDR,TSC22D3,0
IKZF1,MCM4,0
YBX1,AMPD2,0
VDR,CD63,0
HOXA9,N4BP3,0
MEF2C,HNF4A,0
IRF8,CRIP1,0
RUNX2,MYO5A,0
PBX1,SGMS1,0
HNF4A,CHRNB1,0
MCM7,TRIB3,0
MYCN,GGTA1,0
