TF,Target,label
NFE2L3,MAFF,1
MAFF,NFE2L3,1
NFE2L3,MAFG,1
MAFG,NFE2L3,1
NFE2L3,HCFC1,1
HCFC1,NFE2L3,1
MCM5,KIF22,1
MCM2,KIF22,1
TRIP13,TOP2A,1
TRIP13,NDC80,1
TRIP13,DTL,1
TRIP13,CDCA8,1
TRIP13,RAD51,1
RAD51,TRIP13,1
TRIP13,NCAPG,1
TRIP13,DLGAP5,1
TRIP13,CDC20,1
TRIP13,NUSAP1,1
TRIP13,CCNA2,1
TRIP13,EXO1,1
TRIP13,RFC4,1
TRIP13,CCNB2,1
TRIP13,MCM10,1
TRIP13,BUB1B,1
TRIP13,ZWILCH,1
TRIP13,CDC7,1
TRIP13,CDKN3,1
TRIP13,OIP5,1
TRIP13,AURKB,1
TRIP13,TTK,1
TRIP13,MAD2L1,1
TRIP13,KIF23,1
TRIP13,MCM2,1
MCM2,TRIP13,1
TRIP13,RAD51AP1,1
TRIP13,PLK1,1
TRIP13,CEP55,1
TRIP13,KIF11,1
TRIP13,KIF2C,1
TRIP13,ZWINT,1
TRIP13,GINS2,1
TRIP13,VRK1,1
TRIP13,RAD54L,1
TRIP13,MCM4,1
MCM4,TRIP13,1
TRIP13,RFC3,1
UBTF,RRN3,1
POLR1B,RRN3,1
POLR1A,RRN3,1
GTF2H2,RRN3,1
POLR2H,RRN3,1
POLR2F,RRN3,1
POLR2K,RRN3,1
POLR1C,RRN3,1
TRIP6,NR3C1,1
NR3C1,TRIP6,1
TRIP6,SRC,1
SRC,TRIP6,1
TRIP6,SVIL,1
TRIP6,NEDD9,1
TRIP6,OIP5,1
MCM5,CDC6,1
MCM6,CDC6,1
MYBL2,CDC6,1
E2F7,CDC6,1
RAD51,CDC6,1
RBBP4,CDC6,1
E2F4,CDC6,1
KAT7,CDC6,1
MCM7,CDC6,1
TFDP1,CDC6,1
PSMD9,CDC6,1
MCM2,CDC6,1
ESPL1,CDC6,1
MCM3,CDC6,1
MCM4,CDC6,1
UHRF1,CDC6,1
SIRT1,XRCC5,1
XRCC5,SIRT1,1
SIRT1,MMP2,1
SIRT1,MFN2,1
SIRT1,MEF2D,1
MEF2D,SIRT1,1
SIRT1,RBBP4,1
RBBP4,SIRT1,1
SIRT1,DNMT3B,1
DNMT3B,SIRT1,1
SIRT1,CTNNB1,1
CTNNB1,SIRT1,1
SIRT1,APEX1,1
APEX1,SIRT1,1
SIRT1,MCM10,1
SIRT1,MYCN,1
MYCN,SIRT1,1
SIRT1,POLR2G,1
POLR2G,SIRT1,1
SIRT1,SETD7,1
SIRT1,XRCC6,1
XRCC6,SIRT1,1
SIRT1,TP53,1
TP53,SIRT1,1
SIRT1,PARP1,1
PARP1,SIRT1,1
SIRT1,PPARA,1
PPARA,SIRT1,1
SIRT1,GATAD2A,1
GATAD2A,SIRT1,1
SIRT1,EHMT2,1
EHMT2,SIRT1,1
SIRT1,CHEK2,1
SIRT1,STAT3,1
STAT3,SIRT1,1
SIRT1,DNMT1,1
DNMT1,SIRT1,1
SIRT1,CDK6,1
SIRT1,HDAC9,1
HDAC9,SIRT1,1
SIRT1,AR,1
AR,SIRT1,1
SIRT1,ZEB1,1
ZEB1,SIRT1,1
SIRT1,EZH2,1
EZH2,SIRT1,1
