TF,Target,label
NFE2L3,MAFF,1
MAFF,NFE2L3,1
NFE2L3,MAFG,1
MAFG,NFE2L3,1
NFE2L3,HCFC1,1
HCFC1,NFE2L3,1
TRIP13,NDC80,1
TRIP13,DTL,1
TRIP13,CDCA8,1
TRIP13,RAD51,1
RAD51,TRIP13,1
TRIP13,NCAPG,1
TRIP13,DLGAP5,1
TRIP13,CDC20,1
TRIP13,NUSAP1,1
TRIP13,CCNA2,1
TRIP13,EXO1,1
TRIP13,CCNB2,1
TRIP13,BUB1B,1
TRIP13,CDC7,1
TRIP13,TTK,1
TRIP13,KIF23,1
TRIP13,MCM2,1
MCM2,TRIP13,1
TRIP13,RAD51AP1,1
TRIP13,PLK1,1
TRIP13,CEP55,1
TRIP13,GINS2,1
TRIP13,MCM4,1
MCM4,TRIP13,1
TRIP13,RFC3,1
UBTF,RRN3,1
POLR1B,RRN3,1
POLR1A,RRN3,1
GTF2H2,RRN3,1
POLR2H,RRN3,1
POLR2F,RRN3,1
POLR2K,RRN3,1
POLR1C,RRN3,1
TRIP6,NR3C1,1
NR3C1,TRIP6,1
TRIP6,SRC,1
SRC,TRIP6,1
TRIP6,NEDD9,1
SIRT1,XRCC5,1
XRCC5,SIRT1,1
SIRT1,MEF2D,1
MEF2D,SIRT1,1
SIRT1,RBBP4,1
RBBP4,SIRT1,1
SIRT1,DNMT3B,1
DNMT3B,SIRT1,1
SIRT1,CTNNB1,1
CTNNB1,SIRT1,1
SIRT1,APEX1,1
APEX1,SIRT1,1
SIRT1,MYCN,1
MYCN,SIRT1,1
SIRT1,POLR2G,1
POLR2G,SIRT1,1
SIRT1,XRCC6,1
XRCC6,SIRT1,1
SIRT1,TP53,1
TP53,SIRT1,1
SIRT1,PARP1,1
PARP1,SIRT1,1
SIRT1,PPARA,1
PPARA,SIRT1,1
SIRT1,GATAD2A,1
GATAD2A,SIRT1,1
SIRT1,EHMT2,1
EHMT2,SIRT1,1
SIRT1,CHEK2,1
SIRT1,STAT3,1
STAT3,SIRT1,1
SIRT1,DNMT1,1
DNMT1,SIRT1,1
SIRT1,CDK6,1
SIRT1,HDAC9,1
HDAC9,SIRT1,1
SIRT1,AR,1
AR,SIRT1,1
SIRT1,ZEB1,1
ZEB1,SIRT1,1
SIRT1,EZH2,1
EZH2,SIRT1,1
SIRT1,HIF1A,1
HIF1A,SIRT1,1
SIRT1,HCFC1,1
HCFC1,SIRT1,1
TGFB1,TGFBR3,1
MIF,TP53,1
TP53,MIF,1
MCM5,CCNE2,1
MCM5,MCM6,1
MCM6,MCM5,1
MCM5,NDC80,1
MCM5,DTL,1
MCM5,WDHD1,1
MCM5,CDCA8,1
MCM5,RAD51,1
RAD51,MCM5,1
MCM5,NCAPG,1
MCM5,CDC20,1
MCM5,CCNA2,1
MCM5,ESCO2,1
MCM5,EXO1,1
MCM5,CCNB2,1
MCM5,BUB1B,1
MCM5,DSCC1,1
MCM5,CDC7,1
MCM5,MCM7,1
MCM7,MCM5,1
MCM5,TTK,1
MCM5,KIF23,1
MCM5,MCM2,1
MCM2,MCM5,1
MCM5,PLK1,1
MCM5,TIPIN,1
MCM5,CHEK2,1
MCM5,GINS2,1
MCM5,CHAF1A,1
CHAF1A,MCM5,1
MCM5,DNMT1,1
