TF,Target,label
KLF6,JUN,1
JUN,KLF6,1
KLF6,ATF3,1
ATF3,KLF6,1
KLF6,BTG2,1
BTG2,KLF6,1
RB1,CCND2,1
E2F2,CCND2,1
GLI1,CCND2,1
MYC,CCND2,1
RBL1,CCND2,1
RUNX1,CCND2,1
E2F1,CCND2,1
GLI2,CCND2,1
E2F4,CCND2,1
CCND1,CCND2,1
LHX2,LDB1,1
LDB1,LHX2,1
DNMT1,CDH1,1
GLI1,CDH1,1
SOX2,CDH1,1
SMAD4,CDH1,1
SNAI1,CDH1,1
MYC,CDH1,1
EZH2,CDH1,1
ZEB2,CDH1,1
TRP53,CDH1,1
BMP4,CDH1,1
KLF4,CDH1,1
AKT1,CDH1,1
SMAD7,CDH1,1
POU5F1,CDH1,1
TWIST1,CDH1,1
ZEB1,CDH1,1
CTNNB1,CDH1,1
CCND1,CDH1,1
BMI1,CDH1,1
SMAD3,CDH1,1
RUNX3,CDH1,1
NOTCH1,CDH1,1
FOXA2,CDH1,1
TGFB1,CDH1,1
NANOG,CDH1,1
SMAD2,CDH1,1
ILK,CDH1,1
MAPK3,CDH1,1
MCM7,PLK2,1
MCM7,BUB1B,1
MCM7,NASP,1
MCM7,RIF1,1
MCM7,HELLS,1
MCM7,TIMELESS,1
TIMELESS,MCM7,1
MCM7,CCNB2,1
MCM7,RBL1,1
RBL1,MCM7,1
MCM7,CDC20,1
MCM7,UHRF1,1
MCM7,MCM5,1
MCM5,MCM7,1
MCM7,MSH2,1
MCM7,POLR2B,1
POLR2B,MCM7,1
MCM7,MCM10,1
MCM7,CDCA7,1
MCM7,CCND1,1
CCND1,MCM7,1
MCM7,CCNE1,1
MCM7,ESPL1,1
ESPL1,MCM7,1
MCM7,RAD51,1
RAD51,MCM7,1
MCM7,PCNA,1
MCM7,POLE4,1
MCM7,NCAPD2,1
MCM7,MCM2,1
MCM2,MCM7,1
MCM7,MCM4,1
MCM4,MCM7,1
MCM7,CCNB1,1
MCM7,RRM2,1
MCM7,MSH6,1
MCM7,TOP2A,1
MCM7,KNTC1,1
KNTC1,MCM7,1
MCM7,DNMT1,1
DNMT1,MCM7,1
MCM7,ORC2,1
ORC2,MCM7,1
MCM7,MCM3,1
MCM3,MCM7,1
MCM7,MCM6,1
MCM6,MCM7,1
AKT1,HK2,1
TRP53,HK2,1
KAT2B,GATA3,1
GATA3,KAT2B,1
KAT2B,MAML3,1
MAML3,KAT2B,1
KAT2B,HDAC2,1
HDAC2,KAT2B,1
KAT2B,SIN3A,1
SIN3A,KAT2B,1
KAT2B,TAF6,1
TAF6,KAT2B,1
KAT2B,HIST1H2BK,1
KAT2B,POLR1A,1
POLR1A,KAT2B,1
KAT2B,USF1,1
USF1,KAT2B,1
KAT2B,RUVBL2,1
RUVBL2,KAT2B,1
KAT2B,MYC,1
MYC,KAT2B,1
KAT2B,DEK,1
DEK,KAT2B,1
KAT2B,NOTCH4,1
NOTCH4,KAT2B,1
KAT2B,POLR1E,1
POLR1E,KAT2B,1
KAT2B,TAF1A,1
TAF1A,KAT2B,1
KAT2B,MYBBP1A,1
MYBBP1A,KAT2B,1
KAT2B,TADA3,1
TADA3,KAT2B,1
KAT2B,EP300,1
EP300,KAT2B,1
KAT2B,HDAC5,1
HDAC5,KAT2B,1
KAT2B,RUNX1,1
RUNX1,KAT2B,1
KAT2B,NCOA3,1
NCOA3,KAT2B,1
KAT2B,TRP53,1
TRP53,KAT2B,1
KAT2B,NOTCH2,1
NOTCH2,KAT2B,1
KAT2B,POLE4,1
KAT2B,ING3,1
ING3,KAT2B,1
KAT2B,RUVBL1,1
RUVBL1,KAT2B,1
KAT2B,HEY2,1
HEY2,KAT2B,1
KAT2B,SMARCA4,1
SMARCA4,KAT2B,1
KAT2B,TRRAP,1
TRRAP,KAT2B,1
KAT2B,POLR2E,1
POLR2E,KAT2B,1
KAT2B,DDX21,1
KAT2B,HIST1H4K,1
KAT2B,POLR2K,1
POLR2K,KAT2B,1
KAT2B,ZFPM1,1
ZFPM1,KAT2B,1
KAT2B,YEATS2,1
YEATS2,KAT2B,1
KAT2B,YEATS4,1
YEATS4,KAT2B,1
KAT2B,MYO1C,1
KAT2B,DDX5,1
DDX5,KAT2B,1
KAT2B,MSL3,1
KAT2B,HDAC1,1
HDAC1,KAT2B,1
KAT2B,HIST1H2BB,1
HIST1H2BB,KAT2B,1
KAT2B,POLR1C,1
POLR1C,KAT2B,1
KAT2B,POLR1B,1
POLR1B,KAT2B,1
KAT2B,RUNX3,1
RUNX3,KAT2B,1
KAT2B,EP400,1
EP400,KAT2B,1
KAT2B,ASH2L,1
ASH2L,KAT2B,1
KAT2B,NOTCH1,1
NOTCH1,KAT2B,1
KAT2B,SMARCA5,1
SMARCA5,KAT2B,1
KAT2B,RBPJ,1
RBPJ,KAT2B,1
KAT2B,DR1,1
DR1,KAT2B,1
KAT2B,MAML1,1
MAML1,KAT2B,1
KAT2B,WWTR1,1
WWTR1,KAT2B,1
KAT2B,POLR2H,1
POLR2H,KAT2B,1
KAT2B,ACTL6A,1
KAT2B,SIRT1,1
SIRT1,KAT2B,1
POLR3D,POLR3F,1
POLR3F,POLR3D,1
POLR3D,GTF3C5,1
GTF3C5,POLR3D,1
POLR3D,POLR2B,1
POLR2B,POLR3D,1
POLR3D,POLR1A,1
POLR1A,POLR3D,1
POLR3D,POLR1C,1
POLR1C,POLR3D,1
POLR3D,POLR1B,1
POLR1B,POLR3D,1
POLR3D,GTF3C1,1
GTF3C1,POLR3D,1
POLR3D,SNAPC3,1
SNAPC3,POLR3D,1
POLR3D,HSPA8,1
POLR3D,POLR2J,1
POLR2J,POLR3D,1
POLR3D,POLR2E,1
POLR2E,POLR3D,1
POLR3D,POLR2H,1
POLR2H,POLR3D,1
POLR3D,POLR2K,1
POLR2K,POLR3D,1
POLR3D,POLR3B,1
POLR3B,POLR3D,1
SMARCB1,GLI1,1
GLI1,SMARCB1,1
SMARCB1,HDAC2,1
HDAC2,SMARCB1,1
SMARCB1,BRD7,1
BRD7,SMARCB1,1
SMARCB1,CDC5L,1
CDC5L,SMARCB1,1
SMARCB1,TBL1X,1
TBL1X,SMARCB1,1
SMARCB1,ACTG1,1
SMARCB1,RUNX1,1
RUNX1,SMARCB1,1
SMARCB1,SMARCC2,1
SMARCC2,SMARCB1,1
SMARCB1,TRP53,1
TRP53,SMARCB1,1
SMARCB1,ACTL6A,1
SMARCB1,SMARCD1,1
SMARCD1,SMARCB1,1
SMARCB1,CCND1,1
CCND1,SMARCB1,1
SMARCB1,YEATS4,1
YEATS4,SMARCB1,1
SMARCB1,SMARCA2,1
SMARCA2,SMARCB1,1
SMARCB1,KDM3A,1
SMARCB1,SMARCA4,1
SMARCA4,SMARCB1,1
SMARCB1,DNMT3A,1
DNMT3A,SMARCB1,1
SMARCB1,SMARCC1,1
SMARCC1,SMARCB1,1
SMARCB1,ARID1A,1
ARID1A,SMARCB1,1
ILF2,HNRNPK,1
HNRNPK,ILF2,1
ILF2,CSTB,1
ILF2,CDC5L,1
CDC5L,ILF2,1
ILF2,ILF3,1
ILF3,ILF2,1
ILF2,MATR3,1
MATR3,ILF2,1
ILF2,CTSZ,1
ILF2,B2M,1
ILF2,CST3,1
ILF2,SSB,1
SSB,ILF2,1
ILF2,CNN2,1
ILF2,ASAH1,1
ILF2,TIMP2,1
