TF,Target,label
MAPK1,GNAI3,1
MCM6,CDC45,1
MCM3,CDC45,1
ORC2,CDC45,1
MCM5,CDC45,1
MCM4,CDC45,1
MCM2,CDC45,1
MCM7,CDC45,1
RAD51,CDC45,1
KLF6,JUN,1
JUN,KLF6,1
KLF6,BTG2,1
BTG2,KLF6,1
MCM7,BUB1B,1
MCM7,SMC2,1
MCM7,PLK1,1
MCM7,NASP,1
MCM7,CDC7,1
MCM7,NCAPH,1
MCM7,CDT1,1
MCM7,INCENP,1
MCM7,NUF2,1
MCM7,POLE3,1
MCM7,RPA2,1
MCM7,POLD1,1
MCM7,HELLS,1
MCM7,ASF1B,1
MCM7,CCNA2,1
MCM7,PRC1,1
MCM7,ORC6,1
MCM7,CDCA8,1
MCM7,CCNB2,1
MCM7,AURKA,1
MCM7,CDC20,1
MCM7,UHRF1,1
MCM7,PRIM2,1
MCM7,MCM5,1
MCM5,MCM7,1
MCM7,MKI67,1
MCM7,GMNN,1
MCM7,BIRC5,1
MCM7,POLR2B,1
POLR2B,MCM7,1
MCM7,CDCA5,1
MCM7,MCM10,1
MCM7,NCAPG2,1
MCM7,PBK,1
MCM7,CCNE1,1
MCM7,RFC5,1
MCM7,POLA2,1
MCM7,RAD51,1
RAD51,MCM7,1
MCM7,WDHD1,1
MCM7,TIPIN,1
MCM7,BUB1,1
MCM7,LIG1,1
MCM7,NCAPG,1
MCM7,NCAPD2,1
MCM7,RPA1,1
MCM7,MCM2,1
MCM2,MCM7,1
MCM7,MAD2L1,1
MCM7,KIF20B,1
MCM7,CDK1,1
MCM7,RFC4,1
MCM7,ORC5,1
MCM7,MCM4,1
MCM4,MCM7,1
MCM7,CCNB1,1
MCM7,RRM2,1
MCM7,KIF11,1
MCM7,TYMS,1
MCM7,MSH6,1
MCM7,TOP2A,1
MCM7,CDC6,1
MCM7,AURKB,1
MCM7,PRIM1,1
MCM7,ORC2,1
ORC2,MCM7,1
MCM7,MCM3,1
MCM3,MCM7,1
MCM7,RRM1,1
MCM7,MCM6,1
MCM6,MCM7,1
PA2G4,GM2A,1
MAPK1,GM2A,1
XRCC3,RPA1,1
RAD51,RPA1,1
POLR2B,RPA1,1
MCM5,RPA1,1
XRCC6,RPA1,1
ERCC8,RPA1,1
GTF2H1,RPA1,1
E2F6,RPA1,1
MCM6,RPA1,1
MCM3,RPA1,1
ORC2,RPA1,1
MCM4,RPA1,1
MCM2,RPA1,1
XAB2,RPA1,1
EPOR,TYK2,1
STAT3,TYK2,1
MAPK1,TYK2,1
MCM6,UHRF1,1
MCM3,UHRF1,1
MCM5,UHRF1,1
MCM4,UHRF1,1
MCM2,UHRF1,1
