TF,Target,label
MCM6,CDC45,1
MCM3,CDC45,1
ORC2,CDC45,1
MCM5,CDC45,1
MCM4,CDC45,1
MCM2,CDC45,1
MCM7,CDC45,1
RAD51,CDC45,1
KLF6,JUN,1
JUN,KLF6,1
KLF6,BTG2,1
BTG2,KLF6,1
MCM7,BUB1B,1
MCM7,SMC2,1
MCM7,CDC7,1
MCM7,CDT1,1
MCM7,INCENP,1
MCM7,POLE3,1
MCM7,POLD1,1
MCM7,ASF1B,1
MCM7,CCNA2,1
MCM7,ORC6,1
MCM7,CDCA8,1
MCM7,CCNB2,1
MCM7,AURKA,1
MCM7,CDC20,1
MCM7,UHRF1,1
MCM7,PRIM2,1
MCM7,MCM5,1
MCM5,MCM7,1
MCM7,MKI67,1
MCM7,GMNN,1
MCM7,BIRC5,1
MCM7,POLR2B,1
POLR2B,MCM7,1
MCM7,PBK,1
MCM7,CCNE1,1
MCM7,RFC5,1
MCM7,RAD51,1
RAD51,MCM7,1
MCM7,WDHD1,1
MCM7,TIPIN,1
MCM7,LIG1,1
MCM7,MCM2,1
MCM2,MCM7,1
MCM7,MAD2L1,1
MCM7,RFC4,1
MCM7,ORC5,1
MCM7,MCM4,1
MCM4,MCM7,1
MCM7,CCNB1,1
MCM7,RRM2,1
MCM7,TYMS,1
MCM7,MSH6,1
MCM7,TOP2A,1
MCM7,CDC6,1
MCM7,AURKB,1
MCM7,PRIM1,1
MCM7,ORC2,1
ORC2,MCM7,1
MCM7,MCM3,1
MCM3,MCM7,1
MCM7,RRM1,1
MCM7,MCM6,1
MCM6,MCM7,1
MCM6,UHRF1,1
MCM3,UHRF1,1
MCM5,UHRF1,1
MCM4,UHRF1,1
MCM2,UHRF1,1
RAD51,UHRF1,1
TCF19,UHRF1,1
ELL2,POLR2B,1
POLR2B,ELL2,1
ELL2,ZFP143,1
ZFP143,ELL2,1
ELL2,GTF2E1,1
GTF2E1,ELL2,1
ELL2,GTF2F1,1
GTF2F1,ELL2,1
ELL2,SNAPC3,1
SNAPC3,ELL2,1
ELL2,AFF4,1
AFF4,ELL2,1
POLR2B,CRNKL1,1
SNRPB,CRNKL1,1
YBX1,CRNKL1,1
GTF2F1,CRNKL1,1
XAB2,CRNKL1,1
PWP1,PA2G4,1
PA2G4,PWP1,1
PWP1,CTPS,1
PWP1,POLR1B,1
POLR1B,PWP1,1
PWP1,DCAF13,1
PWP1,BYSL,1
PWP1,TRMT11,1
PWP1,PNO1,1
PWP1,FTSJ3,1
PWP1,PWP2,1
PWP1,REXO4,1
REXO4,PWP1,1
PWP1,WDR75,1
SPI1,GATA2,1
GATA2,SPI1,1
SPI1,EBF1,1
EBF1,SPI1,1
SPI1,GATA1,1
GATA1,SPI1,1
SPI1,IKZF1,1
IKZF1,SPI1,1
SPI1,TLR4,1
TLR4,SPI1,1
SPI1,ID2,1
ID2,SPI1,1
SPI1,LCP2,1
SPI1,MYB,1
MYB,SPI1,1
SPI1,GFI1,1
GFI1,SPI1,1
SPI1,STAT3,1
STAT3,SPI1,1
SPI1,JUN,1
JUN,SPI1,1
SPI1,NFATC1,1
NFATC1,SPI1,1
SPI1,IRF8,1
IRF8,SPI1,1
SPI1,RUNX1T1,1
RUNX1T1,SPI1,1
SPI1,PML,1
PML,SPI1,1
GTF2F1,ESR1,1
ESR1,GTF2F1,1
GTF2F1,POLR2B,1
POLR2B,GTF2F1,1
GTF2F1,ZFP143,1
ZFP143,GTF2F1,1
GTF2F1,CTR9,1
CTR9,GTF2F1,1
GTF2F1,PPIL4,1
GTF2F1,SNRPB,1
SNRPB,GTF2F1,1
GTF2F1,TAF12,1
TAF12,GTF2F1,1
GTF2F1,YBX1,1
YBX1,GTF2F1,1
GTF2F1,GTF2H1,1
GTF2H1,GTF2F1,1
GTF2F1,GTF2E1,1
GTF2E1,GTF2F1,1
GTF2F1,XAB2,1
XAB2,GTF2F1,1
GTF2F1,TAF1,1
TAF1,GTF2F1,1
GTF2F1,SNAPC3,1
SNAPC3,GTF2F1,1
GTF2F1,CSTF2,1
GTF2F1,AFF4,1
AFF4,GTF2F1,1
GTF2F1,PRPF4,1
STAT3,EBI3,1
POLR1B,ABCF3,1
PHB2,PMPCA,1
PHB2,AFG3L2,1
MAPK9,BID,1
MCM6,MSH6,1
MCM3,MSH6,1
MCM4,MSH6,1
MCM2,MSH6,1
XRCC5,MSH6,1
XRCC3,MSH6,1
RAD51,MSH6,1
MCM5,MSH6,1
XRCC6,MSH6,1
ERCC8,MSH6,1
XPC,MSH6,1
MCM6,ASF1B,1
MCM3,ASF1B,1
MCM4,ASF1B,1
MCM2,ASF1B,1
TAF1,ASF1B,1
RAD51,ASF1B,1
MCM5,ASF1B,1
TCF19,ASF1B,1
CTR9,AFF4,1
