TF,Target,label
MCM6,CDC45,1
MCM3,CDC45,1
ORC2,CDC45,1
MCM5,CDC45,1
MCM4,CDC45,1
MCM2,CDC45,1
MCM7,CDC45,1
RAD51,CDC45,1
KLF6,JUN,1
JUN,KLF6,1
KLF6,BTG2,1
BTG2,KLF6,1
MCM7,BUB1B,1
MCM7,SMC2,1
MCM7,NASP,1
MCM7,CDC7,1
MCM7,NCAPH,1
MCM7,RACGAP1,1
MCM7,CDT1,1
MCM7,INCENP,1
MCM7,NUF2,1
MCM7,POLE3,1
MCM7,RPA2,1
MCM7,POLD1,1
MCM7,HELLS,1
MCM7,ASF1B,1
MCM7,CCNA2,1
MCM7,PRC1,1
MCM7,ORC6,1
MCM7,CDCA8,1
MCM7,CCNB2,1
MCM7,AURKA,1
MCM7,CDC20,1
MCM7,UHRF1,1
MCM7,PRIM2,1
MCM7,MCM5,1
MCM5,MCM7,1
MCM7,MKI67,1
MCM7,GMNN,1
MCM7,DUT,1
MCM7,BIRC5,1
MCM7,POLR2B,1
POLR2B,MCM7,1
MCM7,CDCA5,1
MCM7,MCM10,1
MCM7,CDCA7,1
MCM7,NCAPG2,1
MCM7,PBK,1
MCM7,HAT1,1
MCM7,DNAJC9,1
MCM7,RFC5,1
MCM7,POLA2,1
MCM7,RAD51,1
RAD51,MCM7,1
MCM7,SLBP,1
MCM7,NDC80,1
MCM7,WDHD1,1
MCM7,TIPIN,1
MCM7,BUB1,1
MCM7,LIG1,1
MCM7,NCAPG,1
MCM7,NCAPD2,1
MCM7,RPA1,1
MCM7,MCM2,1
MCM2,MCM7,1
MCM7,MAD2L1,1
MCM7,KIF20B,1
MCM7,CDK1,1
MCM7,RFC4,1
MCM7,H2AFX,1
MCM7,MCM4,1
MCM4,MCM7,1
MCM7,CCNB1,1
MCM7,RRM2,1
MCM7,KIF11,1
MCM7,TYMS,1
MCM7,POLE,1
MCM7,MSH6,1
MCM7,TOP2A,1
MCM7,CDC6,1
MCM7,AURKB,1
MCM7,PRIM1,1
MCM7,ORC2,1
ORC2,MCM7,1
MCM7,MCM3,1
MCM3,MCM7,1
MCM7,RRM1,1
MCM7,MCM6,1
MCM6,MCM7,1
XRCC3,RPA1,1
RAD51,RPA1,1
POLR2B,RPA1,1
MCM5,RPA1,1
XRCC6,RPA1,1
ERCC8,RPA1,1
GTF2H1,RPA1,1
MCM6,RPA1,1
MCM3,RPA1,1
ORC2,RPA1,1
MCM4,RPA1,1
MCM2,RPA1,1
MCM6,UHRF1,1
MCM3,UHRF1,1
MCM5,UHRF1,1
MCM4,UHRF1,1
MCM2,UHRF1,1
RAD51,UHRF1,1
TCF19,UHRF1,1
SPI1,TYROBP,1
SPI1,CSF2RB,1
SPI1,GATA2,1
GATA2,SPI1,1
SPI1,MPO,1
SPI1,EBF1,1
EBF1,SPI1,1
SPI1,PLEK,1
SPI1,FLT3,1
SPI1,IKZF1,1
IKZF1,SPI1,1
SPI1,TLR4,1
TLR4,SPI1,1
SPI1,LCP2,1
SPI1,CSF1R,1
SPI1,CD53,1
SPI1,MYB,1
MYB,SPI1,1
SPI1,JUN,1
JUN,SPI1,1
SPI1,IRF8,1
IRF8,SPI1,1
SPI1,RUNX1T1,1
RUNX1T1,SPI1,1
SPI1,RGS18,1
SPI1,CSF3R,1
GTF2F1,RPRD1B,1
GTF2F1,POLR2B,1
POLR2B,GTF2F1,1
GTF2F1,CTR9,1
CTR9,GTF2F1,1
GTF2F1,SNRPB,1
SNRPB,GTF2F1,1
GTF2F1,TAF12,1
TAF12,GTF2F1,1
GTF2F1,YBX1,1
YBX1,GTF2F1,1
GTF2F1,GTF2H1,1
GTF2H1,GTF2F1,1
GTF2F1,PHF5A,1
GTF2F1,EAF1,1
GTF2F1,CSTF2,1
GTF2F1,INTS8,1
GTF2F1,MLLT3,1
MLLT3,GTF2F1,1
GTF2F1,SNRNP200,1
GTF2F1,EFTUD2,1
GTF2F1,PRPF4,1
GTF2F1,SF3B3,1
RORC,IL17RA,1
PLAG1,NCAPG,1
PHB2,TOMM40,1
PHB2,EIF3B,1
PHB2,MICU1,1
PHB2,CYC1,1
MYC,CD44,1
JUN,CD44,1
TLR4,CD44,1
MYCN,NDRG1,1
MCM6,MSH6,1
MCM3,MSH6,1
MCM4,MSH6,1
MCM2,MSH6,1
XRCC3,MSH6,1
RAD51,MSH6,1
MCM5,MSH6,1
XRCC6,MSH6,1
ERCC8,MSH6,1
XPC,MSH6,1
MCM6,ASF1B,1
MCM3,ASF1B,1
MCM4,ASF1B,1
MCM2,ASF1B,1
RAD51,ASF1B,1
MCM5,ASF1B,1
TCF19,ASF1B,1
CTR9,SETD2,1
CTR9,EAF1,1
CTR9,POLR2B,1
POLR2B,CTR9,1
