TF,Target,label
KLF6,BTG2,1
BTG2,KLF6,1
SPI1,ITGB2,1
MCM7,PLK2,1
MCM7,CDT1,1
MCM7,UHRF1,1
MCM7,MCM5,1
MCM5,MCM7,1
MCM7,MKI67,1
MCM7,GMNN,1
MCM7,POLA2,1
MCM7,SLBP,1
MCM7,TIPIN,1
MCM7,NCAPD2,1
MCM7,MCM4,1
MCM4,MCM7,1
MCM7,TOP2A,1
MCM7,PRIM1,1
MCM5,UHRF1,1
MCM4,UHRF1,1
SPI1,TYROBP,1
SPI1,GATA2,1
GATA2,SPI1,1
SPI1,LCP1,1
SPI1,MPO,1
SPI1,SERPINA3N,1
SPI1,PLEK,1
SPI1,FLT3,1
SPI1,MPEG1,1
SPI1,IKZF1,1
IKZF1,SPI1,1
SPI1,ITGAM,1
SPI1,LAPTM5,1
SPI1,CSF1R,1
SPI1,CTSS,1
SPI1,CD53,1
SPI1,IRF8,1
IRF8,SPI1,1
SPI1,RUNX1T1,1
RUNX1T1,SPI1,1
SPI1,CSF3R,1
FOXO1,IL7R,1
CD7,CD33,1
MYC,CD44,1
NOTCH1,APP,1
CTR9,MLLT3,1
MLLT3,CTR9,1
GATA2,KIT,1
CBFB,CRIP1,1
MCM5,CDT1,1
MCM4,CDT1,1
MCM5,GMNN,1
MCM4,GMNN,1
GATA2,MYC,1
MYC,GATA2,1
GATA2,CBFB,1
CBFB,GATA2,1
GATA2,GFI1B,1
GFI1B,GATA2,1
H1F0,H2AFY,1
MEIS1,H2AFY,1
PBX1,H2AFY,1
RARB,H2AFY,1
CD7,CD34,1
HNF4A,FOXO1,1
FOXO1,HNF4A,1
IKZF1,FLT3,1
IKZF1,IRF8,1
IRF8,IKZF1,1
BTG2,DUSP1,1
ESR1,OTUB2,1
IRF8,LY86,1
MYC,ESR1,1
ESR1,MYC,1
MYC,CDK6,1
MYC,ANXA5,1
MYC,MKI67,1
MYC,FOXO1,1
FOXO1,MYC,1
MYC,NOTCH1,1
NOTCH1,MYC,1
VDR,RUNX2,1
RUNX2,VDR,1
MCM4,PRIM1,1
MCM4,TOP2A,1
MCM4,NCAPD2,1
MCM4,TIPIN,1
MCM4,SLBP,1
MCM4,POLA2,1
MCM4,MCM5,1
MCM5,MCM4,1
MCM4,DTL,1
TSC22D3,DUSP1,1
IRF8,CSF1R,1
MCM5,POLA2,1
CD7,CD38,1
MCM5,PRIM1,1
FOXO1,SELL,1
MCM5,DTL,1
GFI1B,MEIS1,1
MEIS1,GFI1B,1
NOTCH1,MAML3,1
MAML3,NOTCH1,1
NOTCH1,IGF1,1
NOTCH1,ADAM17,1
XPC,XRCC6,1
XRCC6,XPC,1
XPC,USP11,1
ESR1,MKI67,1
HMGB2,MKI67,1
PGR,MKI67,1
MCM5,MKI67,1
SOX18,VEGFC,1
MCM5,TIPIN,1
MEIS1,FLT3,1
MCM5,NCAPD2,1
NDN,FOXO1,1
FOXO1,NDN,1
ELF1,CBFB,1
CBFB,ELF1,1
HOXA9,MEIS1,1
MEIS1,HOXA9,1
HOXA9,MLLT3,1
MLLT3,HOXA9,1
HOXA9,PBX1,1
PBX1,HOXA9,1
FOXO1,RUNX2,1
RUNX2,FOXO1,1
FOXO1,IGF1,1
ESR1,IGF1,1
CBFB,ESR1,1
ESR1,CBFB,1
CBFB,CDK6,1
CBFB,RUNX2,1
RUNX2,CBFB,1
MCM5,SLBP,1
YBX1,SLBP,1
PGR,ESR1,1
ESR1,PGR,1
PGR,PGRMC1,1
PGR,NR3C2,1
NR3C2,PGR,1
HMGB2,TOP2A,1
HMGB2,H1F0,1
H1F0,HMGB2,1
EYA2,DACH1,1
DACH1,EYA2,1
MCM5,TOP2A,1
ESR1,RUNX2,1
RUNX2,ESR1,1
MLLT3,MEIS1,1
MEIS1,MLLT3,1
PBX1,MEIS1,1
MEIS1,PBX1,1
GATA2,IRF8,0
RUNX1T1,MYC,0
RARB,CSF1R,0
NDN,CTSS,0
DACH1,VEGFC,0
NR3C2,HOXA9,0
VDR,MYC,0
XRCC6,IKZF1,0
NDN,USP11,0
PGR,UHRF1,0
BTG2,ITGAM,0
NDN,VDR,0
CD7,NCAPD2,0
H1F0,GATA2,0
XPC,GFI1B,0
MCM5,HNF4A,0
RARB,PLEK,0
RARB,ANXA5,0
PGR,KIT,0
EYA2,NR3C2,0
VDR,CDT1,0
HMGB2,TYROBP,0
IRF8,NCAPD2,0
RARB,SERPINA3N,0
IKZF1,HMGB2,0
YBX1,VDR,0
KLF6,XPC,0
GFI1B,ADAM17,0
ELF1,H1F0,0
CD7,POLA2,0
MCM5,ELF1,0
EYA2,ESR1,0
MLLT3,MCM4,0
XPC,MCM5,0
DACH1,ESR1,0
TSC22D3,NCAPD2,0
SPI1,TIPIN,0
ELF1,LAPTM5,0
MCM5,GFI1B,0
PBX1,TYROBP,0
DACH1,PLK2,0
SPI1,GMNN,0
EYA2,MAML3,0
PBX1,MYC,0
PGR,ANXA5,0
PGR,ITGB2,0
CBFB,CD44,0
PGR,TYROBP,0
RUNX2,LCP1,0
PBX1,LY86,0
IRF8,IGF1,0
DACH1,HMGB2,0
MCM4,LCP1,0
NDN,MPO,0
MLLT3,RUNX1T1,0
HNF4A,PLK2,0
RUNX1T1,GATA2,0
CBFB,CSF1R,0
H1F0,SPI1,0
CD7,TIPIN,0
NOTCH1,HNF4A,0
MCM7,CD34,0
MCM7,TYROBP,0
RUNX2,CD44,0
XPC,MYC,0
YBX1,IGF1,0
ELF1,CRIP1,0
MYC,VDR,0
MCM4,SELL,0
GFI1B,PLEK,0
VDR,PGR,0
NOTCH1,XPC,0
H1F0,RUNX2,0
VDR,ELF1,0
PGR,IKZF1,0
MLLT3,CD33,0
GATA2,CSF1R,0
RUNX2,ANXA5,0
SPI1,DTL,0
RUNX2,CTSS,0
RUNX2,MYC,0
EYA2,OTUB2,0
BTG2,MEIS1,0
DACH1,CSF1R,0
ELF1,VDR,0
BTG2,DACH1,0
GATA2,MCM7,0
MYC,CRIP1,0
IRF8,H1F0,0
GATA2,TYROBP,0
MAML3,POLA2,0
HNF4A,H1F0,0
NDN,H2AFY,0
NR3C2,CDK6,0
SPI1,TOP2A,0
MLLT3,CSF3R,0
CBFB,NCAPD2,0
DACH1,LY86,0
GATA2,ELF1,0
ELF1,MKI67,0
CD7,MCM7,0
EYA2,FOXO1,0
BTG2,CD34,0
FOXO1,NCAPD2,0
MYC,ITGB2,0
VDR,POLA2,0
RARB,PBX1,0
CTR9,PLK2,0
SOX18,IRF8,0
DACH1,POLA2,0
MYC,MAML3,0
EYA2,SELL,0
IKZF1,ELF1,0
KLF6,LAPTM5,0
CTR9,NOTCH1,0
EYA2,CD33,0
GFI1B,NCAPD2,0
HOXA9,CSF3R,0
SOX18,MPO,0
GATA2,MCM5,0
MLLT3,GFI1B,0
XRCC6,MCM5,0
DACH1,H2AFY,0
NR3C2,MCM4,0
IKZF1,H2AFY,0
CD7,PRIM1,0
DACH1,CBFB,0
XPC,GMNN,0
ESR1,KIT,0
XPC,RUNX2,0
SOX18,GMNN,0
RUNX2,SELL,0
EYA2,CTR9,0
XRCC6,FLT3,0
HMGB2,IKZF1,0
HOXA9,SLBP,0
H1F0,IL7R,0
MCM4,CD33,0
PGR,TOP2A,0
SPI1,CD38,0
MCM7,NOTCH1,0
SPI1,GFI1B,0
BTG2,PBX1,0
MCM5,VEGFC,0
IRF8,MYC,0
MYC,ITGAM,0
CBFB,PLEK,0
CBFB,CD33,0
IRF8,PRIM1,0
MEIS1,PGR,0
HNF4A,XPC,0
NR3C2,XPC,0
CD7,RUNX1T1,0
TSC22D3,MAML3,0
