TF,Target,label
AR,RGPD2,1
BCL11A,RGPD2,1
BCL11A,HESX1,1
CTNNB1,RGPD2,1
CTNNB1,CER1,1
CTNNB1,MCC,1
CTNNB1,AK4,1
CTNNB1,TLE3,1
CTNNB1,RGMB,1
CTNNB1,DKK1,1
CTNNB1,CDC14B,1
CTNNB1,CXXC1,1
CTNNB1,SFRP2,1
CTNNB1,PRICKLE1,1
CTNNB1,DCLK1,1
CTNNB1,ETV4,1
CTNNB1,OTX2,1
CTNNB1,DKK4,1
CTNNB1,NEDD9,1
CTNNB1,ZSWIM6,1
CTNNB1,TNC,1
CTNNB1,ODF2,1
CTNNB1,NIN,1
CTNNB1,DUSP4,1
CTNNB1,SLC7A5,1
CTNNB1,SYT1,1
CTNNB1,WLS,1
CTNNB1,CYP1B1,1
CTNNB1,HESX1,1
CTNNB1,PDE4D,1
CTNNB1,UNC5D,1
CTNNB1,FAM169A,1
CTNNB1,ASXL1,1
CTNNB1,ETV1,1
CTNNB1,PODXL,1
CTNNB1,LIX1,1
CTNNB1,ZNF202,1
CTNNB1,NUP54,1
CTNNB1,USP44,1
CTNNB1,RXRG,1
CTNNB1,ENC1,1
CTNNB1,PHLDB2,1
CTNNB1,RGS5,1
CTNNB1,ETV3,1
CTNNB1,GCNT2,1
CTNNB1,UBL7,1
CTNNB1,SMAD2,1
CTNNB1,PDPN,1
CTNNB1,KLHL4,1
CTNNB1,PRDM14,1
CTNNB1,CRABP2,1
CTNNB1,VPS13C,1
CTNNB1,RABGAP1L,1
CTNNB1,MMP2,1
CTNNB1,WWTR1,1
CTNNB1,BTBD10,1
CTNNB1,COL4A2,1
CTNNB1,COL4A1,1
CTNNB1,PAM,1
CTNNB1,NCAM1,1
CTNNB1,RBPJ,1
CTNNB1,SVEP1,1
CTNNB1,LPIN1,1
CTNNB1,LIN28A,1
CTNNB1,TNFRSF11B,1
CTNNB1,GPR83,1
CTNNB1,CD200,1
CTNNB1,CYP26A1,1
CTNNB1,CDH2,1
CTNNB1,BAMBI,1
CTNNB1,CHD9,1
CTNNB1,NAV2,1
CTNNB1,RHOBTB3,1
CTNNB1,PMAIP1,1
CTNNB1,PBX1,1
CTNNB1,PALLD,1
CTNNB1,PRDM1,1
CTNNB1,PLAGL1,1
CTNNB1,CENPK,1
CTNNB1,PLEKHA6,1
CTNNB1,PITX2,1
CTNNB1,RBM47,1
CTNNB1,FBXO28,1
CTNNB1,FOXN3,1
CTNNB1,ADD2,1
CTNNB1,SAMD3,1
CTNNB1,UTP14A,1
CTNNB1,HOMER1,1
CTNNB1,EPHA2,1
CTNNB1,POLDIP3,1
CTNNB1,SLC29A1,1
CTNNB1,EPCAM,1
CTNNB1,TCF4,1
CTNNB1,MATN3,1
CTNNB1,FOXP1,1
CTNNB1,TSPAN13,1
CTNNB1,DCAF6,1
CTNNB1,SH3BGRL2,1
CTNNB1,ZNF142,1
CTNNB1,ANXA3,1
CTNNB1,SEMA3E,1
CTNNB1,POU2F1,1
CTNNB1,MRPL1,1
CTNNB1,TTC27,1
CTNNB1,E2F7,1
CTNNB1,MT1X,1
CTNNB1,ECHDC1,1
CTNNB1,NCAPG,1
CTNNB1,HMGA1,1
CTNNB1,NREP,1
CTNNB1,PHB2,1
CTNNB1,SKA3,1
CTNNB1,ABCA1,1
CTNNB1,TTC4,1
CTNNB1,SNAI2,1
CTNNB1,GATA4,1
CTNNB1,ASNS,1
CTNNB1,NAT10,1
CTNNB1,AKAP1,1
