TF,Target,label
ARID2,CBX3,1
ARID2,SLC39A10,1
ARID2,RBM39,1
ATF3,TRIAP1,1
ATF3,BDP1,1
ATF3,HERPUD1,1
ATF3,YARS,1
ATF3,S100PBP,1
ATF3,FANCD2,1
ATF3,PYCR1,1
ATF3,GTF2H3,1
ATF3,ABT1,1
ATF3,ATG5,1
ATF3,RPUSD4,1
ATF3,FAM118B,1
ATF3,VPS33A,1
ATF3,ATG3,1
ATF3,ECD,1
ATF3,MRPL2,1
ATF3,KLC4,1
ATF3,TSFM,1
ATF3,THAP4,1
ATF3,AFF4,1
ATF3,NDC80,1
ATF3,NTHL1,1
ATF3,WDR75,1
ATF3,PWP1,1
ATF3,ILF3,1
ATF3,CNOT7,1
ATF3,EFTUD2,1
ATF3,STMN1,1
ATF3,APEX1,1
ATF3,TTI2,1
ATF3,CDK4,1
ATF3,G6PC3,1
ATF3,TMEM147,1
ATF3,SUPV3L1,1
ATF3,EXOSC9,1
ATF3,EED,1
ATF3,RNPS1,1
ATF3,TMEM237,1
ATF3,DPH5,1
ATF3,LRRC40,1
ATF3,MECR,1
ATF3,RRM1,1
ATF3,SRSF2,1
ATF3,U2AF1,1
ATF3,MRRF,1
ATF3,IDH3B,1
ATF3,BRMS1,1
ATF3,MED20,1
ATF3,TBL1X,1
ATF3,THRAP3,1
ATF3,TBRG4,1
ATF3,HNRNPH2,1
ATF3,WDHD1,1
ATF3,HAUS2,1
ATF3,C19ORF48,1
ATF3,TWISTNB,1
ATF3,UTP15,1
ATF3,NOL10,1
ATF3,ZFP64,1
ATF3,NEK2,1
ATF3,ZFAND2A,1
ATF3,VPS26A,1
ATF3,AARS,1
ATF3,RCAN1,1
ATF3,LIAS,1
ATF3,NDUFAF5,1
ATF3,WDR74,1
ATF3,CAMK2D,1
ATF3,SEC11C,1
ATF3,TAF11,1
ATF3,RFC1,1
ATF3,HMGN4,1
ATF3,PEF1,1
ATF3,C1ORF109,1
ATF3,THOC1,1
ATF3,PRC1,1
ATF3,ARMC9,1
ATF3,AGTRAP,1
ATF3,ABCE1,1
ATF3,BPTF,1
ATF3,DNAJB9,1
ATF3,MRPL15,1
ATF3,KLHL7,1
ATF3,ZNF143,1
ATF3,PAK1IP1,1
ATF3,ARL2,1
ATF3,UCHL5,1
ATF3,MYO9A,1
ATF3,TAF5,1
ATF3,C11ORF1,1
ATF3,CCDC77,1
ATF3,TUBE1,1
ATF3,SIRT2,1
ATF3,C9ORF78,1
ATF3,METTL1,1
ATF3,CENPK,1
ATF3,SIRT1,1
ATF3,F3,1
