TF,Target,label
ARID2,CBX3,1
ARID2,RBM39,1
ATF3,BDP1,1
ATF3,HERPUD1,1
ATF3,YARS,1
ATF3,FANCD2,1
ATF3,GTF2H3,1
ATF3,ABT1,1
ATF3,ATG5,1
ATF3,ECD,1
ATF3,TSFM,1
ATF3,AFF4,1
ATF3,PWP1,1
ATF3,ILF3,1
ATF3,CNOT7,1
ATF3,EFTUD2,1
ATF3,STMN1,1
ATF3,APEX1,1
ATF3,CDK4,1
ATF3,G6PC3,1
ATF3,SUPV3L1,1
ATF3,EXOSC9,1
ATF3,EED,1
ATF3,RNPS1,1
ATF3,DPH5,1
ATF3,RRM1,1
ATF3,SRSF2,1
ATF3,U2AF1,1
ATF3,MED20,1
ATF3,TBL1X,1
ATF3,THRAP3,1
ATF3,TBRG4,1
ATF3,HNRNPH2,1
ATF3,WDHD1,1
ATF3,C19ORF48,1
ATF3,NOL10,1
ATF3,ZFP64,1
ATF3,NEK2,1
ATF3,ZFAND2A,1
ATF3,NDUFAF5,1
ATF3,WDR74,1
ATF3,CAMK2D,1
ATF3,SEC11C,1
ATF3,TAF11,1
ATF3,RFC1,1
ATF3,HMGN4,1
ATF3,PEF1,1
ATF3,THOC1,1
ATF3,PRC1,1
ATF3,AGTRAP,1
ATF3,BPTF,1
ATF3,KLHL7,1
ATF3,ZNF143,1
ATF3,PAK1IP1,1
ATF3,TAF5,1
ATF3,C11ORF1,1
ATF3,SIRT2,1
ATF3,CENPK,1
ATF3,SIRT1,1
ATF3,F3,1
ATF3,UTP18,1
ATF3,ANLN,1
ATF3,SUB1,1
ATF3,WDR43,1
ATF3,ANKRD1,1
ATF3,CACYBP,1
ATF3,IRF9,1
ATF3,POLR2K,1
ATF3,FEN1,1
ATF3,GTF3C2,1
ATF3,BRCA1,1
ATF3,YBX1,1
ATF3,ZNRD1,1
ATF3,XRCC5,1
ATF3,BRCA2,1
ATF3,TEX10,1
ATF3,HINFP,1
ATF3,CHEK1,1
ATF3,DCAF13,1
ATF3,AATF,1
ATF3,KAT7,1
ATF3,PHF5A,1
ATF3,MMS19,1
ATF3,GTF2E1,1
ATF3,HMGCL,1
ATF3,HNRNPD,1
ATF3,CKS2,1
ATF3,SCAPER,1
ATF3,MCM7,1
ATF3,TNFAIP3,1
