TF,Target,label
AHR,HIST1H2BC,1
AHR,CIC,1
AHR,SP1,1
AHR,ATP5B,1
ATF3,PSMB2,1
ATF3,RPL9,1
ATF3,NFX1,1
ATF4,RBM39,1
ATF4,ATF3,1
ATF4,ATF6,1
ATF4,MYD88,1
ATF4,LMO4,1
ATF4,UQCRQ,1
ATF4,SERTAD2,1
ATF4,HAX1,1
ATF4,LGALS3,1
ATF4,RUVBL2,1
ATF4,TGIF1,1
ATF4,CSDE1,1
ATF4,ATP6V1F,1
ATF4,PSMB3,1
ATF4,HMGN2,1
ATF4,TANK,1
ATF4,MAFF,1
ATF4,RPL10A,1
ATF4,CTSL,1
ATF4,XBP1,1
ATF4,PCNP,1
ATF4,SRSF2,1
ATF4,NFKBIZ,1
ATF4,HSP90B1,1
ATF4,SF1,1
ATF4,IL1RN,1
ATF4,CLEC4E,1
ATF4,RNF149,1
ATF4,MAPK14,1
ATF4,SUMO1,1
ATF4,HMGB2,1
ATF4,TMEM50A,1
ATF4,GLIPR1,1
ATF4,PER1,1
ATF4,ATP5L,1
ATF4,CCRL2,1
ATF4,MCM3,1
ATF4,GTF2F1,1
ATF4,SDHD,1
ATF4,TECR,1
ATF4,UQCR10,1
ATF4,STAT1,1
ATF4,IFITM2,1
ATF4,PSMB2,1
ATF4,TRF,1
ATF4,PPIA,1
ATF4,ANXA3,1
ATF4,HDAC1,1
ATF4,NFIL3,1
ATF4,TLR2,1
ATF4,CNOT8,1
ATF4,CHD1,1
ATF4,ING1,1
ATF4,PSME2,1
ATF4,CCL6,1
ATF4,IRF2,1
ATF4,BIN1,1
ATF4,PGK1,1
ATF4,LITAF,1
ATF4,CCL3,1
ATF4,SEPT2,1
ATF4,PLEK,1
ATF4,DDX5,1
ATF4,RPSA,1
ATF4,TNF,1
ATF4,CD302,1
ATF4,CREM,1
ATF4,SLFN2,1
ATF4,LCP1,1
ATF4,MGST1,1
ATF4,JUNB,1
ATF4,CTSC,1
ATF4,FTL1,1
ATF4,ARHGDIB,1
ATF4,VAMP8,1
ATF4,BCL2A1D,1
ATF4,DEK,1
ATF4,HBP1,1
ATF4,H2AFV,1
ATF4,EEF1A1,1
ATF4,SGK1,1
ATF4,ANXA1,1
ATF4,BCL2A1B,1
ATF4,IRF4,1
ATF4,PLD3,1
ATF4,CD83,1
ATF4,IL1B,1
ATF4,NAP1L4,1
ATF4,EIF5A,1
ATF4,SSR3,1
ATF4,FOSB,1
ATF4,NFX1,1
ATF4,SH3BGRL3,1
ATF4,CISH,1
ATF4,LSP1,1
ATF4,ARL8B,1
ATF4,GYG,1
ATF4,LY6E,1
ATF4,RPL3,1
ATF4,TNFAIP3,1
ATF4,NR3C1,1
ATF4,SMARCB1,1
ATF4,M6PR,1
ATF4,VPS28,1
ATF4,SIN3B,1
ATF4,POLR2G,1
ATF4,BLVRB,1
ATF4,FCGR3,1
ATF4,RPS27A,1
ATF4,NR4A1,1
ATF4,CD14,1
ATF4,ACTR2,1
ATF4,TFDP1,1
ATF4,CANX,1
ATF4,TYROBP,1
ATF4,PSME1,1
ATF4,PRR13,1
ATF4,HDGF,1
BATF3,ZFP91,1
BATF3,BCL2A1D,1
BATF3,NR3C1,1
BATF3,CTSC,1
BATF3,BCL2A1B,1
BATF3,SRRM1,1
BATF3,ATOX1,1
BATF3,MAPK14,1
BATF3,RPS29,1
BATF3,VIM,1
BATF3,POMP,1
BATF3,BCL2A1A,1
BATF3,PPIA,1
BATF3,VDAC2,1
BATF3,HCLS1,1
BATF3,RAB32,1
BATF3,CREM,1
BATF3,P2RY14,1
BATF3,AP2M1,1
BATF3,PLEK,1
BATF3,LAPTM5,1
BATF3,ITGB2,1
BATF3,ELF1,1
BATF3,HIF1A,1
BATF3,H2-T23,1
BATF3,SPP1,1
BATF3,CNOT8,1
BATF3,IRF2,1
BATF3,PLIN2,1
BATF3,YEATS4,1
BATF3,ATP6V0E,1
BATF3,RUNX1,1
BATF3,IRF5,1
BATF3,CCL6,1
BATF3,TGIF1,1
BATF3,WBP11,1
BATF3,ATF6,1
BATF3,RBBP7,1
BATF3,ACTR2,1
BATF3,GYG,1
BATF3,EHMT1,1
BATF3,SH3BGRL3,1
BATF3,JUN,1
BATF3,MMP12,1
BATF3,CCL17,1
BATF3,PREB,1
BATF3,CST3,1
BATF3,LGALS3,1
BATF3,LYZ1,1
BATF3,MRPL42,1
BATF3,ING1,1
BATF3,SGK1,1
BATF3,GLRX,1
BATF3,HHEX,1
BATF3,RGS1,1
BATF3,CLEC7A,1
BATF3,UBE2K,1
BATF3,ATP6V0B,1
BATF3,ARHGDIB,1
BATF3,PSMA1,1
BATF3,IL1A,1
BATF3,CIITA,1
BATF3,ITM2B,1
BATF3,TBPL1,1
BATF3,PCBP2,1
BATF3,LSP1,1
BATF3,CD53,1
BATF3,CLEC4B1,1
BATF3,TLR4,1
BATF3,SLAMF7,1
BATF3,PSME2,1
BATF3,COX7A2L,1
BATF3,DPF2,1
BATF3,MYL6,1
CTCF,ATP5G2,1
CTCF,TOX4,1
CTCF,TRP53,1
CTCF,POLR2J,1
CTCF,NDUFC1,1
CTCF,SNRPD1,1
CTCF,RPL5,1
CTCF,RPL36,1
CTCF,NDUFA6,1
CTCF,TNFAIP3,1
CTCF,NDUFB10,1
CTCF,RPLP0,1
CTCF,RUVBL2,1
CTCF,TREX1,1
CTCF,RPS17,1
CTCF,CREM,1
CTCF,SNRPE,1
CTCF,BOLA2,1
CTCF,FIS1,1
CTCF,ARL8B,1
CTCF,ETS2,1
CTCF,STAT6,1
CTCF,MCM5,1
CTCF,RAB32,1
CTCF,TCERG1,1
CTCF,NDUFB7,1
CTCF,BHLHE40,1
CTCF,RPL10A,1
CTCF,AA467197,1
CTCF,PCBP2,1
CTCF,POLR2C,1
CTCF,DPEP2,1
CTCF,RPL26,1
CTCF,MDM2,1
CTCF,RPL18A,1
CTCF,HMG20B,1
CTCF,RPL11,1
CTCF,MAPK14,1
CTCF,USF2,1
CTCF,SLC25A5,1
CTCF,UBE2L6,1
CTCF,M6PR,1
CTCF,CBFA2T3,1
CTCF,GSTM1,1
CTCF,RPS14,1
CTCF,KRTCAP2,1
CTCF,CEBPA,1
CTCF,POLR2H,1
CTCF,AKT1,1
CTCF,PPP1CA,1
CTCF,IDH1,1
CTCF,H3F3B,1
CTCF,RPS29,1
CTCF,AIP,1
CTCF,PTMA,1
CTCF,DUSP1,1
CTCF,RPL27,1
CTCF,PRDX1,1
CTCF,MYL6,1
CTCF,NFX1,1
CTCF,RPL38,1
CTCF,SIRT7,1
CTCF,CENPB,1
CTCF,RPS20,1
