TF,Target,label
ARID1A,KDM3A,1
ARID1A,DIDO1,1
ARID1A,MSH6,1
ARID1A,SFI1,1
ARID1A,RIF1,1
ARID1A,IL33,1
ARID1A,TRP53BP1,1
ARID1A,MTF2,1
ARID1A,LRPAP1,1
ARID1A,ETV1,1
ARID1A,GSTA4,1
ARID1A,FUBP3,1
ARID1A,ZFP42,1
ARID1A,UPP1,1
ARID1A,RBM14,1
ARID1A,SPP1,1
ARID1A,ANKRD6,1
ARID1A,LAMC1,1
ARID1A,FRRS1,1
ARID1A,SHROOM3,1
ARID1A,PLOD1,1
ARID1A,CCN2,1
ARID1A,NR5A2,1
ARID1A,SLC7A3,1
ARID1A,PATJ,1
ARID1A,ZSCAN10,1
ARID1A,ZFP148,1
ARID1A,CHD7,1
ARID1A,HSPB1,1
ARID1A,BCAM,1
ARID1A,SPRY4,1
ARID1A,RBPJ,1
ARID1A,LAMB2,1
ARID1A,HMCES,1
ARID1A,MME,1
ARID1A,TCF7L2,1
ARID1A,TSPAN9,1
ARID1A,GNPDA1,1
ARID1A,TCF4,1
ARID1A,IFITM1,1
ARID1A,AIP,1
ARID1A,DDB2,1
ARID1A,ASH2L,1
ARID1A,MBD2,1
ARID1A,CALD1,1
ARID1A,LEFTY1,1
ARID1A,NCOA3,1
ARID1A,PHF1,1
ARID1A,KHDRBS1,1
ARID1A,JUND,1
ARID1A,PAWR,1
ARID1A,SIX5,1
ARID1A,BARD1,1
ARID1A,FABP3,1
ARID1A,RNF2,1
ARID1A,CTSD,1
ARID1A,SMARCA5,1
ARID1A,2200002D01RIK,1
ARID1A,TPD52,1
ARID1A,PA2G4,1
ARID1A,PARVB,1
ARID1A,PDK1,1
ARID1A,SERPINH1,1
ARID1A,ARHGAP29,1
ARID1A,LDB1,1
ARID1A,ETV5,1
ARID1A,SREBF1,1
ARID1A,LOXL2,1
ARID1A,EP400,1
ARID1A,WWTR1,1
ARID1A,DDB1,1
ARID1A,BTG2,1
ARID1A,FOXH1,1
ARID1A,CST3,1
ARID1A,ABTB1,1
ARID1A,HTT,1
ARID1A,CRIP2,1
ARID1A,CDKN1A,1
ARID1A,TFRC,1
ARID1A,TAX1BP3,1
ARID1A,PTPN14,1
ARID1A,GABBR1,1
ARID1A,MDM2,1
ARID1A,DDIT3,1
ARID1A,KLF3,1
ARID1A,MYMX,1
ARID1A,IRF1,1
ARID1A,PHC1,1
ARID1A,POU2F1,1
ARID1A,TUBB2B,1
ARID1A,APOE,1
ARID1A,NFE2L2,1
ARID1A,HMGXB4,1
ARID1A,PELP1,1
ARID1A,RBFOX2,1
ARID1A,NR1D2,1
ARID1A,BRPF1,1
ARID1A,CSRP2,1
ARID1A,AMPD2,1
ARID1A,ASXL1,1
ARID1A,SND1,1
ARID1A,ECT2,1
ARID1A,NFE2L1,1
ARID1A,HNRNPD,1
ARID1A,MLXIP,1
ARID1A,PIAS1,1
ARID1A,HMGA1,1
ARID1A,SERTAD2,1
BAZ1A,SFI1,1
BTAF1,SATB1,1
BTAF1,HMGXB4,1
BTAF1,HIST1H2BK,1
BTAF1,CUX2,1
BTAF1,SFI1,1
BTAF1,CUX1,1
BTAF1,SIN3B,1
BTAF1,CITED2,1
BTAF1,ZFP219,1
BTAF1,MTF2,1
BTAF1,BNIP3,1
BTAF1,MAML3,1
BTAF1,FUS,1
BTAF1,ATF4,1
BTAF1,ASXL1,1
BTAF1,RBPJ,1
BTAF1,PCBP2,1
BTAF1,CTNNB1,1
BTAF1,TAF5,1
BTAF1,E2F1,1
BTAF1,MATR3,1
BTAF1,ZFP335,1
BTAF1,TFRC,1
BTAF1,ELF1,1
BTAF1,NOTCH2,1
BTAF1,PSIP1,1
BTAF1,SMARCA5,1
BTAF1,HSP90AA1,1
BTAF1,ULK1,1
BTAF1,HIST1H2AC,1
BTAF1,E2F6,1
BTAF1,ELP2,1
BTAF1,ELK4,1
BTAF1,BRCA2,1
BTAF1,FGF4,1
BTAF1,SMARCD1,1
BTAF1,PHF20,1
BTAF1,ATF1,1
BTAF1,DIDO1,1
BTAF1,KPNA2,1
BTAF1,SIRT1,1
BTAF1,GLDC,1
BTAF1,MYLPF,1
BTAF1,ASH2L,1
BTAF1,EP400,1
BTAF1,GDPD5,1
BTAF1,FXR2,1
BTAF1,ODC1,1
BTAF1,MCM6,1
BTAF1,SURF4,1
BTAF1,RANBP17,1
BTAF1,SUB1,1
BTAF1,SRRT,1
BTAF1,HIST1H3H,1
BTAF1,HIST1H2BL,1
BTAF1,HIST1H2AI,1
BTAF1,MAML1,1
BTAF1,ALPL,1
BTAF1,HNRNPAB,1
BTAF1,RFX2,1
BTAF1,RNF14,1
BTAF1,MYBL2,1
BTAF1,ATF5,1
BTAF1,COBL,1
BTAF1,NRF1,1
BTAF1,PRDM5,1
BTAF1,NACC1,1
BTAF1,HIST1H2AF,1
BTAF1,ORC2,1
BTAF1,YBX1,1
BTAF1,TPM4,1
BTAF1,TPD52,1
BTAF1,XBP1,1
BTAF1,PDK1,1
BTAF1,NEDD4,1
BTAF1,FBLIM1,1
BTAF1,PHC1,1
BTAF1,BRD7,1
BTAF1,SHROOM3,1
BTAF1,EZH1,1
BTAF1,ARID1A,1
BTAF1,HIST1H2BN,1
BTAF1,HIST1H2AK,1
BTAF1,ZBTB39,1
BTAF1,RBL1,1
BTAF1,TXNDC12,1
BTAF1,BCLAF1,1
BTAF1,FOXJ3,1
BTAF1,CNOT6,1
BTAF1,TIMELESS,1
BTAF1,PHLDA3,1
BTAF1,CTNNBIP1,1
BTAF1,PATJ,1
BTAF1,NUP210,1
BTAF1,TCEA1,1
BTAF1,SRF,1
BTAF1,RAD54B,1
BTAF1,TAF10,1
BTAF1,SLC16A1,1
BTAF1,TEAD4,1
BTAF1,YEATS2,1
BTAF1,DEK,1
BTAF1,CBX7,1
BTAF1,ASNS,1
BTAF1,USF1,1
BTAF1,RFX7,1
BTAF1,CAR2,1
BTAF1,BEX1,1
BTAF1,TULP3,1
BTAF1,SP1,1
BTAF1,KEAP1,1
BTAF1,ZFP148,1
BTAF1,FUBP3,1
BTAF1,E2F2,1
BTAF1,GLIS2,1
BTAF1,GSR,1
BTAF1,MLXIP,1
BTAF1,SMARCAD1,1
BTAF1,TSG101,1
BTAF1,MARC2,1
BTAF1,PELP1,1
BTAF1,TRIM28,1
BTAF1,HMCES,1
BTAF1,NOTCH1,1
BTAF1,HDAC1,1
BTAF1,ZBTB38,1
BTAF1,MKRN1,1
BTAF1,SMURF1,1
BTAF1,EBF4,1
BTAF1,EIF4A2,1
BTAF1,CNOT3,1
BTAF1,ARHGAP29,1
BTAF1,SERTAD2,1
BTAF1,PIAS2,1
BTAF1,ETV3,1
BTAF1,GLS,1
BTAF1,HIST1H1D,1
BTAF1,XRCC6,1
BTAF1,ITPK1,1
BTAF1,TMF1,1
BTAF1,LAMC1,1
BTAF1,FOXJ2,1
BTAF1,MOV10,1
BTAF1,SRSF6,1
BTAF1,DNMT1,1
BTAF1,ATP13A3,1
BTAF1,RELA,1
BTAF1,TSPAN9,1
BTAF1,SMARCA4,1
BTAF1,YEATS4,1
BTAF1,SMARCC1,1
BTAF1,GABPA,1
BTAF1,ZFP281,1
BTAF1,TRIM24,1
BTAF1,SLC6A6,1
BTAF1,ZSWIM4,1
BTAF1,MTA3,1
BTAF1,TRIM13,1
BTAF1,RNF2,1
BTAF1,CREB3,1
BTAF1,ABHD5,1
BTAF1,INSIG1,1
BTAF1,ELL2,1
BTAF1,ETV5,1
BTAF1,AATF,1
BTAF1,ITGA6,1
BTAF1,ZBTB43,1
BTAF1,P3H1,1
BTAF1,ZFP277,1
BTAF1,SFPQ,1
BTAF1,TEAD1,1
BTAF1,ZFHX3,1
BTAF1,IRF1,1
BTAF1,PODXL,1
BTAF1,APBB1,1
BTAF1,TOP2B,1
BTAF1,HIST1H2BF,1
BTAF1,FOXP1,1
BTAF1,BTF3,1
BTAF1,NCOR1,1
BTAF1,SUZ12,1
BTAF1,FAM129B,1
BTAF1,NFKBIA,1
BTAF1,RNF19A,1
BTAF1,KLF2,1
BTAF1,TCERG1,1
BTAF1,PARP1,1
BTAF1,LAMA1,1
BTAF1,FIZ1,1
BTAF1,NFATC3,1
BTAF1,HMGXB3,1
BTAF1,CD63,1
BTAF1,EWSR1,1
BTAF1,RIF1,1
BTAF1,ZFP276,1
BTAF1,SSB,1
BTAF1,EDEM1,1
BTAF1,RBFOX2,1
BTAF1,ARNT2,1
BTAF1,MYCN,1
BTAF1,WBP11,1
BTAF1,SRSF3,1
BTAF1,HOXD13,1
BTAF1,KDM5B,1
BTAF1,ESRRA,1
BTAF1,LDLRAP1,1
BTAF1,HDAC5,1
BTAF1,HSPG2,1
BTAF1,MEF2D,1
BTAF1,ZFP592,1
BTAF1,EP300,1
BTAF1,AMOTL2,1
BTAF1,TUBB6,1
BTAF1,GABARAPL2,1
BTAF1,RYBP,1
BTAF1,NR4A1,1
BTAF1,ZFP398,1
BTAF1,MDM2,1
BTAF1,PLAGL2,1
BTAF1,SLC25A4,1
BTAF1,EZH2,1
BTAF1,JMJD1C,1
BTAF1,NR1D2,1
BTAF1,NFX1,1
BTAF1,DNAJC10,1
BTAF1,ZFP768,1
BTAF1,TXNDC5,1
BTAF1,HDGF,1
BTAF1,GNPDA1,1
BTAF1,PHB2,1
BTAF1,MEF2A,1
BTAF1,TAF9,1
BTAF1,HDLBP,1
BTAF1,F3,1
BTAF1,CNOT7,1
BTAF1,PIAS1,1
BTAF1,ME1,1
BTAF1,HIF3A,1
BTAF1,TYRO3,1
BTAF1,BCL3,1
BTAF1,MSH6,1
BTAF1,MYO6,1
BTAF1,SLC7A6,1
BTAF1,CTBP1,1
BTAF1,EED,1
BTAF1,ZFAND3,1
BTAF1,BRWD1,1
BTAF1,MME,1
BTAF1,ADAM23,1
BTAF1,NCOA3,1
BTAF1,MLLT1,1
BTAF1,IGFBP2,1
BTAF1,HIF1A,1
BTAF1,TRPS1,1
BTAF1,PATZ1,1
BTAF1,TNFAIP3,1
BTAF1,CDC5L,1
BTAF1,DR1,1
BTAF1,EFEMP2,1
BTAF1,TNK2,1
BTAF1,CDC42SE2,1
BTAF1,SSBP4,1
BTAF1,LDB1,1
BTAF1,ZBTB24,1
BTAF1,RARA,1
BTAF1,P4HB,1
BTAF1,HDAC2,1
BTAF1,DAZAP2,1
BTAF1,PDCD4,1
BTAF1,TET2,1
BTAF1,TCF12,1
BTAF1,PURA,1
BTAF1,PIAS3,1
BTAF1,MRAS,1
BTAF1,KDELR2,1
BTAF1,P4HA1,1
BTAF1,LAMB2,1
BTAF1,TIMP2,1
BTAF1,TCF7,1
BTAF1,ILK,1
BTAF1,COIL,1
BTAF1,P3H4,1
BTAF1,ELAVL2,1
BTAF1,RRM2,1
BTAF1,RFXAP,1
BTAF1,NFE2L1,1
BTAF1,PHF14,1
BTAF1,TBX3,1
BTAF1,SRM,1
BTAF1,KIT,1
BTAF1,RAB11A,1
BTAF1,ANKRD54,1
BTAF1,PLOD2,1
BTAF1,CTCF,1
BTAF1,AIP,1
BTAF1,HMGB2,1
BTAF1,KLF3,1
BTAF1,RAI14,1
BTAF1,GRHL1,1
BTAF1,POLR2H,1
BTAF1,GLIPR2,1
BTAF1,NFYA,1
BTAF1,LAMA5,1
BTAF1,NFE2L2,1
BTAF1,JDP2,1
BTAF1,HES1,1
BTAF1,BRPF1,1
BTAF1,GBX2,1
BTAF1,KDM3A,1
BTAF1,GRIN1,1
BTAF1,SEMA4C,1
BTAF1,APEX1,1
BTAF1,ZFYVE21,1
BTAF1,RERE,1
BTAF1,PRRX2,1
BTAF1,EOMES,1
BTAF1,RBBP4,1
BTAF1,RASGRP2,1
BTAF1,ERP29,1
BTAF1,SCMH1,1
BTAF1,MAN1A2,1
BTAF1,KLF15,1
BTAF1,HDAC4,1
BTAF1,ANKRD6,1
BTAF1,RAD51,1
BTAF1,HTT,1
BTAF1,UBE2C,1
BTAF1,RNF157,1
BTAF1,H1F0,1
BTAF1,SMARCC2,1
BTAF1,HSF2,1
BTAF1,MT2,1
BTAF1,KAT2B,1
BTAF1,CKAP4,1
BTAF1,SMURF2,1
BTAF1,INTS12,1
BTAF1,TCF4,1
BTAF1,SMAD3,1
BTAF1,NFATC2IP,1
BTAF1,ARHGEF40,1
BTAF1,HSPB1,1
BTAF1,PMS1,1
