TF,Target,label
BMI1,MECOM,1
BMI1,GFI1,1
BMI1,EBF1,1
BMI1,RUNX2,1
BMI1,GATA2,1
BMI1,PPM1H,1
BMI1,ESR1,1
BMI1,ARMC8,1
BMI1,TRIB2,1
BMI1,ZEB2,1
BMI1,ATP7B,1
BMI1,ALG11,1
BMI1,HOXA9,1
BMI1,MYO1D,1
BMI1,HLF,1
BMI1,IRF8,1
BMI1,GOLM1,1
BMI1,LCP1,1
BMI1,ASNS,1
BMI1,NR3C2,1
BMI1,TMEM56,1
BMI1,IKZF1,1
BMI1,ARID3B,1
BMI1,EYA1,1
BMI1,MAN1A,1
BMI1,TIFA,1
BMI1,SPHK1,1
BMI1,MEF2C,1
BMI1,TSPAN33,1
BMI1,GATM,1
BMI1,NFATC2,1
BMI1,PIK3C3,1
BMI1,THRB,1
BMI1,SQOR,1
BMI1,IRF5,1
BMI1,GFI1B,1
BMI1,METAP1D,1
BMI1,PLCG2,1
BMI1,SGO1,1
BMI1,ST8SIA4,1
BMI1,SNX10,1
BMI1,SLC25A21,1
BMI1,PSMF1,1
BMI1,PDE4B,1
BMI1,WDR75,1
BMI1,ETS1,1
BMI1,PRKCH,1
BMI1,GNB4,1
BMI1,ST3GAL6,1
BMI1,ANGPT1,1
BMI1,SALL2,1
BMI1,EPDR1,1
BMI1,CHAMP1,1
BMI1,RCOR1,1
BMI1,MYCN,1
BMI1,EYA2,1
BMI1,SLC11A2,1
BMI1,GCNT2,1
BMI1,AHR,1
BMI1,PBX1,1
BMI1,CARHSP1,1
BMI1,NDN,1
BMI1,GTF3C3,1
BMI1,BTRC,1
BMI1,IL27RA,1
BMI1,ANK,1
CBFB,MSH6,1
CBFB,SLC35A1,1
CBFB,COPG1,1
CBFB,ORC5,1
CBFB,NFE2,1
CBFB,HEMGN,1
CBFB,CALU,1
CBFB,LIMD2,1
CBFB,TIMM29,1
CBFB,OTUD6B,1
CBFB,WDR5,1
CBFB,NOP2,1
CBFB,PRDM4,1
CBFB,CLPTM1L,1
CBFB,DNAJC11,1
CBFB,SEH1L,1
CBFB,TES,1
CBFB,DNAJC10,1
CBFB,SNRNP200,1
CBFB,NDOR1,1
CBFB,ACSS2,1
CBFB,PCYT1A,1
CBFB,GARS,1
CBFB,NUF2,1
CBFB,RANGAP1,1
