TF,Target,label
CBFB,MSH6,1
CBFB,CLTC,1
CBFB,SLC2A3,1
CBFB,NFE2,1
CBFB,ARID5A,1
CBFB,TMEM229B,1
CBFB,TIMM29,1
CBFB,IDH1,1
CBFB,OTUD6B,1
CBFB,WDR5,1
CBFB,DOCK10,1
CBFB,NOP2,1
CBFB,NSUN2,1
CBFB,CLPTM1L,1
CBFB,HJURP,1
CBFB,DNAJC11,1
CBFB,SEH1L,1
CBFB,DDX21,1
CBFB,SZT2,1
CBFB,TES,1
CBFB,DNAJC10,1
CBFB,SNRNP200,1
CBFB,MTMR4,1
CBFB,ACSS2,1
CBFB,NUS1,1
CBFB,F2R,1
CBFB,GARS,1
CBFB,NUF2,1
CBFB,RANGAP1,1
CBFB,ARL6IP6,1
CBFB,ECT2,1
CBFB,RPRD1B,1
CBFB,IRF9,1
CBFB,ARMT1,1
CBFB,RCOR1,1
CBFB,MGAT1,1
CBFB,DCAF13,1
CBFB,SPNS2,1
CBFB,OSBPL8,1
CBFB,NFAT5,1
CBFB,HSPA4,1
CBFB,PPAT,1
CBFB,CTPS,1
CBFB,PRKCH,1
CBFB,MORC3,1
CBFB,PGLYRP2,1
CBFB,ATAD2,1
CBFB,TACC3,1
CBFB,DDX20,1
CBFB,ZFAND5,1
CBFB,EIF1AD,1
CBFB,TFR2,1
CBFB,LY9,1
CBFB,MIS12,1
CBFB,FAM76B,1
CBFB,MIS18BP1,1
CBFB,EPRS,1
CBFB,NCEH1,1
CBFB,CSTF2,1
CBFB,HAT1,1
CBFB,RABGGTB,1
CBFB,GMFB,1
CBFB,POLE3,1
CBFB,EYA2,1
CBFB,PWP2,1
CBFB,INCENP,1
CBFB,BIRC5,1
CBFB,DUS1L,1
CBFB,LRRC59,1
CBFB,RAD51AP1,1
CBFB,REXO4,1
CBFB,FIGNL1,1
CBFB,EIF2S1,1
CBFB,POR,1
CBFB,9430015G10RIK,1
CBFB,COLGALT1,1
CBFB,PHF5A,1
CBFB,MED16,1
CBFB,API5,1
CBFB,SLBP,1
CBFB,FAR1,1
CBFB,MRPL20,1
CBFB,1700017B05RIK,1
CBFB,PIK3R2,1
CBFB,GALNT6,1
CBFB,XRCC6,1
CBFB,SERP1,1
CBFB,GTF2H1,1
CBFB,HDAC7,1
CBFB,SERPINB9,1
CBFB,HCFC1,1
CBFB,PTPRE,1
CBFB,AP1S2,1
CBFB,TNPO1,1
CBFB,CSGALNACT2,1
CBFB,PNO1,1
CBFB,CIPC,1
CBFB,CENPE,1
CBFB,RPTOR,1
CBFB,FEM1B,1
CBFB,DHX33,1
CBFB,NDC80,1
CBFB,CKS2,1
CBFB,PPM1G,1
CBFB,POLD1,1
CBFB,CHORDC1,1
CBFB,GNL3,1
CBFB,UBAC1,1
CBFB,LONP2,1
CBFB,RUVBL2,1
CBFB,GYS1,1
CBFB,TESPA1,1
CBFB,CDC45,1
CBFB,XPC,1
CBFB,MTMR6,1
CBFB,ELF1,1
CBFB,CDCA5,1
CBFB,YPEL3,1
CBFB,ZDHHC6,1
CBFB,CDK1,1
CBFB,KAT7,1
CBFB,ACSS1,1
CBFB,TEX10,1
CBFB,TAB1,1
CBFB,RGS18,1
CBFB,HMBS,1
CBFB,ZBTB20,1
CBFB,SHISA5,1
CBFB,METAP1,1
CBFB,TOMM70A,1
CBFB,TCP11L2,1
CBFB,HDGF,1
CBFB,SUPV3L1,1
CBFB,FGFR1OP,1
CBFB,NDUFS1,1
CBFB,ELAC2,1
CBFB,CKAP5,1
CBFB,PDE4B,1
CBFB,ZHX1,1
CBFB,IFRD2,1
CBFB,EZR,1
CBFB,ZFP24,1
CBFB,MCM7,1
CBFB,ST8SIA4,1
CBFB,TMEM33,1
CBFB,TOP3B,1
CBFB,ISG20,1
CBFB,KIF11,1
CBFB,AURKA,1
CBFB,PTDSS1,1
CBFB,AHCYL1,1
CBFB,RAD21,1
CBFB,IPO9,1
CBFB,ATP8B4,1
CBFB,PRMT5,1
CBFB,ADK,1
CBFB,MCM4,1
CBFB,GPR65,1
CBFB,ITGAL,1
CBFB,SRSF1,1
CBFB,MGAT5,1
CBFB,NOL9,1
CBFB,SRM,1
CBFB,DEK,1
CBFB,ARHGAP15,1
CBFB,PRMT7,1
CBFB,CS,1
CBFB,NOLC1,1
CBFB,HARS,1
CBFB,FASTKD2,1
CBFB,THADA,1
CBFB,PSME3,1
CBFB,MOGS,1
CBFB,NARS,1
CBFB,CDCA3,1
CBFB,CTR9,1
CBFB,SLC31A1,1
CBFB,MARS,1
CBFB,TFRC,1
CBFB,HASPIN,1
CBFB,PTCD3,1
CBFB,FAM102B,1
CBFB,SLA2,1
CBFB,STIP1,1
CBFB,NUDCD1,1
CBFB,PSMD1,1
CBFB,RFC4,1
CBFB,CUL3,1
CBFB,CDCA8,1
CBFB,NCAPH,1
CBFB,EFTUD2,1
CBFB,ZFP422,1
CBFB,CEP55,1
CBFB,UBR7,1
CBFB,CDCA4,1
CBFB,DHRS3,1
CBFB,MDN1,1
CBFB,ELOVL5,1
CBFB,MEMO1,1
CBFB,MPZL1,1
CBFB,VKORC1L1,1
CBFB,STAT2,1
CBFB,DUSP1,1
CBFB,TBL3,1
CBFB,OTULINL,1
CBFB,SPTBN1,1
CBFB,ITSN1,1
CBFB,GLRX5,1
CBFB,CENPO,1
CBFB,SATB1,1
CBFB,NDC1,1
CBFB,HACD3,1
CBFB,ABL2,1
CBFB,UAP1,1
CBFB,SHMT1,1
CBFB,FAM136A,1
CBFB,EIF2B1,1
CBFB,SPNS3,1
CBFB,MIEF1,1
CBFB,MTREX,1
CBFB,GLB1,1
CBFB,DUT,1
CBFB,DOK2,1
CBFB,TMEM43,1
CBFB,PRODH,1
CBFB,CCNE2,1
CBFB,PLD3,1
CBFB,NECAP2,1
CBFB,JPT1,1
CBFB,PLIN3,1
CBFB,CTC1,1
CBFB,FARSB,1
CBFB,SF3B3,1
CBFB,GBP3,1
CBFB,NFKBIA,1
CBFB,PDIA4,1
CBFB,DENND1C,1
CBFB,SARAF,1
CBFB,KPNA3,1
CBFB,CBX5,1
CBFB,NDUFV1,1
CBFB,RRM1,1
CBFB,KCTD12,1
CBFB,USP37,1
CBFB,BCL2,1
CBFB,SLC35A4,1
CBFB,ABCB8,1
CBFB,H2AFX,1
CBFB,FBXW11,1
CBFB,AKAP8L,1
CBFB,NCAPD2,1
CBFB,EAF1,1
CBFB,NUBP2,1
CBFB,RNF38,1
CBFB,D1ERTD622E,1
CBFB,FOXRED1,1
CBFB,CKS1B,1
CBFB,GPRASP1,1
CBFB,DEF8,1
CBFB,PSMD9,1
CBFB,SETD2,1
CBFB,RARS,1
CBFB,HDAC2,1
CBFB,UBASH3A,1
