TF,Target,label
CBFB,MSH6,1
CBFB,SLC2A3,1
CBFB,NFE2,1
CBFB,ARID5A,1
CBFB,TMEM229B,1
CBFB,TIMM29,1
CBFB,IDH1,1
CBFB,OTUD6B,1
CBFB,WDR5,1
CBFB,NOP2,1
CBFB,CLPTM1L,1
CBFB,DNAJC11,1
CBFB,SEH1L,1
CBFB,TES,1
CBFB,DNAJC10,1
CBFB,RANGAP1,1
CBFB,ARL6IP6,1
CBFB,RPRD1B,1
CBFB,IRF9,1
CBFB,DCAF13,1
CBFB,SPNS2,1
CBFB,NFAT5,1
CBFB,PPAT,1
CBFB,PRKCH,1
CBFB,MORC3,1
CBFB,PGLYRP2,1
CBFB,TACC3,1
CBFB,DDX20,1
CBFB,EIF1AD,1
CBFB,TFR2,1
CBFB,MIS12,1
CBFB,FAM76B,1
CBFB,MIS18BP1,1
CBFB,NCEH1,1
CBFB,CSTF2,1
CBFB,RABGGTB,1
CBFB,GMFB,1
CBFB,POLE3,1
CBFB,EYA2,1
CBFB,DUS1L,1
CBFB,REXO4,1
CBFB,FIGNL1,1
CBFB,POR,1
CBFB,COLGALT1,1
CBFB,MED16,1
CBFB,FAR1,1
CBFB,1700017B05RIK,1
CBFB,GALNT6,1
CBFB,XRCC6,1
CBFB,GTF2H1,1
CBFB,HDAC7,1
CBFB,SERPINB9,1
CBFB,HCFC1,1
CBFB,CSGALNACT2,1
CBFB,PNO1,1
CBFB,FEM1B,1
CBFB,DHX33,1
CBFB,POLD1,1
CBFB,CHORDC1,1
CBFB,LONP2,1
CBFB,RUVBL2,1
CBFB,TESPA1,1
CBFB,CDC45,1
CBFB,XPC,1
CBFB,MTMR6,1
CBFB,ELF1,1
CBFB,ZDHHC6,1
CBFB,KAT7,1
CBFB,ZBTB20,1
CBFB,METAP1,1
CBFB,TCP11L2,1
CBFB,HDGF,1
CBFB,FGFR1OP,1
CBFB,CKAP5,1
CBFB,EZR,1
CBFB,ZFP24,1
CBFB,MCM7,1
CBFB,ST8SIA4,1
CBFB,TOP3B,1
CBFB,PTDSS1,1
CBFB,AHCYL1,1
CBFB,IPO9,1
CBFB,ATP8B4,1
CBFB,MCM4,1
CBFB,GPR65,1
CBFB,ITGAL,1
CBFB,SRSF1,1
CBFB,MGAT5,1
CBFB,DEK,1
CBFB,PRMT7,1
CBFB,FASTKD2,1
CBFB,MOGS,1
CBFB,CTR9,1
CBFB,MARS,1
CBFB,SLA2,1
CBFB,RFC4,1
CBFB,CUL3,1
CBFB,CDCA8,1
CBFB,UBR7,1
CBFB,CDCA4,1
CBFB,DHRS3,1
CBFB,STAT2,1
CBFB,DUSP1,1
CBFB,TBL3,1
CBFB,OTULINL,1
CBFB,ITSN1,1
CBFB,SATB1,1
CBFB,HACD3,1
CBFB,UAP1,1
CBFB,SHMT1,1
CBFB,FAM136A,1
CBFB,SPNS3,1
CBFB,MTREX,1
CBFB,GLB1,1
CBFB,DOK2,1
CBFB,TMEM43,1
CBFB,PRODH,1
CBFB,PLD3,1
CBFB,PLIN3,1
CBFB,CTC1,1
CBFB,GBP3,1
CBFB,NFKBIA,1
CBFB,DENND1C,1
CBFB,KPNA3,1
CBFB,RRM1,1
CBFB,KCTD12,1
CBFB,USP37,1
CBFB,BCL2,1
CBFB,ABCB8,1
CBFB,AKAP8L,1
CBFB,NCAPD2,1
CBFB,FOXRED1,1
CBFB,DEF8,1
CBFB,SETD2,1
CBFB,RARS,1
