TF,Target,label
CBFB,SLC2A3,1
CBFB,NFE2,1
CBFB,ARID5A,1
CBFB,CAMSAP2,1
CBFB,SLC39A13,1
CBFB,CARD6,1
CBFB,DOCK10,1
CBFB,SSH2,1
CBFB,TES,1
CBFB,F2R,1
CBFB,HSPE1,1
CBFB,ADGRG1,1
CBFB,MGAT1,1
CBFB,SPNS2,1
CBFB,PRKCH,1
CBFB,TFR2,1
CBFB,LY9,1
CBFB,TMEM123,1
CBFB,NCEH1,1
CBFB,ACAP1,1
CBFB,EYA2,1
CBFB,RANBP1,1
CBFB,SLBP,1
CBFB,TBXA2R,1
CBFB,CMAH,1
CBFB,XRCC6,1
CBFB,SLC26A11,1
CBFB,DYNLL1,1
CBFB,SERP1,1
CBFB,HDAC7,1
CBFB,PTPRE,1
CBFB,AP1S2,1
CBFB,CIPC,1
CBFB,RASAL3,1
CBFB,CDK17,1
CBFB,LCK,1
CBFB,PPM1G,1
CBFB,ICOS,1
CBFB,PAFAH2,1
CBFB,NT5C3,1
CBFB,LONP2,1
CBFB,TESPA1,1
CBFB,XPC,1
CBFB,ELF1,1
CBFB,BTLA,1
CBFB,CCR7,1
CBFB,ZFP658,1
CBFB,ZBTB20,1
CBFB,VAMP1,1
CBFB,LCP1,1
CBFB,ZFP62,1
CBFB,CCNG2,1
CBFB,GPR171,1
CBFB,PPCDC,1
CBFB,H2AFY,1
CBFB,MCM7,1
CBFB,ST8SIA4,1
CBFB,RPS27L,1
CBFB,ATP8B4,1
CBFB,MCM4,1
CBFB,GPR65,1
CBFB,ITGAL,1
CBFB,TUBB4B,1
CBFB,ARHGAP15,1
CBFB,MOGS,1
CBFB,ITGB2,1
CBFB,CTR9,1
CBFB,LAPTM5,1
CBFB,STK17B,1
CBFB,GBP4,1
CBFB,ZFP422,1
CBFB,ARHGDIB,1
CBFB,DHRS3,1
CBFB,PKN3,1
CBFB,ELOVL5,1
CBFB,MPZL1,1
CBFB,DUSP1,1
CBFB,PBLD2,1
CBFB,OTULINL,1
CBFB,ITSN1,1
CBFB,ZYX,1
CBFB,SATB1,1
CBFB,SPNS3,1
CBFB,DOK2,1
CBFB,JPT1,1
CBFB,PLIN3,1
CBFB,SLC9A9,1
CBFB,TSPAN13,1
CBFB,DUSP5,1
CBFB,KCTD12,1
CBFB,BCL2,1
CBFB,NCAPD2,1
CBFB,RNF38,1
CBFB,CKS1B,1
CBFB,P2RY14,1
CBFB,DEF8,1
CBFB,UBASH3A,1
CBFB,ARPP21,1
CBFB,TPM4,1
CBFB,CAPG,1
CBFB,PSTPIP1,1
CBFB,TSPAN3,1
CBFB,PANX1,1
CBFB,P2RX1,1
CBFB,DCK,1
CBFB,CST7,1
CBFB,CTSL,1
CBFB,LAX1,1
CBFB,ABHD17B,1
CBFB,NLRC3,1
CBFB,SLC43A2,1
CBFB,CD69,1
CBFB,GAS2L3,1
CBFB,CISH,1
CBFB,DTL,1
CBFB,SELPLG,1
CBFB,ANXA5,1
CBFB,LARS2,1
CBFB,PLCL1,1
CBFB,NWD1,1
CBFB,SERPINB6A,1
CBFB,LRRC8C,1
CBFB,IL17RE,1
CBFB,STK10,1
CBFB,RNF125,1
CBFB,SNAP47,1
CBFB,GPR18,1
CBFB,ZFP367,1
CBFB,ME2,1
CBFB,RASSF2,1
CBFB,SLC18A2,1
CBFB,LGMN,1
CBFB,FDFT1,1
CBFB,CLEC12A,1
CBFB,TRPV2,1
CBFB,PYGL,1
CBFB,NPM1,1
CBFB,CD7,1
CBFB,CDT1,1
CBFB,ART4,1
CBFB,NUCB2,1
CBFB,PRSS57,1
CBFB,CTSB,1
CBFB,FCHO2,1
CBFB,COQ8A,1
CBFB,CDK19,1
CBFB,RNF13,1
CBFB,HNRNPAB,1
CBFB,UHRF1,1
CBFB,RCSD1,1
CBFB,FRMD6,1
CBFB,GM2A,1
CBFB,UCP2,1
CBFB,REL,1
CBFB,GSTM1,1
CBFB,EVI2A,1
CBFB,CYFIP2,1
CBFB,LDHB,1
CBFB,MCM5,1
CBFB,MYCN,1
CBFB,LACTB,1
CBFB,APLP2,1
CBFB,CD44,1
CBFB,ZNRF2,1
CBFB,CAMK1D,1
CBFB,GNG2,1
CBFB,STARD4,1
CBFB,SLC39A6,1
CBFB,NDRG2,1
CBFB,RHOF,1
CBFB,DUSP6,1
CBFB,HMGB2,1
CBFB,IL7R,1
CBFB,MKI67,1
CBFB,ATPIF1,1
CBFB,NRROS,1
CBFB,UBA7,1
CBFB,UAP1L1,1
CBFB,CBX7,1
CBFB,GAA,1
CBFB,FADS1,1
CBFB,VAMP5,1
CBFB,ERP29,1
CBFB,PTP4A3,1
CBFB,CCT2,1
CBFB,MLLT3,1
CBFB,KAZALD1,1
CBFB,RPL41,1
CBFB,LSP1,1
CBFB,ANXA2,1
CBFB,RGS2,1
CBFB,GBP9,1
CBFB,SLC16A10,1
CBFB,EEPD1,1
CBFB,RGS19,1
CBFB,NUDT19,1
CBFB,AMPD2,1
CBFB,IRAK3,1
CBFB,SPC24,1
CBFB,RORA,1
CBFB,PLXDC2,1
CBFB,SAMSN1,1
CBFB,CD48,1
CBFB,CREG1,1
CBFB,MYO5A,1
CBFB,TRIM59,1
CBFB,CD55,1
CBFB,TNFAIP2,1
CBFB,ABCG3,1
CBFB,TXNIP,1
CBFB,TOP2A,1
CBFB,ITPR2,1
CBFB,TMEM173,1
CBFB,RFTN1,1
CBFB,SLC18A1,1
CBFB,CARD11,1
CBFB,PDCD4,1
CBFB,BPIFC,1
CBFB,YBX1,1
CBFB,PARVG,1
CBFB,SYTL1,1
CBFB,CPQ,1
CBFB,FUT8,1
CBFB,SLCO3A1,1
CBFB,EMP1,1
CBFB,DENND2D,1
CBFB,TMEM206,1
CBFB,SLC44A2,1
CBFB,CFP,1
CBFB,BTG2,1
CBFB,TMEM14C,1
CBFB,RASIP1,1
CBFB,ARHGAP27,1
CBFB,MSMO1,1
CBFB,GSN,1
CBFB,GIMAP5,1
CBFB,CHIL5,1
CBFB,PAG1,1
CBFB,NCKAP1,1
CBFB,TIPIN,1
CBFB,N4BP3,1
CBFB,ARHGAP18,1
CBFB,ZMIZ1,1
CBFB,TBC1D5,1
CBFB,ELL2,1
CBFB,GMNN,1
CBFB,H2-DMA,1
CBFB,RRAS,1
CBFB,SGMS1,1
CBFB,CERS4,1
CBFB,MAML3,1
CBFB,EPSTI1,1
CBFB,LTB,1
CBFB,GPX1,1
CBFB,PLXNC1,1
CBFB,RAG2,1
CBFB,PGRMC1,1
CBFB,CES2G,1
CBFB,PPP1R15A,1
CBFB,MAN1A,1
CBFB,PARP8,1
CBFB,SYK,1
CBFB,CNN3,1
CBFB,MPL,1
CBFB,DOCK11,1
CBFB,KLF3,1
CBFB,CD27,1
CBFB,ANKRD44,1
CBFB,KLF6,1
CBFB,ITGB7,1
CBFB,MPO,1
CBFB,SLA,1
CBFB,METTL7A1,1
CBFB,FLT3,1
CBFB,ADSSL1,1
CBFB,TMEM176B,1
CBFB,RUSC2,1
CBFB,GFI1B,1
CBFB,TM6SF1,1
CBFB,ITGA6,1
CBFB,CD81,1
CBFB,SOCS2,1
CBFB,HLF,1
CBFB,PF4,1
CBFB,IKZF1,1
CBFB,SAT1,1
CBFB,TALDO1,1
CBFB,SELENOP,1
CBFB,GIMAP8,1
CBFB,SP100,1
CBFB,TRIB3,1
CBFB,IFI27,1
CBFB,S100A6,1
